Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T03:40:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:42:17Z,1,01:08,18:52,Blocked Shot,n/a,-64.0,2.0,Barclay Goodrow,Blocker,San Jose Sharks,Mikael Granlund,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:42:27Z,1,01:18,18:42,Shot,Wrist Shot,-75.0,14.0,Mikael Granlund,Shooter,Nashville Predators,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:42:27Z,1,01:18,18:42,Hit,n/a,99.0,5.0,Timo Meier,Hitter,San Jose Sharks,Mattias Ekholm,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:42:50Z,1,01:41,18:19,Giveaway,n/a,-27.0,-21.0,Barclay Goodrow,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:43:05Z,1,01:55,18:05,Giveaway,n/a,85.0,-19.0,Dan Hamhuis,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:43:20Z,1,02:11,17:49,Hit,n/a,5.0,-26.0,Matt Duchene,Hitter,Nashville Predators,Marcus Sorensen,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:43:41Z,1,02:32,17:28,Hit,n/a,-98.0,-2.0,Rocco Grimaldi,Hitter,Nashville Predators,Tim Heed,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:43:59Z,1,02:50,17:10,Takeaway,n/a,-47.0,-38.0,Craig Smith,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:44:03Z,1,02:54,17:06,Missed Shot,n/a,-52.0,-1.0,Craig Smith,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:44:13Z,1,02:56,17:04,Shot,Tip-In,-74.0,-8.0,Rocco Grimaldi,Shooter,Nashville Predators,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:44:31Z,1,02:57,17:03,Faceoff,n/a,-69.0,-22.0,Ryan Johansen,Winner,Nashville Predators,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:44:47Z,1,03:00,17:00,Shot,Wrist Shot,-37.0,-24.0,Mattias Ekholm,Shooter,Nashville Predators,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:44:57Z,1,03:01,16:59,Faceoff,n/a,-69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:45:35Z,1,03:28,16:32,Blocked Shot,n/a,54.0,-5.0,Ryan Johansen,Blocker,Nashville Predators,Brent Burns,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:46:11Z,1,03:43,16:17,Shot,Slap Shot,35.0,33.0,Timo Meier,Shooter,San Jose Sharks,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:46:11Z,1,03:45,16:15,Shot,Backhand,84.0,-6.0,Barclay Goodrow,Shooter,San Jose Sharks,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:46:22Z,1,03:46,16:14,Faceoff,n/a,69.0,-22.0,Colton Sissons,Winner,Nashville Predators,Evander Kane,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:47:04Z,1,03:52,16:08,Faceoff,n/a,69.0,22.0,Joe Thornton,Winner,San Jose Sharks,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:47:13Z,1,03:59,16:01,Shot,Wrist Shot,41.0,30.0,Brenden Dillon,Shooter,San Jose Sharks,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:47:23Z,1,04:06,15:54,Shot,Wrist Shot,33.0,4.0,Tim Heed,Shooter,San Jose Sharks,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:47:35Z,1,04:07,15:53,Faceoff,n/a,69.0,22.0,Nick Bonino,Winner,Nashville Predators,Joe Thornton,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:48:06Z,1,04:32,15:28,Hit,n/a,98.0,-1.0,Dan Hamhuis,Hitter,Nashville Predators,Joe Thornton,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:48:20Z,1,04:46,15:14,Takeaway,n/a,38.0,36.0,Kevin Labanc,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:48:28Z,1,04:53,15:07,Shot,Wrist Shot,64.0,25.0,Evander Kane,Shooter,San Jose Sharks,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:48:36Z,1,04:53,15:07,Faceoff,n/a,69.0,22.0,Logan Couture,Winner,San Jose Sharks,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:48:55Z,1,04:58,15:02,Missed Shot,n/a,33.0,31.0,Marc-Edouard Vlasic,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:49:05Z,1,05:06,14:54,Missed Shot,n/a,60.0,5.0,Logan Couture,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T03:49:18Z,1,05:07,14:53,Faceoff,n/a,69.0,-22.0,Logan Couture,Winner,San Jose Sharks,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
