Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T21:10:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:10:51Z,1,00:28,19:32,Blocked Shot,n/a,80.0,16.0,Christopher Tanev,Blocker,Vancouver Canucks,Pavel Zacha,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:11:14Z,1,00:51,19:09,Giveaway,n/a,45.0,-36.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:11:19Z,1,00:56,19:04,Shot,Snap Shot,40.0,-4.0,Kyle Palmieri,Shooter,New Jersey Devils,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:11:40Z,1,00:56,19:04,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:12:33Z,1,01:29,18:31,Faceoff,n/a,-20.0,22.0,Travis Zajac,Winner,New Jersey Devils,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:12:55Z,1,01:38,18:22,Blocked Shot,n/a,74.0,-19.0,Jay Beagle,Blocker,Vancouver Canucks,Travis Zajac,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:13:18Z,1,02:02,17:58,Shot,Snap Shot,-84.0,-14.0,Adam Gaudette,Shooter,Vancouver Canucks,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:13:44Z,1,02:02,17:58,Faceoff,n/a,-69.0,-22.0,J.T. Miller,Winner,Vancouver Canucks,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:14:07Z,1,02:17,17:43,Hit,n/a,79.0,-33.0,Wayne Simmonds,Hitter,New Jersey Devils,Jordie Benn,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:14:15Z,1,02:25,17:35,Giveaway,n/a,45.0,34.0,Wayne Simmonds,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:14:30Z,1,02:39,17:21,Shot,Snap Shot,57.0,-23.0,Kevin Rooney,Shooter,New Jersey Devils,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:14:47Z,1,02:39,17:21,Faceoff,n/a,69.0,-22.0,Nico Hischier,Winner,New Jersey Devils,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:15:06Z,1,02:44,17:16,Shot,Wrist Shot,36.0,-24.0,Will Butcher,Shooter,New Jersey Devils,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:15:18Z,1,02:56,17:04,Hit,n/a,-93.0,-29.0,Tanner Pearson,Hitter,Vancouver Canucks,Will Butcher,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:15:25Z,1,02:58,17:02,Hit,n/a,-73.0,-40.0,Jake Virtanen,Hitter,Vancouver Canucks,Nico Hischier,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:15:47Z,1,03:25,16:35,Missed Shot,n/a,-79.0,-16.0,Brandon Sutter,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:16:03Z,1,03:41,16:19,Hit,n/a,-98.0,-3.0,J.T. Miller,Hitter,Vancouver Canucks,Matt Tennyson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:16:43Z,1,04:03,15:57,Faceoff,n/a,20.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:17:42Z,1,04:37,15:23,Faceoff,n/a,0.0,0.0,Jay Beagle,Winner,Vancouver Canucks,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:18:14Z,1,04:49,15:11,Hit,n/a,-88.0,-34.0,Adam Gaudette,Hitter,Vancouver Canucks,Will Butcher,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:18:22Z,1,04:57,15:03,Missed Shot,n/a,-67.0,-3.0,Tim Schaller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T21:18:32Z,1,05:07,14:53,Blocked Shot,n/a,77.0,-29.0,Jordie Benn,Blocker,Vancouver Canucks,Miles Wood,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
