Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T19:11:42Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Blake Wheeler,Winner,Winnipeg Jets,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:12:05Z,1,00:15,19:45,Hit,n/a,-59.0,39.0,Blake Wheeler,Hitter,Winnipeg Jets,Andrew Cogliano,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:12:14Z,1,00:24,19:36,Hit,n/a,98.0,-18.0,Andrew Cogliano,Hitter,Dallas Stars,Luca Sbisa,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:12:25Z,1,00:35,19:25,Missed Shot,n/a,58.0,-30.0,Andrew Cogliano,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:13:42Z,1,01:30,18:30,Faceoff,n/a,-20.0,22.0,Justin Dowling,Winner,Dallas Stars,David Gustafsson,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:14:09Z,1,01:54,18:06,Hit,n/a,-97.0,19.0,Logan Shaw,Hitter,Winnipeg Jets,Joel Hanley,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:14:40Z,1,02:22,17:38,Hit,n/a,48.0,-41.0,Alexander Radulov,Hitter,Dallas Stars,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:14:57Z,1,02:24,17:36,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Jamie Benn,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:15:19Z,1,02:33,17:27,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:15:58Z,1,02:42,17:18,Blocked Shot,n/a,76.0,8.0,Josh Morrissey,Blocker,Winnipeg Jets,Jamie Benn,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:16:28Z,1,02:52,17:08,Faceoff,n/a,20.0,22.0,Blake Wheeler,Winner,Winnipeg Jets,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:16:40Z,1,02:59,17:01,Hit,n/a,-11.0,-41.0,Andrej Sekera,Hitter,Dallas Stars,Nikolaj Ehlers,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:16:45Z,1,03:05,16:55,Hit,n/a,-97.0,-20.0,Blake Wheeler,Hitter,Winnipeg Jets,Esa Lindell,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:16:49Z,1,03:08,16:52,Blocked Shot,n/a,-75.0,-2.0,Andrej Sekera,Blocker,Dallas Stars,Nathan Beaulieu,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:17:42Z,1,03:29,16:31,Faceoff,n/a,20.0,-22.0,Tyler Seguin,Winner,Dallas Stars,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:17:55Z,1,03:41,16:19,Giveaway,n/a,51.0,-30.0,Kyle Connor,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:17:58Z,1,03:44,16:16,Shot,Wrist Shot,41.0,-22.0,Tyler Seguin,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:18:03Z,1,03:49,16:11,Shot,Wrist Shot,41.0,33.0,Jamie Oleksiak,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T19:19:22Z,1,04:39,15:21,Faceoff,n/a,69.0,22.0,Joe Pavelski,Winner,Dallas Stars,David Gustafsson,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
