Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-11T02:12:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sam Steel,Winner,Anaheim Ducks,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:13:23Z,1,00:10,19:50,Giveaway,n/a,83.0,36.0,Ethan Bear,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:13:34Z,1,00:21,19:39,Hit,n/a,37.0,35.0,Troy Terry,Hitter,Anaheim Ducks,Jujhar Khaira,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:13:39Z,1,00:25,19:35,Hit,n/a,-96.0,19.0,Jujhar Khaira,Hitter,Edmonton Oilers,Josh Mahura,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:00Z,1,00:46,19:14,Takeaway,n/a,6.0,-38.0,Oscar Klefbom,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:05Z,1,00:52,19:08,Missed Shot,n/a,-67.0,-19.0,Connor McDavid,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:29Z,1,00:56,19:04,Shot,Tip-In,-81.0,7.0,Zack Kassian,Shooter,Edmonton Oilers,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:16Z,1,00:57,19:03,Shot,Tip-In,-80.0,7.0,Zack Kassian,Shooter,Edmonton Oilers,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:38Z,1,00:58,19:02,Faceoff,n/a,-69.0,22.0,James Neal,Winner,Edmonton Oilers,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:14:57Z,1,01:03,18:57,Shot,Wrist Shot,-46.0,3.0,Joel Persson,Shooter,Edmonton Oilers,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:15:01Z,1,01:08,18:52,Shot,Wrist Shot,-75.0,-26.0,Oscar Klefbom,Shooter,Edmonton Oilers,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:15:42Z,1,01:23,18:37,Hit,n/a,-97.0,-9.0,James Neal,Hitter,Edmonton Oilers,Korbinian Holzer,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:47:19Z,1,01:25,18:35,Giveaway,n/a,-97.0,12.0,Korbinian Holzer,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:15:25Z,1,01:28,18:32,Goal,Wrist Shot,-81.0,6.0,Ryan Nugent-Hopkins,Scorer,Edmonton Oilers,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:16:07Z,1,01:28,18:32,Faceoff,n/a,0.0,0.0,Derek Grant,Winner,Anaheim Ducks,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:16:37Z,1,01:39,18:21,Faceoff,n/a,20.0,-22.0,Derek Grant,Winner,Anaheim Ducks,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:17:12Z,1,02:04,17:56,Blocked Shot,n/a,58.0,-10.0,Kris Russell,Blocker,Edmonton Oilers,Max Jones,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:17:35Z,1,02:07,17:53,Giveaway,n/a,81.0,36.0,Matt Benning,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:17:23Z,1,02:10,17:50,Blocked Shot,n/a,73.0,9.0,Markus Granlund,Blocker,Edmonton Oilers,Troy Terry,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T02:17:44Z,1,02:11,17:49,Faceoff,n/a,69.0,22.0,Sam Steel,Winner,Anaheim Ducks,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
