Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-11T00:08:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Kuraly,Winner,Boston Bruins,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:09:18Z,1,00:22,19:38,Hit,n/a,94.0,17.0,Matt Niskanen,Hitter,Philadelphia Flyers,Joakim Nordstrom,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:09:44Z,1,00:48,19:12,Missed Shot,n/a,85.0,-13.0,Patrice Bergeron,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:09:54Z,1,00:51,19:09,Missed Shot,n/a,58.0,36.0,Matt Grzelcyk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:10:17Z,1,01:21,18:39,Shot,Wrist Shot,-17.0,-27.0,Oskar Lindblom,Shooter,Philadelphia Flyers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:10:41Z,1,01:45,18:15,Shot,Snap Shot,-35.0,37.0,Justin Braun,Shooter,Philadelphia Flyers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:11:32Z,1,02:36,17:24,Hit,n/a,-38.0,-38.0,Par Lindholm,Hitter,Boston Bruins,Tyler Pitlick,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:11:40Z,1,02:44,17:16,Shot,Slap Shot,33.0,-28.0,Charlie McAvoy,Shooter,Boston Bruins,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:11:48Z,1,02:52,17:08,Hit,n/a,-41.0,-38.0,Charlie McAvoy,Hitter,Boston Bruins,Michael Raffl,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:12:00Z,1,03:04,16:56,Shot,Wrist Shot,-45.0,36.0,Kevin Hayes,Shooter,Philadelphia Flyers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:12:27Z,1,03:30,16:30,Shot,Snap Shot,63.0,-3.0,Sean Kuraly,Shooter,Boston Bruins,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:13:29Z,1,04:33,15:27,Blocked Shot,n/a,-68.0,7.0,Torey Krug,Blocker,Boston Bruins,James van Riemsdyk,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:13:30Z,1,04:34,15:26,Missed Shot,n/a,-39.0,-27.0,Ivan Provorov,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:13:41Z,1,04:40,15:20,Shot,Wrist Shot,-45.0,2.0,James van Riemsdyk,Shooter,Philadelphia Flyers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:14:10Z,1,04:40,15:20,Faceoff,n/a,-69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Michael Raffl,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:14:30Z,1,04:51,15:09,Shot,Wrist Shot,-38.0,-34.0,Travis Sanheim,Shooter,Philadelphia Flyers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:14:33Z,1,04:54,15:06,Hit,n/a,-95.0,-9.0,Matt Grzelcyk,Hitter,Boston Bruins,Tyler Pitlick,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:14:44Z,1,05:05,14:55,Hit,n/a,-5.0,38.0,Philippe Myers,Hitter,Philadelphia Flyers,Brad Marchand,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:15:03Z,1,05:24,14:36,Hit,n/a,95.0,9.0,David Pastrnak,Hitter,Boston Bruins,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:15:17Z,1,05:38,14:22,Takeaway,n/a,49.0,-2.0,Kevin Hayes,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
