Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-11T00:11:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:12:53Z,1,00:26,19:34,Hit,n/a,-98.0,11.0,Jake Muzzin,Hitter,Toronto Maple Leafs,Brandon Saad,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:12:44Z,1,00:27,19:33,Blocked Shot,n/a,-75.0,5.0,Jake Muzzin,Blocker,Toronto Maple Leafs,Alex Nylander,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:13:24Z,1,00:32,19:28,Penalty,Roughing,-95.0,11.0,Jonathan Toews,PenaltyOn,Chicago Blackhawks,Jake Muzzin,DrewBy,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:13:52Z,1,00:32,19:28,Penalty,Roughing,-96.0,11.0,Jonathan Toews,PenaltyOn,Chicago Blackhawks,Jake Muzzin,DrewBy,Chicago Blackhawks,Dylan Strome,ServedBy,Toronto Maple Leafs,n/a,n/a,n/a
2019-11-11T00:14:01Z,1,00:32,19:28,Penalty,Roughing,-94.0,11.0,Jake Muzzin,PenaltyOn,Toronto Maple Leafs,Jonathan Toews,DrewBy,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:14:08Z,1,00:32,19:28,Faceoff,n/a,69.0,22.0,David Kampf,Winner,Chicago Blackhawks,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:15:00Z,1,01:27,18:33,Hit,n/a,95.0,-28.0,Olli Maatta,Hitter,Chicago Blackhawks,Auston Matthews,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:15:22Z,1,01:29,18:31,Faceoff,n/a,20.0,22.0,Andrew Shaw,Winner,Chicago Blackhawks,Alexander Kerfoot,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-11T00:16:25Z,1,02:28,17:32,Giveaway,n/a,52.0,-22.0,Jason Spezza,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
