Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-12T00:10:13Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:11:22Z,1,00:20,19:40,Faceoff,n/a,-69.0,-22.0,Nicklas Backstrom,Winner,Washington Capitals,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:12:00Z,1,00:36,19:24,Missed Shot,n/a,-79.0,9.0,Nicklas Backstrom,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:12:27Z,1,01:03,18:57,Shot,Wrist Shot,-77.0,20.0,Jakub Vrana,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:12:38Z,1,01:15,18:45,Hit,n/a,65.0,40.0,Radko Gudas,Hitter,Washington Capitals,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:01Z,1,01:20,18:40,Faceoff,n/a,69.0,-22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:19Z,1,01:28,18:32,Shot,Slap Shot,32.0,-2.0,Aaron Ness,Shooter,Arizona Coyotes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:28Z,1,01:37,18:23,Takeaway,n/a,28.0,-32.0,Jakub Vrana,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:30Z,1,01:39,18:21,Shot,Wrist Shot,-69.0,7.0,Tom Wilson,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:13:47Z,1,01:52,18:08,Takeaway,n/a,68.0,-37.0,Vinnie Hinostroza,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:14:07Z,1,02:15,17:45,Shot,Wrist Shot,60.0,-26.0,Carl Soderberg,Shooter,Arizona Coyotes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:14:35Z,1,02:17,17:43,Faceoff,n/a,69.0,-22.0,Lars Eller,Winner,Washington Capitals,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:13Z,1,02:34,17:26,Faceoff,n/a,69.0,-22.0,Derek Stepan,Winner,Arizona Coyotes,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:23Z,1,02:38,17:22,Blocked Shot,n/a,79.0,-11.0,John Carlson,Blocker,Washington Capitals,Derek Stepan,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:34Z,1,02:49,17:11,Giveaway,n/a,-99.0,2.0,Antti Raanta,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:43Z,1,02:58,17:02,Missed Shot,n/a,68.0,-6.0,Derek Stepan,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:03Z,1,03:10,16:50,Takeaway,n/a,73.0,39.0,Vinnie Hinostroza,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:15:57Z,1,03:12,16:48,Hit,n/a,40.0,40.0,Garnet Hathaway,Hitter,Washington Capitals,Vinnie Hinostroza,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:15Z,1,03:30,16:30,Hit,n/a,-78.0,36.0,Nic Dowd,Hitter,Washington Capitals,Alex Goligoski,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:16:22Z,1,03:37,16:23,Missed Shot,n/a,-33.0,5.0,Radko Gudas,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:00Z,1,04:15,15:45,Blocked Shot,n/a,-57.0,-15.0,Alex Goligoski,Blocker,Arizona Coyotes,Dmitry Orlov,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:26Z,1,04:41,15:19,Shot,Snap Shot,-86.0,21.0,John Carlson,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:29Z,1,04:44,15:16,Shot,Wrist Shot,-50.0,-20.0,Jakub Vrana,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:34Z,1,04:49,15:11,Hit,n/a,-46.0,39.0,Tom Wilson,Hitter,Washington Capitals,Oliver Ekman-Larsson,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:17:49Z,1,05:02,14:58,Shot,Wrist Shot,-59.0,-17.0,John Carlson,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:18:19Z,1,05:03,14:57,Faceoff,n/a,-69.0,-22.0,Lars Eller,Winner,Washington Capitals,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:18:45Z,1,05:28,14:32,Shot,Wrist Shot,88.0,18.0,Clayton Keller,Shooter,Arizona Coyotes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:19:28Z,1,06:10,13:50,Shot,Slap Shot,-66.0,-15.0,Nick Jensen,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:19:33Z,1,06:15,13:45,Blocked Shot,n/a,-75.0,-8.0,Brad Richardson,Blocker,Arizona Coyotes,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:20:26Z,1,07:09,12:51,Blocked Shot,n/a,-41.0,21.0,Lawson Crouse,Blocker,Arizona Coyotes,Radko Gudas,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:06Z,1,07:46,12:14,Takeaway,n/a,88.0,29.0,Nick Schmaltz,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:34Z,1,08:16,11:44,Takeaway,n/a,89.0,28.0,Nick Schmaltz,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:40Z,1,08:22,11:38,Blocked Shot,n/a,58.0,-16.0,John Carlson,Blocker,Washington Capitals,Nick Schmaltz,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:48Z,1,08:30,11:30,Shot,Wrist Shot,-78.0,27.0,Tom Wilson,Shooter,Washington Capitals,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:55Z,1,08:37,11:23,Shot,Wrist Shot,25.0,-2.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:21:57Z,1,08:39,11:21,Hit,n/a,52.0,38.0,Tom Wilson,Hitter,Washington Capitals,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-12T00:25:02Z,1,09:09,10:51,Faceoff,n/a,-20.0,22.0,Brad Richardson,Winner,Arizona Coyotes,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
