Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-13T00:08:08Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:08:38Z,1,00:11,19:49,Faceoff,n/a,20.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:10:25Z,1,01:18,18:42,Faceoff,n/a,-69.0,22.0,Nick Suzuki,Winner,Montréal Canadiens,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:10:45Z,1,01:36,18:24,Blocked Shot,n/a,-64.0,-13.0,Cam Atkinson,Blocker,Columbus Blue Jackets,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:10:52Z,1,01:40,18:20,Shot,Wrist Shot,-31.0,36.0,Ben Chiarot,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:11:17Z,1,01:41,18:19,Faceoff,n/a,-69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Josh Anderson,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:11:39Z,1,01:51,18:09,Hit,n/a,95.0,-16.0,Josh Anderson,Hitter,Columbus Blue Jackets,Cale Fleury,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:11:53Z,1,02:05,17:55,Hit,n/a,-47.0,40.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,Nate Thompson,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:12:15Z,1,02:17,17:43,Missed Shot,n/a,-32.0,-33.0,Brett Kulak,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:12:36Z,1,02:32,17:28,Faceoff,n/a,20.0,-22.0,Phillip Danault,Winner,Montréal Canadiens,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:13:06Z,1,02:59,17:01,Giveaway,n/a,83.0,-38.0,Carey Price,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:13:13Z,1,03:03,16:57,Shot,Wrist Shot,81.0,17.0,Eric Robinson,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:13:39Z,1,03:04,16:56,Faceoff,n/a,69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:14:06Z,1,03:19,16:41,Giveaway,n/a,49.0,-26.0,Victor Mete,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:14:20Z,1,03:42,16:18,Shot,Wrist Shot,-67.0,26.0,Shea Weber,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:14:44Z,1,03:43,16:17,Blocked Shot,n/a,-62.0,4.0,David Savard,Blocker,Columbus Blue Jackets,Shea Weber,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:14:48Z,1,03:54,16:06,Penalty,Tripping,89.0,-32.0,Shea Weber,PenaltyOn,Montréal Canadiens,Pierre-Luc Dubois,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:15:14Z,1,03:54,16:06,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:15:20Z,1,04:10,15:50,Giveaway,n/a,-46.0,0.0,Sonny Milano,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:15:33Z,1,04:12,15:48,Faceoff,n/a,-20.0,22.0,Cam Atkinson,Winner,Columbus Blue Jackets,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:16:49Z,1,05:13,14:47,Shot,Wrist Shot,88.0,27.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:17:10Z,1,05:34,14:26,Shot,Wrist Shot,66.0,10.0,Zach Werenski,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:17:56Z,1,06:20,13:40,Hit,n/a,96.0,-22.0,Boone Jenner,Hitter,Columbus Blue Jackets,Cale Fleury,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:18:13Z,1,06:35,13:25,Shot,Wrist Shot,-29.0,30.0,Cale Fleury,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:20:59Z,1,06:36,13:24,Faceoff,n/a,-69.0,22.0,Nick Suzuki,Winner,Montréal Canadiens,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:20:47Z,1,06:46,13:14,Hit,n/a,-50.0,-40.0,Dean Kukan,Hitter,Columbus Blue Jackets,Victor Mete,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:21:41Z,1,07:02,12:58,Faceoff,n/a,-20.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:21:38Z,1,07:12,12:48,Giveaway,n/a,39.0,39.0,Cale Fleury,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:21:46Z,1,07:19,12:41,Hit,n/a,41.0,-39.0,Josh Anderson,Hitter,Columbus Blue Jackets,Tomas Tatar,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:21:48Z,1,07:21,12:39,Shot,Wrist Shot,59.0,10.0,Boone Jenner,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:22:28Z,1,07:22,12:38,Faceoff,n/a,69.0,22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:22:22Z,1,07:24,12:36,Shot,Slap Shot,29.0,34.0,Seth Jones,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:22:37Z,1,07:25,12:35,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:22:46Z,1,07:31,12:29,Giveaway,n/a,50.0,41.0,Victor Mete,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:22:59Z,1,07:33,12:27,Penalty,Tripping,70.0,12.0,Shea Weber,PenaltyOn,Montréal Canadiens,Oliver Bjorkstrand,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:23:23Z,1,07:33,12:27,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:24:20Z,1,07:59,12:01,Faceoff,n/a,20.0,-22.0,Nate Thompson,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:24:24Z,1,08:06,11:54,Missed Shot,n/a,43.0,23.0,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:25:03Z,1,08:43,11:17,Shot,Snap Shot,69.0,25.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:25:27Z,1,08:45,11:15,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:25:54Z,1,08:59,11:01,Shot,Wrist Shot,71.0,-14.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:04Z,1,09:10,10:50,Shot,Slap Shot,36.0,32.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:09Z,1,09:12,10:48,Hit,n/a,99.0,9.0,Boone Jenner,Hitter,Columbus Blue Jackets,Jeff Petry,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:15Z,1,09:21,10:39,Shot,Wrist Shot,70.0,-6.0,Josh Anderson,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:21Z,1,09:27,10:33,Shot,Wrist Shot,59.0,-34.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:33Z,1,09:38,10:22,Blocked Shot,n/a,70.0,-6.0,Jeff Petry,Blocker,Montréal Canadiens,Emil Bemstrom,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:26:56Z,1,09:59,10:01,Shot,Wrist Shot,-34.0,33.0,Brett Kulak,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:27:18Z,1,10:00,10:00,Faceoff,n/a,-69.0,22.0,Nate Thompson,Winner,Montréal Canadiens,Riley Nash,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:27:23Z,1,10:05,09:55,Shot,Wrist Shot,-30.0,18.0,Cale Fleury,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:27:30Z,1,10:12,09:48,Shot,Tip-In,-68.0,1.0,Ryan Poehling,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:27:38Z,1,10:20,09:40,Hit,n/a,-10.0,-39.0,Riley Nash,Hitter,Columbus Blue Jackets,Nick Cousins,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:28:17Z,1,10:58,09:02,Shot,Wrist Shot,-52.0,23.0,Victor Mete,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:30:14Z,1,11:01,08:59,Faceoff,n/a,-69.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:30:50Z,1,11:13,08:47,Blocked Shot,n/a,-33.0,22.0,Alexander Wennberg,Blocker,Columbus Blue Jackets,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:30:59Z,1,11:21,08:39,Blocked Shot,n/a,-68.0,-1.0,Alexandre Texier,Blocker,Columbus Blue Jackets,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:31:11Z,1,11:34,08:26,Shot,Wrist Shot,-51.0,14.0,Joel Armia,Shooter,Montréal Canadiens,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:31:21Z,1,11:34,08:26,Blocked Shot,n/a,-64.0,17.0,Alexander Wennberg,Blocker,Columbus Blue Jackets,Jeff Petry,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:31:26Z,1,11:47,08:13,Hit,n/a,-84.0,39.0,Brendan Gallagher,Hitter,Montréal Canadiens,Vladislav Gavrikov,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:31:45Z,1,11:58,08:02,Giveaway,n/a,47.0,-37.0,Jonathan Drouin,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:32:10Z,1,12:10,07:50,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T00:32:58Z,1,12:54,07:06,Missed Shot,n/a,65.0,-27.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
