Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-13T03:07:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brandon Sutter,Winner,Vancouver Canucks,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:08:27Z,1,00:17,19:43,Giveaway,n/a,93.0,17.0,Tyler Myers,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:09:09Z,1,00:51,19:09,Faceoff,n/a,-69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:09:45Z,1,01:10,18:50,Blocked Shot,n/a,-69.0,-1.0,Ryan Ellis,Blocker,Nashville Predators,Christopher Tanev,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:10:07Z,1,01:33,18:27,Takeaway,n/a,-18.0,23.0,Matt Duchene,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:10:10Z,1,01:36,18:24,Shot,Wrist Shot,64.0,14.0,Matt Duchene,Shooter,Nashville Predators,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:10:24Z,1,01:50,18:10,Missed Shot,n/a,57.0,14.0,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:10:55Z,1,02:21,17:39,Shot,Deflected,-76.0,-8.0,Elias Pettersson,Shooter,Vancouver Canucks,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:11:19Z,1,02:45,17:15,Blocked Shot,n/a,73.0,11.0,Loui Eriksson,Blocker,Vancouver Canucks,Yannick Weber,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-13T03:11:50Z,1,03:16,16:44,Hit,n/a,68.0,32.0,Colton Sissons,Hitter,Nashville Predators,Tyler Myers,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
