Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-15T03:40:09Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:41:21Z,1,00:17,19:43,Shot,Tip-In,-66.0,-4.0,Dustin Brown,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:41:37Z,1,00:27,19:33,Missed Shot,n/a,-64.0,-2.0,Alex Iafallo,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:41:36Z,1,00:32,19:28,Missed Shot,n/a,-70.0,9.0,Alex Iafallo,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:42:17Z,1,00:34,19:26,Faceoff,n/a,-69.0,-22.0,Jeff Carter,Winner,Los Angeles Kings,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:42:32Z,1,00:39,19:21,Blocked Shot,n/a,-71.0,-2.0,Valtteri Filppula,Blocker,Detroit Red Wings,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:43:00Z,1,01:09,18:51,Missed Shot,n/a,-86.0,29.0,Jeff Carter,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:43:29Z,1,01:38,18:22,Blocked Shot,n/a,-70.0,3.0,Adam Erne,Blocker,Detroit Red Wings,Alec Martinez,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:43:43Z,1,01:52,18:08,Hit,n/a,-63.0,39.0,Austin Wagner,Hitter,Los Angeles Kings,Dylan McIlrath,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:43:46Z,1,01:56,18:04,Shot,Wrist Shot,-40.0,-18.0,Ben Hutton,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:44:02Z,1,02:11,17:49,Missed Shot,n/a,-71.0,16.0,Kyle Clifford,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:44:08Z,1,02:12,17:48,Shot,Tip-In,-78.0,-1.0,Kyle Clifford,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:44:10Z,1,02:12,17:48,Hit,n/a,-39.0,-22.0,Givani Smith,Hitter,Detroit Red Wings,Matt Roy,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:44:22Z,1,02:14,17:46,Penalty,Slashing,-66.0,10.0,Darren Helm,PenaltyOn,Detroit Red Wings,Kyle Clifford,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:44:49Z,1,02:14,17:46,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:45:06Z,1,02:33,17:27,Shot,Wrist Shot,-70.0,23.0,Valtteri Filppula,Shooter,Detroit Red Wings,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:45:20Z,1,02:45,17:15,Shot,Wrist Shot,-70.0,-11.0,Tyler Toffoli,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:45:59Z,1,02:47,17:13,Faceoff,n/a,-69.0,-22.0,Anze Kopitar,Winner,Los Angeles Kings,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:46:11Z,1,03:02,16:58,Missed Shot,n/a,-56.0,11.0,Tyler Toffoli,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:47:03Z,1,03:54,16:06,Blocked Shot,n/a,-59.0,8.0,Valtteri Filppula,Blocker,Detroit Red Wings,Alec Martinez,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:48:38Z,1,05:30,14:30,Giveaway,n/a,97.0,17.0,Drew Doughty,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:48:43Z,1,05:35,14:25,Missed Shot,n/a,32.0,-32.0,Mike Green,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:48:58Z,1,05:46,14:14,Missed Shot,n/a,-76.0,2.0,Alex Iafallo,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:49:15Z,1,05:47,14:13,Goal,Wrist Shot,-83.0,0.0,Anze Kopitar,Scorer,Los Angeles Kings,Alex Iafallo,Assist,Los Angeles Kings,Sean Walker,Assist,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings
2019-11-15T03:49:39Z,1,05:47,14:13,Faceoff,n/a,0.0,0.0,Michael Amadio,Winner,Los Angeles Kings,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:50:36Z,1,06:38,13:22,Hit,n/a,-50.0,38.0,Blake Lizotte,Hitter,Los Angeles Kings,Andreas Athanasiou,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:51:03Z,1,06:59,13:01,Faceoff,n/a,-69.0,-22.0,Frans Nielsen,Winner,Detroit Red Wings,Adrian Kempe,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:51:52Z,1,07:17,12:43,Giveaway,n/a,-39.0,-25.0,Blake Lizotte,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:51:58Z,1,07:21,12:39,Shot,Wrist Shot,59.0,4.0,Adam Erne,Shooter,Detroit Red Wings,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:52:08Z,1,07:36,12:24,Shot,Wrist Shot,34.0,11.0,Alex Biega,Shooter,Detroit Red Wings,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:52:41Z,1,07:44,12:16,Hit,n/a,-62.0,42.0,Alex Biega,Hitter,Detroit Red Wings,Austin Wagner,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:53:42Z,1,09:08,10:52,Missed Shot,n/a,87.0,-7.0,Dylan Larkin,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:53:48Z,1,09:16,10:44,Shot,Wrist Shot,-56.0,-15.0,Alex Iafallo,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:53:52Z,1,09:17,10:43,Blocked Shot,n/a,-78.0,1.0,Tyler Bertuzzi,Blocker,Detroit Red Wings,Matt Roy,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:55:12Z,1,10:37,09:23,Hit,n/a,12.0,-39.0,Dylan McIlrath,Hitter,Detroit Red Wings,Adrian Kempe,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:55:12Z,1,10:40,09:20,Missed Shot,n/a,-72.0,-13.0,Blake Lizotte,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:56:00Z,1,11:17,08:43,Shot,Snap Shot,-36.0,-19.0,Drew Doughty,Shooter,Los Angeles Kings,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:56:19Z,1,11:18,08:42,Penalty,Holding,-27.0,-23.0,Dylan McIlrath,PenaltyOn,Detroit Red Wings,Adrian Kempe,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:58:06Z,1,11:18,08:42,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:58:34Z,1,11:24,08:36,Giveaway,n/a,-91.0,-24.0,Madison Bowey,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:59:02Z,1,11:39,08:21,Faceoff,n/a,-69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T04:00:41Z,1,13:04,06:56,Missed Shot,n/a,43.0,4.0,Christoffer Ehn,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
