Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-15T03:11:49Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joe Pavelski,Winner,Dallas Stars,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:12:29Z,1,00:08,19:52,Faceoff,n/a,-69.0,-22.0,Joe Pavelski,Winner,Dallas Stars,J.T. Miller,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:12:54Z,1,00:15,19:45,Shot,Deflected,-77.0,2.0,Adam Gaudette,Shooter,Vancouver Canucks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:13:22Z,1,00:15,19:45,Faceoff,n/a,-69.0,22.0,Jason Dickinson,Winner,Dallas Stars,Josh Leivo,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:13:43Z,1,00:29,19:31,Shot,Wrist Shot,38.0,-10.0,Taylor Fedun,Shooter,Dallas Stars,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:13:58Z,1,00:44,19:16,Takeaway,n/a,-44.0,23.0,Tyler Myers,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:14:00Z,1,00:45,19:15,Shot,Wrist Shot,-84.0,21.0,Tyler Myers,Shooter,Vancouver Canucks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:14:16Z,1,01:02,18:58,Blocked Shot,n/a,-67.0,-6.0,Esa Lindell,Blocker,Dallas Stars,Josh Leivo,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:15:05Z,1,01:49,18:11,Hit,n/a,96.0,-16.0,Justin Dowling,Hitter,Dallas Stars,Christopher Tanev,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-15T03:15:37Z,1,02:23,17:37,Hit,n/a,96.0,7.0,Alexander Edler,Hitter,Vancouver Canucks,Corey Perry,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
