Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-16T21:11:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tyler Seguin,Winner,Dallas Stars,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:12:42Z,1,00:19,19:41,Faceoff,n/a,-20.0,22.0,Tyler Seguin,Winner,Dallas Stars,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:13:17Z,1,00:33,19:27,Giveaway,n/a,17.0,-34.0,Esa Lindell,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:13:51Z,1,01:09,18:51,Hit,n/a,95.0,-16.0,James Neal,Hitter,Edmonton Oilers,Roman Polak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:14:01Z,1,01:19,18:41,Hit,n/a,-95.0,20.0,Andrew Cogliano,Hitter,Dallas Stars,Caleb Jones,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:14:47Z,1,01:41,18:19,Faceoff,n/a,-20.0,-22.0,Justin Dowling,Winner,Dallas Stars,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:08Z,1,01:57,18:03,Hit,n/a,-73.0,-38.0,Alexander Radulov,Hitter,Dallas Stars,Matt Benning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:20Z,1,02:11,17:49,Hit,n/a,32.0,-40.0,Jujhar Khaira,Hitter,Edmonton Oilers,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:24Z,1,02:15,17:45,Blocked Shot,n/a,-66.0,20.0,Kris Russell,Blocker,Edmonton Oilers,Corey Perry,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:36Z,1,02:27,17:33,Giveaway,n/a,83.0,38.0,Miro Heiskanen,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:44Z,1,02:36,17:24,Shot,Snap Shot,34.0,28.0,Oscar Klefbom,Shooter,Edmonton Oilers,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:00Z,1,02:52,17:08,Blocked Shot,n/a,74.0,14.0,Miro Heiskanen,Blocker,Dallas Stars,Oscar Klefbom,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:14Z,1,03:06,16:54,Shot,Snap Shot,42.0,-13.0,Connor McDavid,Shooter,Edmonton Oilers,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:23Z,1,03:13,16:47,Shot,Slap Shot,37.0,22.0,Oscar Klefbom,Shooter,Edmonton Oilers,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:39Z,1,03:14,16:46,Penalty,Tripping,84.0,2.0,Nick Caamano,PenaltyOn,Dallas Stars,Markus Granlund,DrewBy,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:51Z,1,03:14,16:46,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:17:44Z,1,04:03,15:57,Giveaway,n/a,-26.0,17.0,Ryan Nugent-Hopkins,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:18:09Z,1,04:27,15:33,Takeaway,n/a,49.0,-40.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:18:31Z,1,04:49,15:11,Giveaway,n/a,56.0,-40.0,Leon Draisaitl,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:19:13Z,1,05:27,14:33,Blocked Shot,n/a,74.0,1.0,Roman Polak,Blocker,Dallas Stars,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:19:24Z,1,05:31,14:29,Blocked Shot,n/a,74.0,1.0,Roman Polak,Blocker,Dallas Stars,Darnell Nurse,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:19:51Z,1,05:50,14:10,Faceoff,n/a,0.0,0.0,Riley Sheahan,Winner,Edmonton Oilers,Justin Dowling,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:22:13Z,1,06:09,13:51,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,James Neal,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
