Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-16T00:07:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:08:33Z,1,00:18,19:42,Hit,n/a,91.0,25.0,Nico Hischier,Hitter,New Jersey Devils,John Marino,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:08:43Z,1,00:25,19:35,Missed Shot,n/a,49.0,-20.0,Taylor Hall,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:09:07Z,1,00:25,19:35,Faceoff,n/a,69.0,-22.0,Blake Coleman,Winner,New Jersey Devils,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:09:20Z,1,00:31,19:29,Takeaway,n/a,67.0,-35.0,Evgeni Malkin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:09:20Z,1,00:32,19:28,Takeaway,n/a,62.0,-38.0,Evgeni Malkin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:09:45Z,1,00:34,19:26,Penalty,Hooking,18.0,-11.0,Travis Zajac,PenaltyOn,New Jersey Devils,Evgeni Malkin,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:09:57Z,1,00:34,19:26,Faceoff,n/a,-69.0,-22.0,Pavel Zacha,Winner,New Jersey Devils,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:10:24Z,1,01:03,18:57,Blocked Shot,n/a,-72.0,3.0,Andy Greene,Blocker,New Jersey Devils,Alex Galchenyuk,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:10:36Z,1,01:15,18:45,Shot,Wrist Shot,46.0,0.0,Pavel Zacha,Shooter,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:10:56Z,1,01:28,18:32,Shot,Slap Shot,-42.0,0.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:11:05Z,1,01:29,18:31,Shot,Snap Shot,-81.0,-6.0,Nick Bjugstad,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:11:20Z,1,01:59,18:01,Giveaway,n/a,-43.0,37.0,Dominik Simon,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:11:44Z,1,02:23,17:37,Hit,n/a,-92.0,24.0,Andy Greene,Hitter,New Jersey Devils,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:11:53Z,1,02:32,17:28,Shot,Wrist Shot,-47.0,-19.0,Dominik Simon,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:11:58Z,1,02:37,17:23,Shot,Backhand,-71.0,-7.0,Dominik Kahun,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:12:12Z,1,02:47,17:13,Faceoff,n/a,69.0,22.0,Jack Hughes,Winner,New Jersey Devils,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:12:52Z,1,02:58,17:02,Hit,n/a,42.0,32.0,Brian Dumoulin,Hitter,Pittsburgh Penguins,Kyle Palmieri,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:12:58Z,1,03:05,16:55,Takeaway,n/a,53.0,30.0,Teddy Blueger,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:13:04Z,1,03:11,16:49,Blocked Shot,n/a,44.0,-1.0,Teddy Blueger,Blocker,Pittsburgh Penguins,Matt Tennyson,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:13:18Z,1,03:24,16:36,Hit,n/a,-18.0,-37.0,Miles Wood,Hitter,New Jersey Devils,Zach Aston-Reese,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:13:21Z,1,03:25,16:35,Blocked Shot,n/a,-62.0,2.0,P.K. Subban,Blocker,New Jersey Devils,Teddy Blueger,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:13:35Z,1,03:25,16:35,Penalty,Slashing,-58.0,20.0,Zach Aston-Reese,PenaltyOn,Pittsburgh Penguins,Miles Wood,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:14:05Z,1,03:25,16:35,Penalty,Cross checking,-57.0,18.0,Miles Wood,PenaltyOn,New Jersey Devils,Zach Aston-Reese,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:14:16Z,1,03:25,16:35,Faceoff,n/a,-69.0,22.0,Nico Hischier,Winner,New Jersey Devils,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:15:05Z,1,04:19,15:41,Takeaway,n/a,29.0,-34.0,Evgeni Malkin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:15:07Z,1,04:21,15:39,Shot,Snap Shot,-53.0,-29.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:15:55Z,1,05:09,14:51,Shot,Snap Shot,51.0,12.0,Jack Hughes,Shooter,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:16:04Z,1,05:18,14:42,Shot,Snap Shot,-56.0,16.0,Bryan Rust,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:16:33Z,1,05:18,14:42,Faceoff,n/a,-69.0,22.0,Alex Galchenyuk,Winner,Pittsburgh Penguins,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:16:48Z,1,05:24,14:36,Takeaway,n/a,-96.0,15.0,Pavel Zacha,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:17:02Z,1,05:45,14:15,Shot,Tip-In,80.0,2.0,Wayne Simmonds,Shooter,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:17:26Z,1,06:05,13:55,Hit,n/a,72.0,-38.0,Wayne Simmonds,Hitter,New Jersey Devils,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:17:50Z,1,06:23,13:37,Giveaway,n/a,-97.0,-1.0,Mackenzie Blackwood,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:17:50Z,1,06:32,13:28,Blocked Shot,n/a,-76.0,-7.0,Matt Tennyson,Blocker,New Jersey Devils,Marcus Pettersson,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:17:59Z,1,06:42,13:18,Hit,n/a,97.0,7.0,Blake Coleman,Hitter,New Jersey Devils,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:18:49Z,1,06:58,13:02,Giveaway,n/a,97.0,3.0,Brian Dumoulin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:18:22Z,1,06:59,13:01,Goal,Wrist Shot,76.0,3.0,Travis Zajac,Scorer,New Jersey Devils,Jesper Bratt,Assist,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a
2019-11-16T00:19:02Z,1,06:59,13:01,Faceoff,n/a,0.0,0.0,Taylor Hall,Winner,New Jersey Devils,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:19:37Z,1,07:35,12:25,Shot,Snap Shot,56.0,20.0,Taylor Hall,Shooter,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:19:42Z,1,07:41,12:19,Missed Shot,n/a,48.0,5.0,Nico Hischier,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:19:55Z,1,07:53,12:07,Giveaway,n/a,-4.0,-27.0,Dominik Simon,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:20:05Z,1,08:03,11:57,Hit,n/a,82.0,35.0,Kyle Palmieri,Hitter,New Jersey Devils,Juuso Riikola,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:23:13Z,1,08:55,11:05,Shot,Snap Shot,39.0,-10.0,Matt Tennyson,Shooter,New Jersey Devils,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:23:36Z,1,08:55,11:05,Faceoff,n/a,69.0,-22.0,Zach Aston-Reese,Winner,Pittsburgh Penguins,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:04Z,1,09:08,10:52,Giveaway,n/a,29.0,-24.0,Teddy Blueger,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:16Z,1,09:20,10:40,Missed Shot,n/a,36.0,9.0,Will Butcher,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:21Z,1,09:25,10:35,Hit,n/a,87.0,33.0,Nico Hischier,Hitter,New Jersey Devils,John Marino,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:30Z,1,09:34,10:26,Hit,n/a,-95.0,25.0,Will Butcher,Hitter,New Jersey Devils,Teddy Blueger,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:36Z,1,09:40,10:20,Missed Shot,n/a,-71.0,17.0,Teddy Blueger,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:24:49Z,1,09:52,10:08,Blocked Shot,n/a,-72.0,5.0,Jesper Bratt,Blocker,New Jersey Devils,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T00:25:10Z,1,10:14,09:46,Giveaway,n/a,-21.0,0.0,Blake Coleman,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
