Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-16T21:10:34Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:11:30Z,1,00:19,19:41,Shot,Snap Shot,-38.0,13.0,Tucker Poolman,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:11:49Z,1,00:20,19:40,Faceoff,n/a,-69.0,22.0,Patrik Laine,Winner,Winnipeg Jets,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:12:12Z,1,00:26,19:34,Missed Shot,n/a,-36.0,27.0,Tucker Poolman,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:12:15Z,1,00:29,19:31,Hit,n/a,-78.0,-30.0,Erik Cernak,Hitter,Tampa Bay Lightning,Mark Scheifele,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:12:52Z,1,01:03,18:57,Blocked Shot,n/a,-67.0,-15.0,Kevin Shattenkirk,Blocker,Tampa Bay Lightning,Jack Roslovic,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:13:19Z,1,01:33,18:27,Takeaway,n/a,-50.0,-34.0,Kevin Shattenkirk,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:13:39Z,1,01:52,18:08,Missed Shot,n/a,-67.0,14.0,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:20:29Z,1,01:54,18:06,Hit,n/a,-93.0,23.0,Adam Lowry,Hitter,Winnipeg Jets,Victor Hedman,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:13:53Z,1,01:59,18:01,Goal,Tip-In,-61.0,0.0,Mathieu Perreault,Scorer,Winnipeg Jets,Josh Morrissey,Assist,Winnipeg Jets,Tucker Poolman,Assist,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning
2019-11-16T21:14:21Z,1,01:59,18:01,Faceoff,n/a,0.0,0.0,David Gustafsson,Winner,Winnipeg Jets,Cedric Paquette,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:04Z,1,02:37,17:23,Missed Shot,n/a,39.0,-32.0,Luke Schenn,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:15:43Z,1,03:16,16:44,Hit,n/a,-44.0,-37.0,Erik Cernak,Hitter,Tampa Bay Lightning,Mark Scheifele,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:16:31Z,1,04:04,15:56,Hit,n/a,93.0,-23.0,Tucker Poolman,Hitter,Winnipeg Jets,Alex Killorn,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:17:21Z,1,04:39,15:21,Faceoff,n/a,20.0,-22.0,Adam Lowry,Winner,Winnipeg Jets,Steven Stamkos,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:17:54Z,1,05:02,14:58,Hit,n/a,70.0,-33.0,Nathan Beaulieu,Hitter,Winnipeg Jets,Carter Verhaeghe,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:18:08Z,1,05:06,14:54,Takeaway,n/a,72.0,-9.0,Adam Lowry,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:18:37Z,1,05:45,14:15,Hit,n/a,70.0,34.0,Yanni Gourde,Hitter,Tampa Bay Lightning,Logan Shaw,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:18:44Z,1,05:46,14:14,Hit,n/a,64.0,37.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Neal Pionk,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:21:48Z,1,06:06,13:54,Faceoff,n/a,20.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:22:16Z,1,07:08,12:52,Missed Shot,n/a,-56.0,15.0,Blake Wheeler,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:22:20Z,1,07:13,12:47,Hit,n/a,-64.0,-29.0,Steven Stamkos,Hitter,Tampa Bay Lightning,Nikolaj Ehlers,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:22:49Z,1,07:18,12:42,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:23:06Z,1,07:32,12:28,Hit,n/a,-88.0,-22.0,Mathieu Perreault,Hitter,Winnipeg Jets,Kevin Shattenkirk,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:23:13Z,1,07:39,12:21,Shot,Wrist Shot,-35.0,29.0,Luca Sbisa,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:23:57Z,1,08:22,11:38,Blocked Shot,n/a,70.0,-21.0,Josh Morrissey,Blocker,Winnipeg Jets,Yanni Gourde,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:24:08Z,1,08:27,11:33,Shot,Wrist Shot,54.0,17.0,Cedric Paquette,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:24:12Z,1,08:37,11:23,Takeaway,n/a,-50.0,7.0,Pat Maroon,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:24:41Z,1,09:03,10:57,Hit,n/a,-92.0,-6.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Mark Scheifele,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:25:33Z,1,09:14,10:46,Faceoff,n/a,0.0,0.0,Brayden Point,Winner,Tampa Bay Lightning,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:25:47Z,1,09:21,10:39,Takeaway,n/a,19.0,24.0,Brayden Point,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:25:59Z,1,09:32,10:28,Missed Shot,n/a,41.0,-12.0,Tyler Johnson,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:26:14Z,1,09:46,10:14,Shot,Wrist Shot,-69.0,13.0,Jack Roslovic,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:26:22Z,1,09:49,10:11,Missed Shot,n/a,-39.0,-1.0,Dmitry Kulikov,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:26:47Z,1,10:20,09:40,Hit,n/a,-57.0,-37.0,Luke Schenn,Hitter,Tampa Bay Lightning,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:26:57Z,1,10:30,09:30,Takeaway,n/a,-64.0,36.0,Mikhail Sergachev,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:27:53Z,1,11:26,08:34,Shot,Slap Shot,36.0,-3.0,Erik Cernak,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:28:02Z,1,11:35,08:25,Blocked Shot,n/a,59.0,4.0,Luca Sbisa,Blocker,Winnipeg Jets,Steven Stamkos,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:28:34Z,1,12:08,07:52,Missed Shot,n/a,35.0,13.0,Steven Stamkos,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:28:41Z,1,12:15,07:45,Hit,n/a,90.0,12.0,Pat Maroon,Hitter,Tampa Bay Lightning,Patrik Laine,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:28:47Z,1,12:19,07:41,Hit,n/a,83.0,26.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Luca Sbisa,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:31:11Z,1,12:19,07:41,Faceoff,n/a,69.0,22.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Adam Lowry,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:32:20Z,1,13:22,06:38,Shot,Wrist Shot,-49.0,12.0,Neal Pionk,Shooter,Winnipeg Jets,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:32:31Z,1,13:29,06:31,Shot,Wrist Shot,51.0,-3.0,Nikita Kucherov,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:04Z,1,13:30,06:30,Faceoff,n/a,69.0,22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Adam Lowry,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:25Z,1,13:46,06:14,Blocked Shot,n/a,66.0,13.0,Nathan Beaulieu,Blocker,Winnipeg Jets,Carter Verhaeghe,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:28Z,1,13:49,06:11,Hit,n/a,90.0,10.0,Steven Stamkos,Hitter,Tampa Bay Lightning,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:34Z,1,13:53,06:07,Shot,Tip-In,71.0,-1.0,Carter Verhaeghe,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:43Z,1,14:04,05:56,Missed Shot,n/a,51.0,15.0,Ondrej Palat,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-16T21:33:51Z,1,14:09,05:51,Shot,Slap Shot,38.0,7.0,Victor Hedman,Shooter,Tampa Bay Lightning,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
