Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-17T00:16:19Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Auston Matthews,Winner,Toronto Maple Leafs,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:17:03Z,1,00:09,19:51,Shot,Wrist Shot,-72.0,-36.0,Auston Matthews,Shooter,Toronto Maple Leafs,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:17:14Z,1,00:10,19:50,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:18:13Z,1,00:46,19:14,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:18:24Z,1,00:48,19:12,Shot,Wrist Shot,-36.0,-8.0,Kasperi Kapanen,Shooter,Toronto Maple Leafs,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:18:40Z,1,00:54,19:06,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:18:56Z,1,01:04,18:56,Shot,Wrist Shot,-70.0,27.0,Kasperi Kapanen,Shooter,Toronto Maple Leafs,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:19:02Z,1,01:10,18:50,Hit,n/a,9.0,7.0,Morgan Rielly,Hitter,Toronto Maple Leafs,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:19:24Z,1,01:32,18:28,Blocked Shot,n/a,78.0,-4.0,Cody Ceci,Blocker,Toronto Maple Leafs,Juuso Riikola,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:19:33Z,1,01:41,18:19,Missed Shot,n/a,-46.0,-25.0,Ilya Mikheyev,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:19:43Z,1,01:44,18:16,Shot,Wrist Shot,70.0,18.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Kasimir Kaskisuo,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:20:06Z,1,01:46,18:14,Faceoff,n/a,69.0,22.0,Frederik Gauthier,Winner,Toronto Maple Leafs,Joseph Blandisi,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:20:33Z,1,02:01,17:59,Hit,n/a,-53.0,13.0,Dmytro Timashov,Hitter,Toronto Maple Leafs,Alex Galchenyuk,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:20:49Z,1,02:17,17:43,Shot,Wrist Shot,-46.0,33.0,Justin Holl,Shooter,Toronto Maple Leafs,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:21:17Z,1,02:41,17:19,Giveaway,n/a,-60.0,16.0,William Nylander,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:21:24Z,1,02:48,17:12,Giveaway,n/a,-43.0,12.0,Evgeni Malkin,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:21:24Z,1,02:51,17:09,Shot,Wrist Shot,67.0,-23.0,Bryan Rust,Shooter,Pittsburgh Penguins,Kasimir Kaskisuo,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:21:50Z,1,02:52,17:08,Faceoff,n/a,69.0,-22.0,Jared McCann,Winner,Pittsburgh Penguins,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:21:54Z,1,02:55,17:05,Shot,Wrist Shot,37.0,-27.0,Justin Schultz,Shooter,Pittsburgh Penguins,Kasimir Kaskisuo,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:22:02Z,1,02:56,17:04,Faceoff,n/a,69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Dominik Kahun,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:22:21Z,1,02:59,17:01,Hit,n/a,85.0,-39.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Morgan Rielly,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:22:15Z,1,03:02,16:58,Hit,n/a,98.0,5.0,Cody Ceci,Hitter,Toronto Maple Leafs,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:22:31Z,1,03:08,16:52,Takeaway,n/a,-61.0,-9.0,Dominik Kahun,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:22:39Z,1,03:22,16:38,Hit,n/a,-5.0,41.0,Jared McCann,Hitter,Pittsburgh Penguins,Cody Ceci,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:23:13Z,1,03:58,16:02,Shot,Slap Shot,-41.0,-23.0,Ilya Mikheyev,Shooter,Toronto Maple Leafs,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:23:41Z,1,03:59,16:01,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:23:50Z,1,04:04,15:56,Blocked Shot,n/a,-75.0,-7.0,John Marino,Blocker,Pittsburgh Penguins,Travis Dermott,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:24:17Z,1,04:11,15:49,Faceoff,n/a,20.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Frederik Gauthier,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:24:29Z,1,04:19,15:41,Hit,n/a,71.0,-41.0,Dmytro Timashov,Hitter,Toronto Maple Leafs,Bryan Rust,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:24:55Z,1,04:45,15:15,Blocked Shot,n/a,62.0,-1.0,Cody Ceci,Blocker,Toronto Maple Leafs,Bryan Rust,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:25:06Z,1,04:46,15:14,Penalty,Tripping,52.0,38.0,Frederik Gauthier,PenaltyOn,Toronto Maple Leafs,Bryan Rust,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:25:38Z,1,04:46,15:14,Faceoff,n/a,69.0,22.0,Zach Hyman,Winner,Toronto Maple Leafs,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:25:49Z,1,05:08,14:52,Shot,Slap Shot,40.0,-26.0,Juuso Riikola,Shooter,Pittsburgh Penguins,Kasimir Kaskisuo,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:26:09Z,1,05:29,14:31,Shot,Slap Shot,38.0,-3.0,Marcus Pettersson,Shooter,Pittsburgh Penguins,Kasimir Kaskisuo,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:26:14Z,1,05:31,14:29,Hit,n/a,73.0,41.0,Jared McCann,Hitter,Pittsburgh Penguins,Nicholas Shore,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T00:26:16Z,1,05:31,14:29,Missed Shot,n/a,76.0,-3.0,Dominik Simon,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
