Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-17T03:39:30Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Luke Glendening,Winner,Detroit Red Wings,Joe Thornton,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:39:47Z,1,00:08,19:52,Faceoff,n/a,0.0,0.0,Joe Thornton,Winner,San Jose Sharks,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:40:02Z,1,00:16,19:44,Shot,Wrist Shot,11.0,35.0,Radim Simek,Shooter,San Jose Sharks,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:40:17Z,1,00:31,19:29,Hit,n/a,-91.0,-24.0,Radim Simek,Hitter,San Jose Sharks,Darren Helm,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:40:20Z,1,00:34,19:26,Shot,Wrist Shot,-73.0,-3.0,Luke Glendening,Shooter,Detroit Red Wings,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:41:05Z,1,01:18,18:42,Shot,Wrist Shot,54.0,30.0,Timo Meier,Shooter,San Jose Sharks,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:41:32Z,1,01:18,18:42,Faceoff,n/a,69.0,22.0,Logan Couture,Winner,San Jose Sharks,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:42:26Z,1,02:00,18:00,Penalty,Tripping,-65.0,-38.0,Robby Fabbri,PenaltyOn,Detroit Red Wings,Mario Ferraro,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:43:03Z,1,02:00,18:00,Faceoff,n/a,69.0,22.0,Tomas Hertl,Winner,San Jose Sharks,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:43:02Z,1,02:06,17:54,Shot,Wrist Shot,59.0,-32.0,Kevin Labanc,Shooter,San Jose Sharks,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:43:28Z,1,02:08,17:52,Faceoff,n/a,69.0,-22.0,Tomas Hertl,Winner,San Jose Sharks,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:43:37Z,1,02:18,17:42,Shot,Wrist Shot,54.0,23.0,Logan Couture,Shooter,San Jose Sharks,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:43:48Z,1,02:29,17:31,Takeaway,n/a,35.0,31.0,Luke Glendening,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:44:32Z,1,03:13,16:47,Hit,n/a,72.0,-29.0,Joe Hicketts,Hitter,Detroit Red Wings,Dylan Gambrell,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:44:40Z,1,03:21,16:39,Missed Shot,n/a,82.0,10.0,Timo Meier,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:44:45Z,1,03:26,16:34,Hit,n/a,95.0,-17.0,Luke Glendening,Hitter,Detroit Red Wings,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:45:10Z,1,03:36,16:24,Missed Shot,n/a,36.0,16.0,Erik Karlsson,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:44:57Z,1,03:38,16:22,Blocked Shot,n/a,71.0,2.0,Madison Bowey,Blocker,Detroit Red Wings,Joe Thornton,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:45:22Z,1,03:38,16:22,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:45:54Z,1,04:05,15:55,Takeaway,n/a,-48.0,36.0,Evander Kane,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-17T03:46:04Z,1,04:14,15:46,Shot,Wrist Shot,-73.0,15.0,Robby Fabbri,Shooter,Detroit Red Wings,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
