Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-20T02:02:13Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:08:42Z,1,00:10,19:50,Missed Shot,n/a,76.0,-27.0,Viktor Arvidsson,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:08:46Z,1,00:14,19:46,Giveaway,n/a,11.0,34.0,Roman Josi,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:08:51Z,1,00:18,19:42,Goal,Wrist Shot,-82.0,6.0,Patrik Laine,Scorer,Winnipeg Jets,Kyle Connor,Assist,Winnipeg Jets,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a
2019-11-20T01:09:30Z,1,00:18,19:42,Faceoff,n/a,0.0,0.0,Blake Wheeler,Winner,Winnipeg Jets,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:12:27Z,1,02:18,17:42,Hit,n/a,-46.0,36.0,Dan Hamhuis,Hitter,Nashville Predators,Joona Luoto,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:11:50Z,1,02:20,17:40,Blocked Shot,n/a,-51.0,17.0,Austin Watson,Blocker,Nashville Predators,Neal Pionk,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:12:20Z,1,02:20,17:40,Faceoff,n/a,-69.0,22.0,Ryan Johansen,Winner,Nashville Predators,Patrik Laine,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:12:51Z,1,02:46,17:14,Giveaway,n/a,13.0,36.0,Patrik Laine,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:13:01Z,1,02:56,17:04,Hit,n/a,-83.0,-36.0,Ryan Ellis,Hitter,Nashville Predators,Kyle Connor,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:13:19Z,1,03:15,16:45,Giveaway,n/a,35.0,33.0,Jack Roslovic,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:13:23Z,1,03:18,16:42,Shot,Wrist Shot,72.0,21.0,Matt Duchene,Shooter,Nashville Predators,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:13:28Z,1,03:24,16:36,Missed Shot,n/a,39.0,20.0,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:13:43Z,1,03:38,16:22,Blocked Shot,n/a,-67.0,4.0,Calle Jarnkrok,Blocker,Nashville Predators,Jack Roslovic,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T01:14:45Z,1,04:17,15:43,Faceoff,n/a,-69.0,22.0,Nick Bonino,Winner,Nashville Predators,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
