Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-20T00:08:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:08:41Z,1,00:18,19:42,Giveaway,n/a,-86.0,10.0,Josh Bailey,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:08:49Z,1,00:26,19:34,Hit,n/a,36.0,38.0,Casey Cizikas,Hitter,New York Islanders,Brian Dumoulin,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:08:59Z,1,00:33,19:27,Hit,n/a,99.0,5.0,Zach Aston-Reese,Hitter,Pittsburgh Penguins,Scott Mayfield,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:09:31Z,1,01:08,18:52,Hit,n/a,-77.0,-40.0,Derick Brassard,Hitter,New York Islanders,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:09:45Z,1,01:22,18:38,Hit,n/a,11.0,-41.0,Jared McCann,Hitter,Pittsburgh Penguins,Adam Pelech,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:09:51Z,1,01:27,18:33,Takeaway,n/a,-95.0,-3.0,Mathew Barzal,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:09:51Z,1,01:28,18:32,Shot,Wrist Shot,-77.0,6.0,Jordan Eberle,Shooter,New York Islanders,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:10:17Z,1,01:30,18:30,Shot,Wrist Shot,-84.0,7.0,Jordan Eberle,Shooter,New York Islanders,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:10:17Z,1,01:48,18:12,Blocked Shot,n/a,56.0,-17.0,Ryan Pulock,Blocker,New York Islanders,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:10:18Z,1,01:50,18:10,Penalty,Tripping,81.0,11.0,Adam Pelech,PenaltyOn,New York Islanders,Jared McCann,DrewBy,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:11:04Z,1,01:50,18:10,Faceoff,n/a,69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:10:54Z,1,01:59,18:01,Blocked Shot,n/a,70.0,9.0,Johnny Boychuk,Blocker,New York Islanders,Evgeni Malkin,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:11:03Z,1,02:09,17:51,Hit,n/a,60.0,-40.0,Cal Clutterbuck,Hitter,New York Islanders,Alex Galchenyuk,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:11:09Z,1,02:15,17:45,Shot,Snap Shot,46.0,-4.0,Justin Schultz,Shooter,Pittsburgh Penguins,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-20T00:11:23Z,1,02:29,17:31,Shot,Wrist Shot,58.0,18.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
