Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-21T01:09:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Evgeny Kuznetsov,Winner,Washington Capitals,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:10:22Z,1,00:34,19:26,Giveaway,n/a,97.0,-9.0,Tom Wilson,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:11:33Z,1,01:44,18:16,Takeaway,n/a,-72.0,-13.0,T.J. Oshie,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:11:36Z,1,01:45,18:15,Hit,n/a,-79.0,11.0,Brendan Lemieux,Hitter,New York Rangers,T.J. Oshie,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:12:04Z,1,01:48,18:12,Faceoff,n/a,-69.0,22.0,Ryan Strome,Winner,New York Rangers,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:12:37Z,1,02:11,17:49,Hit,n/a,-89.0,33.0,Jesper Fast,Hitter,New York Rangers,T.J. Oshie,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:13:14Z,1,02:47,17:13,Hit,n/a,-67.0,-40.0,Tim Gettinger,Hitter,New York Rangers,Brendan Leipsic,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:13:46Z,1,03:05,16:55,Faceoff,n/a,-69.0,-22.0,Chandler Stephenson,Winner,Washington Capitals,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:14:11Z,1,03:17,16:43,Giveaway,n/a,12.0,14.0,Jacob Trouba,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-21T01:14:41Z,1,03:47,16:13,Hit,n/a,89.0,35.0,Michael Sgarbossa,Hitter,Washington Capitals,Jacob Trouba,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
