Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-22T00:08:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:10:14Z,1,01:32,18:28,Shot,Wrist Shot,43.0,-27.0,Boone Jenner,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:10:19Z,1,01:35,18:25,Shot,Snap Shot,40.0,35.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:10:30Z,1,01:48,18:12,Shot,Slap Shot,-55.0,38.0,Dylan McIlrath,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:01Z,1,02:19,17:41,Hit,n/a,92.0,-31.0,Joe Hicketts,Hitter,Detroit Red Wings,Nick Foligno,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:11Z,1,02:29,17:31,Blocked Shot,n/a,48.0,30.0,Anthony Mantha,Blocker,Detroit Red Wings,Ryan Murray,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:17Z,1,02:36,17:24,Hit,n/a,96.0,-27.0,Nick Foligno,Hitter,Columbus Blue Jackets,Joe Hicketts,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:39Z,1,02:55,17:05,Giveaway,n/a,49.0,-33.0,Pierre-Luc Dubois,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:51Z,1,03:09,16:51,Shot,Wrist Shot,-53.0,-5.0,Andreas Athanasiou,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:11:59Z,1,03:18,16:42,Shot,Wrist Shot,-22.0,26.0,Andreas Athanasiou,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:12:30Z,1,03:24,16:36,Faceoff,n/a,20.0,-22.0,Luke Glendening,Winner,Detroit Red Wings,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:12:47Z,1,03:29,16:31,Faceoff,n/a,0.0,0.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:07Z,1,03:44,16:16,Shot,Wrist Shot,82.0,-13.0,Josh Anderson,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:16Z,1,03:53,16:07,Hit,n/a,97.0,18.0,Eric Robinson,Hitter,Columbus Blue Jackets,Joe Hicketts,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:23Z,1,03:59,16:01,Shot,Wrist Shot,-73.0,21.0,Luke Glendening,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:33Z,1,04:10,15:50,Missed Shot,n/a,42.0,-21.0,Josh Anderson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:49Z,1,04:26,15:34,Hit,n/a,-12.0,27.0,Alex Biega,Hitter,Detroit Red Wings,Boone Jenner,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:13:55Z,1,04:32,15:28,Shot,Wrist Shot,66.0,39.0,Dean Kukan,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:16:08Z,1,05:01,14:59,Faceoff,n/a,69.0,22.0,Valtteri Filppula,Winner,Detroit Red Wings,Alexandre Texier,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:15:02Z,1,05:13,14:47,Blocked Shot,n/a,46.0,18.0,Andreas Athanasiou,Blocker,Detroit Red Wings,Zach Werenski,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:15:12Z,1,05:23,14:37,Shot,Slap Shot,47.0,26.0,Zach Werenski,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:15:25Z,1,05:36,14:24,Shot,Wrist Shot,66.0,3.0,Alexandre Texier,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:15:31Z,1,05:37,14:23,Goal,Backhand,73.0,-1.0,Alexandre Texier,Scorer,Columbus Blue Jackets,Seth Jones,Assist,Columbus Blue Jackets,Cam Atkinson,Assist,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings
2019-11-22T00:16:08Z,1,05:37,14:23,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:16:25Z,1,05:49,14:11,Shot,Wrist Shot,47.0,35.0,Sonny Milano,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:16:35Z,1,05:49,14:11,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:17:01Z,1,06:07,13:53,Giveaway,n/a,15.0,17.0,Dylan Larkin,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:17:06Z,1,06:11,13:49,Shot,Wrist Shot,53.0,-19.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:19:19Z,1,06:22,13:38,Faceoff,n/a,-20.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:19:42Z,1,06:35,13:25,Missed Shot,n/a,36.0,25.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:19:55Z,1,06:38,13:22,Shot,Snap Shot,80.0,11.0,Alexander Wennberg,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:18Z,1,06:42,13:18,Faceoff,n/a,-20.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:24Z,1,06:49,13:11,Hit,n/a,34.0,-38.0,Jonathan Ericsson,Hitter,Detroit Red Wings,Oliver Bjorkstrand,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:43Z,1,07:08,12:52,Blocked Shot,n/a,-54.0,-18.0,Gustav Nyquist,Blocker,Columbus Blue Jackets,Joe Hicketts,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:46Z,1,07:11,12:49,Hit,n/a,-31.0,-38.0,Gustav Nyquist,Hitter,Columbus Blue Jackets,Joe Hicketts,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:52Z,1,07:16,12:44,Shot,Wrist Shot,-84.0,5.0,Dylan McIlrath,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:20:52Z,1,07:28,12:32,Blocked Shot,n/a,44.0,18.0,Dylan McIlrath,Blocker,Detroit Red Wings,Oliver Bjorkstrand,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:21:25Z,1,07:49,12:11,Blocked Shot,n/a,55.0,-6.0,Joe Hicketts,Blocker,Detroit Red Wings,Seth Jones,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:21:53Z,1,07:56,12:04,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Alexandre Texier,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:22:30Z,1,08:29,11:31,Hit,n/a,-69.0,40.0,Tyler Bertuzzi,Hitter,Detroit Red Wings,Vladislav Gavrikov,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:00Z,1,08:59,11:01,Hit,n/a,97.0,-18.0,Jonathan Ericsson,Hitter,Detroit Red Wings,Sonny Milano,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:10Z,1,09:09,10:51,Giveaway,n/a,94.0,-15.0,Jonathan Ericsson,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:10Z,1,09:09,10:51,Missed Shot,n/a,76.0,-4.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:34Z,1,09:33,10:27,Blocked Shot,n/a,-76.0,16.0,Zach Werenski,Blocker,Columbus Blue Jackets,Andreas Athanasiou,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:46Z,1,09:45,10:15,Giveaway,n/a,55.0,38.0,Pierre-Luc Dubois,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:23:51Z,1,09:50,10:10,Shot,Wrist Shot,-21.0,-14.0,Andreas Athanasiou,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:24:02Z,1,10:01,09:59,Takeaway,n/a,17.0,38.0,Anthony Mantha,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:24:07Z,1,10:06,09:54,Blocked Shot,n/a,-69.0,6.0,Seth Jones,Blocker,Columbus Blue Jackets,Anthony Mantha,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:24:10Z,1,10:09,09:51,Giveaway,n/a,-73.0,34.0,Alexander Wennberg,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:24:13Z,1,10:12,09:48,Shot,Wrist Shot,-70.0,-3.0,Anthony Mantha,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:24:18Z,1,10:16,09:44,Shot,Wrist Shot,-48.0,27.0,Madison Bowey,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:26:25Z,1,10:28,09:32,Faceoff,n/a,-69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Alexandre Texier,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:27:17Z,1,10:55,09:05,Giveaway,n/a,98.0,-16.0,Alexandre Texier,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:27:57Z,1,11:35,08:25,Shot,Tip-In,-79.0,7.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:28:31Z,1,12:03,07:57,Hit,n/a,-45.0,39.0,Emil Bemstrom,Hitter,Columbus Blue Jackets,Madison Bowey,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:28:29Z,1,12:06,07:54,Goal,Slap Shot,-46.0,26.0,Tyler Bertuzzi,Scorer,Detroit Red Wings,Anthony Mantha,Assist,Detroit Red Wings,Madison Bowey,Assist,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets
2019-11-22T00:29:16Z,1,12:06,07:54,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:30:18Z,1,13:08,06:52,Hit,n/a,-94.0,-25.0,David Savard,Hitter,Columbus Blue Jackets,Frans Nielsen,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:30:26Z,1,13:10,06:50,Penalty,Hooking,-69.0,-40.0,David Savard,PenaltyOn,Columbus Blue Jackets,Frans Nielsen,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:31:12Z,1,13:10,06:50,Faceoff,n/a,-69.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Robby Fabbri,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:31:26Z,1,13:21,06:39,Shot,Wrist Shot,-50.0,-27.0,Dylan Larkin,Shooter,Detroit Red Wings,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:31:34Z,1,13:21,06:39,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:31:59Z,1,13:35,06:25,Blocked Shot,n/a,-53.0,-6.0,Boone Jenner,Blocker,Columbus Blue Jackets,Dylan Larkin,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:32:22Z,1,13:35,06:25,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:32:42Z,1,13:55,06:05,Shot,Wrist Shot,-71.0,21.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:32:46Z,1,13:56,06:04,Giveaway,n/a,86.0,-1.0,Jimmy Howard,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:32:49Z,1,14:01,05:59,Shot,Wrist Shot,55.0,23.0,Nick Foligno,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:33:03Z,1,14:15,05:45,Missed Shot,n/a,-72.0,13.0,Anthony Mantha,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:33:42Z,1,14:54,05:06,Giveaway,n/a,-32.0,-31.0,Filip Hronek,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:33:46Z,1,14:58,05:02,Shot,Wrist Shot,44.0,-25.0,Boone Jenner,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:34:19Z,1,14:59,05:01,Faceoff,n/a,69.0,-22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:34:52Z,1,15:16,04:44,Faceoff,n/a,69.0,22.0,Luke Glendening,Winner,Detroit Red Wings,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:35:17Z,1,15:31,04:29,Missed Shot,n/a,37.0,-23.0,Cam Atkinson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:35:25Z,1,15:35,04:25,Hit,n/a,77.0,38.0,Jonathan Ericsson,Hitter,Detroit Red Wings,Eric Robinson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:35:46Z,1,16:00,04:00,Shot,Snap Shot,60.0,21.0,Alexander Wennberg,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:37:32Z,1,16:01,03:59,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Nick Foligno,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:38:21Z,1,16:16,03:44,Blocked Shot,n/a,61.0,2.0,Joe Hicketts,Blocker,Detroit Red Wings,David Savard,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:38:55Z,1,16:51,03:09,Blocked Shot,n/a,-64.0,-10.0,David Savard,Blocker,Columbus Blue Jackets,Dylan Larkin,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:40:14Z,1,18:03,01:57,Missed Shot,n/a,83.0,-10.0,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:40:13Z,1,18:08,01:52,Shot,Wrist Shot,60.0,8.0,Oliver Bjorkstrand,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:40:27Z,1,18:10,01:50,Penalty,Interference,82.0,2.0,Dylan McIlrath,PenaltyOn,Detroit Red Wings,Boone Jenner,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:41:11Z,1,18:10,01:50,Faceoff,n/a,69.0,22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:41:33Z,1,18:31,01:29,Blocked Shot,n/a,47.0,-10.0,Jonathan Ericsson,Blocker,Detroit Red Wings,Alexander Wennberg,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:41:44Z,1,18:42,01:18,Shot,Wrist Shot,59.0,2.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:41:50Z,1,18:48,01:12,Giveaway,n/a,59.0,39.0,Cam Atkinson,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:42:11Z,1,19:08,00:52,Hit,n/a,63.0,-38.0,Madison Bowey,Hitter,Detroit Red Wings,Gustav Nyquist,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:42:51Z,1,19:46,00:14,Missed Shot,n/a,48.0,-14.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:43:14Z,1,19:46,00:14,Faceoff,n/a,69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Cam Atkinson,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T00:43:46Z,1,19:50,00:10,Shot,Wrist Shot,77.0,-6.0,Josh Anderson,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:02:21Z,2,00:00,20:00,Faceoff,n/a,0.0,0.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:02:34Z,2,00:04,19:56,Takeaway,n/a,22.0,2.0,Seth Jones,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:03:19Z,2,00:53,19:07,Blocked Shot,n/a,-82.0,-19.0,Anthony Mantha,Blocker,Detroit Red Wings,Boone Jenner,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:03:27Z,2,01:01,18:59,Shot,Wrist Shot,-69.0,22.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:03:39Z,2,01:12,18:48,Takeaway,n/a,-54.0,37.0,Anthony Mantha,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:04:08Z,2,01:41,18:19,Hit,n/a,-87.0,-20.0,Nick Foligno,Hitter,Columbus Blue Jackets,Dylan McIlrath,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:04:16Z,2,01:50,18:10,Shot,Wrist Shot,-69.0,19.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
