Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-22T01:08:15Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:08:36Z,1,00:20,19:40,Blocked Shot,n/a,-47.0,-9.0,Viktor Arvidsson,Blocker,Nashville Predators,Tyler Myers,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:08:41Z,1,00:25,19:35,Hit,n/a,96.0,10.0,Filip Forsberg,Hitter,Nashville Predators,Jordie Benn,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:08:44Z,1,00:28,19:32,Shot,Wrist Shot,67.0,-26.0,Viktor Arvidsson,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:09:32Z,1,01:15,18:45,Giveaway,n/a,-21.0,20.0,Mikael Granlund,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:09:53Z,1,01:36,18:24,Giveaway,n/a,85.0,-23.0,Craig Smith,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:10:34Z,1,02:07,17:53,Penalty,Interference,-10.0,-30.0,Adam Gaudette,PenaltyOn,Vancouver Canucks,Steven Santini,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:10:55Z,1,02:07,17:53,Faceoff,n/a,69.0,22.0,Jay Beagle,Winner,Vancouver Canucks,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:11:37Z,1,02:48,17:12,Blocked Shot,n/a,84.0,-4.0,Alexander Edler,Blocker,Vancouver Canucks,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:11:56Z,1,03:07,16:53,Shot,Wrist Shot,63.0,-13.0,Ryan Johansen,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:12:25Z,1,03:35,16:25,Shot,Backhand,72.0,0.0,Nick Bonino,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:12:57Z,1,04:07,15:53,Shot,Wrist Shot,59.0,21.0,Nick Bonino,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:13:05Z,1,04:08,15:52,Shot,Wrist Shot,82.0,0.0,Calle Jarnkrok,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:13:36Z,1,04:09,15:51,Faceoff,n/a,69.0,-22.0,Bo Horvat,Winner,Vancouver Canucks,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:14:04Z,1,04:43,15:17,Missed Shot,n/a,-33.0,-27.0,Alexander Edler,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:14:15Z,1,04:54,15:06,Hit,n/a,-97.0,15.0,Zack MacEwen,Hitter,Vancouver Canucks,Mattias Ekholm,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:14:24Z,1,04:58,15:02,Hit,n/a,-10.0,39.0,Austin Watson,Hitter,Nashville Predators,Zack MacEwen,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:15:09Z,1,05:48,14:12,Giveaway,n/a,-93.0,-22.0,Tanner Pearson,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:15:38Z,1,06:16,13:44,Giveaway,n/a,85.0,32.0,Jake Virtanen,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:15:45Z,1,06:24,13:36,Blocked Shot,n/a,52.0,7.0,Tyler Myers,Blocker,Vancouver Canucks,Dan Hamhuis,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:15:46Z,1,06:24,13:36,Takeaway,n/a,53.0,10.0,Calle Jarnkrok,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:17:43Z,1,06:30,13:30,Faceoff,n/a,0.0,0.0,Jay Beagle,Winner,Vancouver Canucks,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:18:27Z,1,06:35,13:25,Faceoff,n/a,0.0,0.0,Jay Beagle,Winner,Vancouver Canucks,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:19:10Z,1,06:38,13:22,Shot,Slap Shot,9.0,13.0,Troy Stecher,Shooter,Vancouver Canucks,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:19:00Z,1,06:56,13:04,Shot,Wrist Shot,-76.0,3.0,Tim Schaller,Shooter,Vancouver Canucks,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:19:25Z,1,06:56,13:04,Faceoff,n/a,-69.0,22.0,J.T. Miller,Winner,Vancouver Canucks,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:20:01Z,1,07:01,12:59,Faceoff,n/a,-69.0,22.0,Nick Bonino,Winner,Nashville Predators,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:20:24Z,1,07:10,12:50,Missed Shot,n/a,-78.0,3.0,J.T. Miller,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:20:31Z,1,07:17,12:43,Takeaway,n/a,53.0,-38.0,Rocco Grimaldi,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:20:47Z,1,07:33,12:27,Hit,n/a,-58.0,-38.0,Mattias Ekholm,Hitter,Nashville Predators,J.T. Miller,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:20:53Z,1,07:39,12:21,Shot,Slap Shot,44.0,-32.0,Craig Smith,Shooter,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:21:19Z,1,07:39,12:21,Faceoff,n/a,69.0,-22.0,Ryan Johansen,Winner,Nashville Predators,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:21:52Z,1,08:04,11:56,Blocked Shot,n/a,69.0,19.0,Tyler Graovac,Blocker,Vancouver Canucks,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:22:13Z,1,08:07,11:53,Goal,Backhand,81.0,2.0,Ryan Johansen,Scorer,Nashville Predators,Roman Josi,Assist,Nashville Predators,Viktor Arvidsson,Assist,Nashville Predators,Jacob Markstrom,Goalie,Vancouver Canucks
2019-11-22T01:22:33Z,1,08:07,11:53,Faceoff,n/a,0.0,0.0,Matt Duchene,Winner,Nashville Predators,Elias Pettersson,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:23:26Z,1,09:05,10:55,Hit,n/a,-58.0,40.0,Colton Sissons,Hitter,Nashville Predators,Jake Virtanen,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:23:39Z,1,09:18,10:42,Shot,Wrist Shot,-82.0,1.0,Jake Virtanen,Shooter,Vancouver Canucks,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-22T01:23:39Z,1,09:18,10:42,Blocked Shot,n/a,-83.0,-4.0,Dan Hamhuis,Blocker,Nashville Predators,Adam Gaudette,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
