Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-23T18:08:15Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:09:19Z,1,00:22,19:38,Shot,Snap Shot,-45.0,-32.0,Ivan Provorov,Shooter,Philadelphia Flyers,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:09:29Z,1,00:32,19:28,Hit,n/a,83.0,38.0,Elias Lindholm,Hitter,Calgary Flames,Matt Niskanen,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:09:46Z,1,00:47,19:13,Giveaway,n/a,-54.0,-35.0,Michael Stone,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:09:57Z,1,01:00,19:00,Blocked Shot,n/a,-49.0,20.0,Matthew Tkachuk,Blocker,Calgary Flames,Justin Braun,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:10:37Z,1,01:39,18:21,Hit,n/a,-59.0,-38.0,Brandon Davidson,Hitter,Calgary Flames,Kevin Hayes,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:10:50Z,1,01:53,18:07,Hit,n/a,21.0,-33.0,Milan Lucic,Hitter,Calgary Flames,Robert Hagg,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:11:26Z,1,02:29,17:31,Shot,Backhand,71.0,-5.0,Mark Jankowski,Shooter,Calgary Flames,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:11:47Z,1,02:29,17:31,Faceoff,n/a,69.0,-22.0,Sean Monahan,Winner,Calgary Flames,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:12:22Z,1,02:54,17:06,Shot,Wrist Shot,61.0,-13.0,Elias Lindholm,Shooter,Calgary Flames,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T18:12:31Z,1,02:58,17:02,Blocked Shot,n/a,63.0,13.0,Oskar Lindblom,Blocker,Philadelphia Flyers,Sean Monahan,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
