Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-23T00:08:09Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:08:39Z,1,00:07,19:53,Hit,n/a,-71.0,42.0,Brian Dumoulin,Hitter,Pittsburgh Penguins,Kyle Palmieri,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:09:07Z,1,00:35,19:25,Hit,n/a,-85.0,-35.0,Kyle Palmieri,Hitter,New Jersey Devils,John Marino,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:09:44Z,1,01:00,19:00,Hit,n/a,-43.0,8.0,Brandon Tanev,Hitter,Pittsburgh Penguins,P.K. Subban,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:09:37Z,1,01:02,18:58,Blocked Shot,n/a,-48.0,20.0,Alex Galchenyuk,Blocker,Pittsburgh Penguins,Pavel Zacha,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:09:51Z,1,01:03,18:57,Faceoff,n/a,-69.0,22.0,Pavel Zacha,Winner,New Jersey Devils,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:10:11Z,1,01:11,18:49,Shot,Snap Shot,-37.0,6.0,Will Butcher,Shooter,New Jersey Devils,Tristan Jarry,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:10:30Z,1,01:12,18:48,Faceoff,n/a,-69.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:10:58Z,1,01:32,18:28,Hit,n/a,-91.0,-32.0,Chad Ruhwedel,Hitter,Pittsburgh Penguins,Pavel Zacha,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:11:14Z,1,01:48,18:12,Giveaway,n/a,75.0,-10.0,Sami Vatanen,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:11:20Z,1,01:53,18:07,Hit,n/a,96.0,24.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Sami Vatanen,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:11:55Z,1,02:29,17:31,Hit,n/a,-97.0,-5.0,Nico Hischier,Hitter,New Jersey Devils,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-23T00:12:12Z,1,02:45,17:15,Shot,Wrist Shot,70.0,-25.0,Bryan Rust,Shooter,Pittsburgh Penguins,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
