Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-24T00:07:52Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikko Koivu,Winner,Minnesota Wild,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:09:05Z,1,00:19,19:41,Blocked Shot,n/a,-68.0,-7.0,Brandon Carlo,Blocker,Boston Bruins,Kevin Fiala,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:09:17Z,1,00:22,19:38,Blocked Shot,n/a,-76.0,-22.0,Brandon Carlo,Blocker,Boston Bruins,Kevin Fiala,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:09:20Z,1,00:33,19:27,Shot,Wrist Shot,-81.0,3.0,Kevin Fiala,Shooter,Minnesota Wild,Tuukka Rask,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:09:55Z,1,00:40,19:20,Faceoff,n/a,-69.0,22.0,Luke Kunin,Winner,Minnesota Wild,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:10:41Z,1,01:07,18:53,Penalty,Hooking,43.0,21.0,Jared Spurgeon,PenaltyOn,Minnesota Wild,Anders Bjork,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:11:08Z,1,01:07,18:53,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:11:20Z,1,01:20,18:40,Shot,Wrist Shot,74.0,-14.0,Danton Heinen,Shooter,Boston Bruins,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:11:26Z,1,01:27,18:33,Shot,Wrist Shot,34.0,-3.0,Torey Krug,Shooter,Boston Bruins,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:11:33Z,1,01:34,18:26,Hit,n/a,77.0,-37.0,Matt Dumba,Hitter,Minnesota Wild,Brad Marchand,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
