Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-24T00:10:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brian Boyle,Winner,Florida Panthers,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:12:13Z,1,01:02,18:58,Missed Shot,n/a,77.0,1.0,Aleksander Barkov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:12:46Z,1,01:36,18:24,Takeaway,n/a,-35.0,30.0,Sebastian Aho,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:12:55Z,1,01:45,18:15,Giveaway,n/a,-57.0,-28.0,Sebastian Aho,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:13:21Z,1,02:08,17:52,Missed Shot,n/a,-78.0,-1.0,Sebastian Aho,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:13:52Z,1,02:40,17:20,Hit,n/a,-2.0,-40.0,Jordan Martinook,Hitter,Carolina Hurricanes,Josh Brown,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:14:18Z,1,02:43,17:17,Faceoff,n/a,69.0,-22.0,Vincent Trocheck,Winner,Florida Panthers,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:14:32Z,1,02:48,17:12,Missed Shot,n/a,39.0,-14.0,Mark Pysyk,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:15:25Z,1,03:43,16:17,Shot,Wrist Shot,49.0,-21.0,Aaron Ekblad,Shooter,Florida Panthers,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:15:32Z,1,03:48,16:12,Shot,Snap Shot,47.0,19.0,Keith Yandle,Shooter,Florida Panthers,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:15:55Z,1,04:11,15:49,Missed Shot,n/a,-76.0,-2.0,Jordan Staal,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:16:13Z,1,04:28,15:32,Takeaway,n/a,2.0,21.0,Noel Acciari,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:16:22Z,1,04:36,15:24,Giveaway,n/a,12.0,20.0,Sebastian Aho,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:16:27Z,1,04:44,15:16,Missed Shot,n/a,55.0,-32.0,Colton Sceviour,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:17:00Z,1,04:52,15:08,Faceoff,n/a,-20.0,22.0,Eetu Luostarinen,Winner,Carolina Hurricanes,Dominic Toninato,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:17:09Z,1,04:57,15:03,Shot,Slap Shot,-6.0,32.0,Trevor van Riemsdyk,Shooter,Carolina Hurricanes,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:17:25Z,1,05:05,14:55,Faceoff,n/a,20.0,22.0,Eetu Luostarinen,Winner,Carolina Hurricanes,Dominic Toninato,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:18:00Z,1,05:19,14:41,Hit,n/a,-85.0,38.0,Dominic Toninato,Hitter,Florida Panthers,Eetu Luostarinen,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:17:57Z,1,05:26,14:34,Blocked Shot,n/a,-48.0,-8.0,Dominic Toninato,Blocker,Florida Panthers,Trevor van Riemsdyk,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:18:15Z,1,05:31,14:29,Missed Shot,n/a,-82.0,33.0,Ryan Dzingel,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:18:13Z,1,05:33,14:27,Hit,n/a,-99.0,-11.0,Josh Brown,Hitter,Florida Panthers,Jordan Martinook,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:18:43Z,1,06:01,13:59,Penalty,Hi-sticking,-90.0,10.0,Ryan Dzingel,PenaltyOn,Carolina Hurricanes,Josh Brown,DrewBy,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:20:48Z,1,06:01,13:59,Faceoff,n/a,69.0,22.0,Aleksander Barkov,Winner,Florida Panthers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:20:58Z,1,06:05,13:55,Missed Shot,n/a,93.0,-28.0,Aleksander Barkov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:21:57Z,1,07:05,12:55,Takeaway,n/a,95.0,23.0,Dougie Hamilton,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:22:37Z,1,07:46,12:14,Giveaway,n/a,94.0,29.0,Frank Vatrano,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:22:56Z,1,08:06,11:54,Giveaway,n/a,98.0,7.0,Dougie Hamilton,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:22:59Z,1,08:12,11:48,Shot,Wrist Shot,39.0,20.0,Brian Boyle,Shooter,Florida Panthers,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:23:28Z,1,08:18,11:42,Faceoff,n/a,69.0,22.0,Lucas Wallmark,Winner,Carolina Hurricanes,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:23:57Z,1,08:30,11:30,Missed Shot,n/a,25.0,-40.0,Evgenii Dadonov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:24:07Z,1,08:31,11:29,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Eetu Luostarinen,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:24:28Z,1,08:36,11:24,Goal,Backhand,77.0,-9.0,Aaron Ekblad,Scorer,Florida Panthers,Noel Acciari,Assist,Florida Panthers,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a
2019-11-24T00:25:01Z,1,08:36,11:24,Faceoff,n/a,0.0,0.0,Brian Boyle,Winner,Florida Panthers,Eetu Luostarinen,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:25:27Z,1,08:54,11:06,Goal,Wrist Shot,77.0,-5.0,Brian Boyle,Scorer,Florida Panthers,Colton Sceviour,Assist,Florida Panthers,Anton Stralman,Assist,Florida Panthers,Petr Mrazek,Goalie,Carolina Hurricanes
2019-11-24T00:26:06Z,1,08:54,11:06,Faceoff,n/a,0.0,0.0,Dominic Toninato,Winner,Florida Panthers,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:26:26Z,1,09:11,10:49,Shot,Snap Shot,-43.0,20.0,Brett Pesce,Shooter,Carolina Hurricanes,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T00:26:47Z,1,09:28,10:32,Missed Shot,n/a,-43.0,16.0,Joel Edmundson,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
