Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-24T22:59:35Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:09:27Z,1,00:12,19:48,Hit,n/a,-70.0,40.0,Jake McCabe,Hitter,Buffalo Sabres,Evgenii Dadonov,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:09:34Z,1,00:19,19:41,Takeaway,n/a,-99.0,9.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:09:44Z,1,00:29,19:31,Shot,Wrist Shot,-35.0,-31.0,Keith Yandle,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:10:05Z,1,00:50,19:10,Giveaway,n/a,-25.0,-22.0,Zach Bogosian,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:10:32Z,1,00:54,19:06,Faceoff,n/a,20.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Vincent Trocheck,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:10:47Z,1,01:09,18:51,Hit,n/a,86.0,37.0,Zemgus Girgensons,Hitter,Buffalo Sabres,Anton Stralman,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:10:55Z,1,01:14,18:46,Blocked Shot,n/a,45.0,-28.0,Brian Boyle,Blocker,Florida Panthers,Victor Olofsson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:11:20Z,1,01:15,18:45,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Evan Rodrigues,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:11:48Z,1,01:45,18:15,Blocked Shot,n/a,64.0,-13.0,Colton Sceviour,Blocker,Florida Panthers,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:12:22Z,1,02:20,17:40,Hit,n/a,43.0,-39.0,Mark Pysyk,Hitter,Florida Panthers,Casey Mittelstadt,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:12:52Z,1,02:50,17:10,Missed Shot,n/a,-51.0,-3.0,Jonathan Huberdeau,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:14:25Z,1,03:50,16:10,Faceoff,n/a,69.0,22.0,Vincent Trocheck,Winner,Florida Panthers,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:15:05Z,1,04:27,15:33,Hit,n/a,35.0,42.0,Zemgus Girgensons,Hitter,Buffalo Sabres,Brett Connolly,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:15:17Z,1,04:39,15:21,Shot,Slap Shot,14.0,-35.0,Zach Bogosian,Shooter,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:15:38Z,1,05:00,15:00,Shot,Wrist Shot,44.0,-9.0,Conor Sheary,Shooter,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:15:43Z,1,05:05,14:55,Hit,n/a,79.0,37.0,Denis Malgin,Hitter,Florida Panthers,Jeff Skinner,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:15:46Z,1,05:08,14:52,Blocked Shot,n/a,65.0,4.0,Denis Malgin,Blocker,Florida Panthers,Conor Sheary,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:16:06Z,1,05:28,14:32,Takeaway,n/a,-31.0,-8.0,Colton Sceviour,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:16:21Z,1,05:43,14:17,Giveaway,n/a,38.0,17.0,Josh Brown,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:16:39Z,1,06:01,13:59,Hit,n/a,-37.0,36.0,Jake McCabe,Hitter,Buffalo Sabres,Mike Matheson,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:16:48Z,1,06:10,13:50,Shot,Snap Shot,-53.0,-24.0,Aleksander Barkov,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:17:38Z,1,07:00,13:00,Shot,Slap Shot,-40.0,-29.0,Mark Pysyk,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:17:58Z,1,07:20,12:40,Shot,Wrist Shot,-81.0,12.0,Vincent Trocheck,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:18:04Z,1,07:22,12:38,Shot,Wrist Shot,-86.0,12.0,Brian Boyle,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:20:10Z,1,07:23,12:37,Faceoff,n/a,-69.0,22.0,Aleksander Barkov,Winner,Florida Panthers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:20:50Z,1,07:45,12:15,Missed Shot,n/a,39.0,-15.0,Jimmy Vesey,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:20:57Z,1,07:56,12:04,Hit,n/a,-34.0,37.0,Marco Scandella,Hitter,Buffalo Sabres,Evgenii Dadonov,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:21:40Z,1,08:39,11:21,Shot,Slap Shot,-60.0,-37.0,Frank Vatrano,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:22:15Z,1,09:13,10:47,Hit,n/a,-48.0,-37.0,Zemgus Girgensons,Hitter,Buffalo Sabres,Dominic Toninato,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:23:00Z,1,09:59,10:01,Hit,n/a,28.0,-42.0,Brett Connolly,Hitter,Florida Panthers,Rasmus Dahlin,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:23:22Z,1,10:20,09:40,Hit,n/a,-28.0,39.0,Zach Bogosian,Hitter,Buffalo Sabres,Aaron Ekblad,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:23:53Z,1,10:52,09:08,Missed Shot,n/a,-62.0,-18.0,Evgenii Dadonov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:24:03Z,1,11:02,08:58,Takeaway,n/a,31.0,1.0,Anton Stralman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:24:11Z,1,11:10,08:50,Takeaway,n/a,-23.0,-22.0,Rasmus Ristolainen,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:25:05Z,1,11:31,08:29,Penalty,Hooking,23.0,-38.0,Aleksander Barkov,PenaltyOn,Florida Panthers,Conor Sheary,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:26:43Z,1,11:31,08:29,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:27:05Z,1,11:49,08:11,Shot,Snap Shot,-76.0,-4.0,Colton Sceviour,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:27:05Z,1,11:52,08:08,Hit,n/a,-95.0,19.0,Rasmus Dahlin,Hitter,Buffalo Sabres,Colton Sceviour,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:27:37Z,1,12:24,07:36,Giveaway,n/a,33.0,7.0,Aaron Ekblad,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:28:51Z,1,13:02,06:58,Faceoff,n/a,20.0,22.0,Jeff Skinner,Winner,Buffalo Sabres,Brian Boyle,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:29:53Z,1,13:35,06:25,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:30:08Z,1,13:40,06:20,Shot,Tip-In,-75.0,-11.0,Jonathan Huberdeau,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:30:16Z,1,13:48,06:12,Giveaway,n/a,-82.0,31.0,Marco Scandella,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:30:20Z,1,13:51,06:09,Shot,Wrist Shot,-38.0,-18.0,Aaron Ekblad,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:30:44Z,1,13:52,06:08,Faceoff,n/a,-69.0,-22.0,Rasmus Asplund,Winner,Buffalo Sabres,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:31:10Z,1,14:13,05:47,Takeaway,n/a,37.0,20.0,Evgenii Dadonov,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:31:34Z,1,14:37,05:23,Takeaway,n/a,62.0,-12.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:32:03Z,1,15:06,04:54,Hit,n/a,-61.0,39.0,Rasmus Dahlin,Hitter,Buffalo Sabres,Frank Vatrano,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:32:33Z,1,15:36,04:24,Missed Shot,n/a,80.0,12.0,Jack Eichel,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:32:40Z,1,15:43,04:17,Missed Shot,n/a,40.0,-31.0,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:33:23Z,1,16:24,03:36,Goal,Tip-In,76.0,-1.0,Jeff Skinner,Scorer,Buffalo Sabres,Jack Eichel,Assist,Buffalo Sabres,Conor Sheary,Assist,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers
2019-11-24T22:34:06Z,1,16:24,03:36,Faceoff,n/a,0.0,0.0,Casey Mittelstadt,Winner,Buffalo Sabres,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:34:30Z,1,16:35,03:25,Shot,Slap Shot,37.0,30.0,Jake McCabe,Shooter,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:34:42Z,1,17:00,03:00,Hit,n/a,-98.0,23.0,Noel Acciari,Hitter,Florida Panthers,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:34:52Z,1,17:11,02:49,Shot,Wrist Shot,-77.0,-17.0,Dominic Toninato,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:35:49Z,1,18:07,01:53,Shot,Slap Shot,-60.0,-15.0,Aleksander Barkov,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:36:10Z,1,18:23,01:37,Goal,Wrist Shot,64.0,12.0,Zemgus Girgensons,Scorer,Buffalo Sabres,Brandon Montour,Assist,Buffalo Sabres,Rasmus Dahlin,Assist,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers
2019-11-24T22:36:56Z,1,18:23,01:37,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Denis Malgin,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:39:30Z,1,18:47,01:13,Faceoff,n/a,-69.0,-22.0,Johan Larsson,Winner,Buffalo Sabres,Mike Hoffman,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:40:04Z,1,19:11,00:49,Hit,n/a,11.0,-38.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Denis Malgin,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:40:28Z,1,19:35,00:25,Shot,Wrap-around,-80.0,7.0,Frank Vatrano,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:59:49Z,2,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T22:59:56Z,2,00:08,19:52,Shot,Wrist Shot,62.0,16.0,Jonathan Huberdeau,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:00:19Z,2,00:30,19:30,Blocked Shot,n/a,-69.0,9.0,Aleksander Barkov,Blocker,Florida Panthers,Victor Olofsson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:00:18Z,2,00:38,19:22,Shot,Wrist Shot,72.0,9.0,Jonathan Huberdeau,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:00:26Z,2,00:43,19:17,Giveaway,n/a,-23.0,40.0,Keith Yandle,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:01:35Z,2,00:58,19:02,Faceoff,n/a,-20.0,-22.0,Casey Mittelstadt,Winner,Buffalo Sabres,Denis Malgin,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:01:16Z,2,01:09,18:51,Giveaway,n/a,-97.0,-13.0,Anton Stralman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:01:42Z,2,01:35,18:25,Blocked Shot,n/a,49.0,17.0,Conor Sheary,Blocker,Buffalo Sabres,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:02:25Z,2,01:54,18:06,Faceoff,n/a,0.0,0.0,Brian Boyle,Winner,Florida Panthers,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:02:39Z,2,02:05,17:55,Hit,n/a,26.0,-37.0,Marco Scandella,Hitter,Buffalo Sabres,Josh Brown,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:02:46Z,2,02:12,17:48,Hit,n/a,97.0,6.0,Brett Connolly,Hitter,Florida Panthers,Henri Jokiharju,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:03:32Z,2,02:41,17:19,Faceoff,n/a,-69.0,22.0,Brian Boyle,Winner,Florida Panthers,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:04:10Z,2,03:02,16:58,Takeaway,n/a,-36.0,1.0,Victor Olofsson,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:04:14Z,2,03:06,16:54,Blocked Shot,n/a,-68.0,18.0,Mark Pysyk,Blocker,Florida Panthers,Sam Reinhart,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:04:23Z,2,03:15,16:45,Shot,Wrist Shot,-54.0,28.0,Zach Bogosian,Shooter,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:04:55Z,2,03:42,16:18,Goal,Wrist Shot,-65.0,21.0,Jack Eichel,Scorer,Buffalo Sabres,Rasmus Dahlin,Assist,Buffalo Sabres,Zach Bogosian,Assist,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers
2019-11-24T23:05:36Z,2,03:42,16:18,Faceoff,n/a,0.0,0.0,Rasmus Asplund,Winner,Buffalo Sabres,Noel Acciari,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:05:59Z,2,04:13,15:47,Shot,Slap Shot,-6.0,13.0,Rasmus Ristolainen,Shooter,Buffalo Sabres,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:06:27Z,2,04:15,15:45,Faceoff,n/a,20.0,22.0,Aleksander Barkov,Winner,Florida Panthers,Casey Mittelstadt,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:06:40Z,2,04:27,15:33,Shot,Wrist Shot,81.0,-8.0,Denis Malgin,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:07:13Z,2,04:27,15:33,Faceoff,n/a,69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:07:16Z,2,04:39,15:21,Blocked Shot,n/a,68.0,9.0,Casey Mittelstadt,Blocker,Buffalo Sabres,Mike Matheson,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:07:20Z,2,04:42,15:18,Hit,n/a,99.0,4.0,Johan Larsson,Hitter,Buffalo Sabres,Aleksander Barkov,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:07:28Z,2,04:50,15:10,Takeaway,n/a,32.0,-15.0,Anton Stralman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:08:13Z,2,05:35,14:25,Missed Shot,n/a,-81.0,-13.0,Brandon Montour,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:08:29Z,2,05:51,14:09,Hit,n/a,92.0,27.0,Frank Vatrano,Hitter,Florida Panthers,Henri Jokiharju,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:08:36Z,2,05:55,14:05,Hit,n/a,94.0,29.0,Johan Larsson,Hitter,Buffalo Sabres,Noel Acciari,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T23:08:38Z,2,05:59,14:01,Shot,Slap Shot,32.0,29.0,Keith Yandle,Shooter,Florida Panthers,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
