Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-24T03:38:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Barclay Goodrow,Winner,San Jose Sharks,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:38:26Z,1,00:08,19:52,Hit,n/a,0.0,37.0,Casey Cizikas,Hitter,New York Islanders,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:38:31Z,1,00:13,19:47,Hit,n/a,80.0,-42.0,Barclay Goodrow,Hitter,San Jose Sharks,Matt Martin,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:39:27Z,1,01:06,18:54,Penalty,Tripping,58.0,-5.0,Adam Pelech,PenaltyOn,New York Islanders,Kevin Labanc,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:39:53Z,1,01:06,18:54,Faceoff,n/a,69.0,22.0,Evander Kane,Winner,San Jose Sharks,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:40:11Z,1,01:16,18:44,Blocked Shot,n/a,59.0,9.0,Johnny Boychuk,Blocker,New York Islanders,Erik Karlsson,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:40:34Z,1,01:17,18:43,Shot,Wrist Shot,79.0,1.0,Timo Meier,Shooter,San Jose Sharks,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:40:34Z,1,01:19,18:41,Shot,Wrist Shot,56.0,-21.0,Kevin Labanc,Shooter,San Jose Sharks,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:40:39Z,1,01:20,18:40,Faceoff,n/a,69.0,-22.0,Evander Kane,Winner,San Jose Sharks,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T03:40:54Z,1,01:37,18:23,Missed Shot,n/a,77.0,23.0,Logan Couture,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
