Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-24T01:07:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:09:10Z,1,00:18,19:42,Shot,Slap Shot,-62.0,31.0,Viktor Arvidsson,Shooter,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:09:17Z,1,00:20,19:40,Goal,Wrist Shot,-57.0,-19.0,Filip Forsberg,Scorer,Nashville Predators,Viktor Arvidsson,Assist,Nashville Predators,Roman Josi,Assist,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues
2019-11-24T01:09:53Z,1,00:20,19:40,Faceoff,n/a,0.0,0.0,Brayden Schenn,Winner,St. Louis Blues,Mikael Granlund,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:11:53Z,1,02:07,17:53,Shot,Wrist Shot,-55.0,1.0,Rocco Grimaldi,Shooter,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:12:17Z,1,02:09,17:51,Faceoff,n/a,-69.0,22.0,Ryan Johansen,Winner,Nashville Predators,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:12:29Z,1,02:13,17:47,Blocked Shot,n/a,-45.0,21.0,Ivan Barbashev,Blocker,St. Louis Blues,Ryan Ellis,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:12:51Z,1,02:38,17:22,Shot,Slap Shot,-41.0,21.0,Ryan Ellis,Shooter,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:12:57Z,1,02:43,17:17,Shot,Wrist Shot,-79.0,-9.0,Viktor Arvidsson,Shooter,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:13:07Z,1,02:53,17:07,Missed Shot,n/a,-50.0,33.0,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:13:28Z,1,03:14,16:46,Hit,n/a,-90.0,-33.0,Robert Bortuzzo,Hitter,St. Louis Blues,Colton Sissons,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-24T01:13:34Z,1,03:19,16:41,Shot,Backhand,-83.0,-10.0,Austin Watson,Shooter,Nashville Predators,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
