Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-25T00:08:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jordan Staal,Winner,Carolina Hurricanes,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:09:04Z,1,00:09,19:51,Shot,Wrist Shot,64.0,-22.0,Warren Foegele,Shooter,Carolina Hurricanes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:09:12Z,1,00:09,19:51,Faceoff,n/a,69.0,-22.0,Frans Nielsen,Winner,Detroit Red Wings,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:09:40Z,1,00:29,19:31,Missed Shot,n/a,-42.0,-31.0,Dennis Cholowski,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:10:21Z,1,01:10,18:50,Missed Shot,n/a,-71.0,-26.0,Filip Zadina,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:10:35Z,1,01:24,18:36,Giveaway,n/a,-21.0,17.0,Filip Zadina,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:10:38Z,1,01:27,18:33,Shot,Wrist Shot,72.0,-20.0,Andrei Svechnikov,Shooter,Carolina Hurricanes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:10:45Z,1,01:31,18:29,Shot,Wrist Shot,70.0,13.0,Sebastian Aho,Shooter,Carolina Hurricanes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:10:59Z,1,01:34,18:26,Faceoff,n/a,20.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:11:37Z,1,02:04,17:56,Shot,Slap Shot,-60.0,-18.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:11:56Z,1,02:23,17:37,Hit,n/a,-30.0,-40.0,Brett Pesce,Hitter,Carolina Hurricanes,Brendan Perlini,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:12:04Z,1,02:32,17:28,Shot,Wrist Shot,-50.0,-8.0,Brendan Perlini,Shooter,Detroit Red Wings,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:12:30Z,1,02:33,17:27,Faceoff,n/a,-69.0,-22.0,Eetu Luostarinen,Winner,Carolina Hurricanes,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:13:23Z,1,03:26,16:34,Missed Shot,n/a,59.0,25.0,Brock McGinn,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:13:43Z,1,03:45,16:15,Hit,n/a,89.0,35.0,Brock McGinn,Hitter,Carolina Hurricanes,Filip Hronek,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:14:02Z,1,03:47,16:13,Faceoff,n/a,69.0,22.0,Sebastian Aho,Winner,Carolina Hurricanes,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:14:40Z,1,04:22,15:38,Shot,Wrist Shot,12.0,-35.0,Trevor van Riemsdyk,Shooter,Carolina Hurricanes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:15:07Z,1,04:23,15:37,Faceoff,n/a,69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:15:36Z,1,04:42,15:18,Shot,Tip-In,-78.0,-1.0,Valtteri Filppula,Shooter,Detroit Red Wings,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-25T00:16:08Z,1,04:42,15:18,Faceoff,n/a,-69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
