Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-26T00:09:29Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Bo Horvat,Winner,Vancouver Canucks,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:10:54Z,1,00:22,19:38,Giveaway,n/a,83.0,36.0,Justin Braun,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:10:55Z,1,00:26,19:34,Shot,Wrist Shot,30.0,31.0,Jordie Benn,Shooter,Vancouver Canucks,Carter Hart,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:11:16Z,1,00:26,19:34,Faceoff,n/a,69.0,22.0,Elias Pettersson,Winner,Vancouver Canucks,Sean Couturier,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:11:47Z,1,00:40,19:20,Faceoff,n/a,69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Brock Boeser,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:12:22Z,1,01:08,18:52,Shot,Wrist Shot,-36.0,12.0,Jakub Voracek,Shooter,Philadelphia Flyers,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:12:35Z,1,01:22,18:38,Blocked Shot,n/a,-89.0,-8.0,Christopher Tanev,Blocker,Vancouver Canucks,Oskar Lindblom,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:12:39Z,1,01:26,18:34,Shot,Slap Shot,-37.0,29.0,Matt Niskanen,Shooter,Philadelphia Flyers,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:12:59Z,1,01:27,18:33,Faceoff,n/a,-69.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:13:09Z,1,01:33,18:27,Hit,n/a,-51.0,39.0,Tyler Myers,Hitter,Vancouver Canucks,Claude Giroux,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:13:26Z,1,01:41,18:19,Giveaway,n/a,-98.0,-10.0,Tyler Myers,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:13:22Z,1,01:44,18:16,Shot,Wrist Shot,-37.0,-37.0,Robert Hagg,Shooter,Philadelphia Flyers,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:13:40Z,1,01:44,18:16,Faceoff,n/a,-69.0,-22.0,Michael Raffl,Winner,Philadelphia Flyers,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-26T00:13:52Z,1,01:47,18:13,Hit,n/a,-36.0,-38.0,Zack MacEwen,Hitter,Vancouver Canucks,Philippe Myers,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
