Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-27T01:10:21Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:10:41Z,1,00:07,19:53,Faceoff,n/a,69.0,22.0,Radek Faksa,Winner,Dallas Stars,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:10:58Z,1,00:13,19:47,Shot,Wrist Shot,63.0,20.0,Blake Comeau,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:11:57Z,1,01:12,18:48,Takeaway,n/a,22.0,31.0,Connor Murphy,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:05Z,1,01:20,18:40,Takeaway,n/a,-24.0,25.0,Alex DeBrincat,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:18Z,1,01:33,18:27,Shot,Wrist Shot,71.0,-1.0,Joe Pavelski,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:27Z,1,01:42,18:18,Missed Shot,n/a,39.0,-33.0,Taylor Fedun,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:33Z,1,01:48,18:12,Blocked Shot,n/a,55.0,13.0,Andrew Shaw,Blocker,Chicago Blackhawks,Andrej Sekera,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:33Z,1,01:48,18:12,Hit,n/a,46.0,-38.0,Denis Gurianov,Hitter,Dallas Stars,Dominik Kubalik,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:12:47Z,1,02:01,17:59,Giveaway,n/a,-51.0,40.0,Corey Perry,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:13:07Z,1,02:09,17:51,Faceoff,n/a,69.0,22.0,Andrew Shaw,Winner,Chicago Blackhawks,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:13:56Z,1,02:40,17:20,Hit,n/a,30.0,-38.0,Jamie Benn,Hitter,Dallas Stars,Ryan Carpenter,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:02Z,1,02:46,17:14,Hit,n/a,-20.0,-39.0,Ryan Carpenter,Hitter,Chicago Blackhawks,John Klingberg,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:15Z,1,02:59,17:01,Hit,n/a,-50.0,40.0,Tyler Seguin,Hitter,Dallas Stars,Connor Murphy,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:26Z,1,03:10,16:50,Giveaway,n/a,-63.0,34.0,Roope Hintz,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:30Z,1,03:14,16:46,Shot,Wrist Shot,-75.0,-2.0,Zack Smith,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:34Z,1,03:18,16:42,Shot,Wrist Shot,-91.0,-21.0,Zack Smith,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:37Z,1,03:20,16:40,Hit,n/a,-98.0,-10.0,Andrej Sekera,Hitter,Dallas Stars,Matthew Highmore,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:38Z,1,03:20,16:40,Shot,Slap Shot,-33.0,-23.0,Olli Maatta,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:14:51Z,1,03:20,16:40,Faceoff,n/a,-69.0,-22.0,Radek Faksa,Winner,Dallas Stars,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:15:20Z,1,03:28,16:32,Faceoff,n/a,-69.0,-22.0,Brandon Saad,Winner,Chicago Blackhawks,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:15:52Z,1,03:35,16:25,Blocked Shot,n/a,-42.0,-7.0,Andrew Cogliano,Blocker,Dallas Stars,Erik Gustafsson,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:16:34Z,1,03:52,16:08,Faceoff,n/a,0.0,0.0,Kirby Dach,Winner,Chicago Blackhawks,Joe Pavelski,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:16:55Z,1,04:10,15:50,Shot,Wrist Shot,64.0,-21.0,Denis Gurianov,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:17:39Z,1,04:54,15:06,Hit,n/a,58.0,41.0,Alex DeBrincat,Hitter,Chicago Blackhawks,Jason Dickinson,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:18:01Z,1,05:16,14:44,Hit,n/a,50.0,-38.0,Calvin de Haan,Hitter,Chicago Blackhawks,Corey Perry,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:18:12Z,1,05:27,14:33,Hit,n/a,-95.0,-27.0,Dominik Kubalik,Hitter,Chicago Blackhawks,Roope Hintz,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:18:21Z,1,05:35,14:25,Hit,n/a,-35.0,41.0,Jamie Oleksiak,Hitter,Dallas Stars,Andrew Shaw,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:18:31Z,1,05:46,14:14,Giveaway,n/a,-44.0,-28.0,Jamie Benn,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:18:55Z,1,06:10,13:50,Hit,n/a,-94.0,-25.0,John Klingberg,Hitter,Dallas Stars,Matthew Highmore,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:19:09Z,1,06:24,13:36,Hit,n/a,11.0,40.0,Zack Smith,Hitter,Chicago Blackhawks,Blake Comeau,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:19:14Z,1,06:29,13:31,Hit,n/a,61.0,-39.0,Duncan Keith,Hitter,Chicago Blackhawks,John Klingberg,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:19:40Z,1,06:55,13:05,Hit,n/a,96.0,19.0,Blake Comeau,Hitter,Dallas Stars,Erik Gustafsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:19:53Z,1,07:08,12:52,Missed Shot,n/a,72.0,1.0,Blake Comeau,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:03Z,1,07:18,12:42,Hit,n/a,85.0,37.0,Duncan Keith,Hitter,Chicago Blackhawks,Blake Comeau,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:09Z,1,07:24,12:36,Shot,Wrist Shot,-76.0,-11.0,Brandon Saad,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:30Z,1,07:30,12:30,Blocked Shot,n/a,-47.0,-23.0,Joe Pavelski,Blocker,Dallas Stars,Calvin de Haan,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:20Z,1,07:34,12:26,Shot,Backhand,80.0,-1.0,Denis Gurianov,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:39Z,1,07:54,12:06,Shot,Wrist Shot,-60.0,27.0,Calvin de Haan,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:44Z,1,07:58,12:02,Giveaway,n/a,-91.0,29.0,Jamie Oleksiak,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:20:50Z,1,08:04,11:56,Hit,n/a,-30.0,38.0,Jamie Benn,Hitter,Dallas Stars,Connor Murphy,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:21:00Z,1,08:06,11:54,Hit,n/a,-10.0,-38.0,Tyler Seguin,Hitter,Dallas Stars,Olli Maatta,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:21:18Z,1,08:32,11:28,Takeaway,n/a,-67.0,34.0,Esa Lindell,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:21:27Z,1,08:42,11:18,Hit,n/a,69.0,40.0,Erik Gustafsson,Hitter,Chicago Blackhawks,Corey Perry,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:21:37Z,1,08:52,11:08,Shot,Wrist Shot,81.0,-1.0,Corey Perry,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:22:18Z,1,09:33,10:27,Hit,n/a,91.0,-27.0,Blake Comeau,Hitter,Dallas Stars,Dominik Kubalik,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:22:25Z,1,09:40,10:20,Hit,n/a,94.0,-24.0,Calvin de Haan,Hitter,Chicago Blackhawks,Blake Comeau,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:22:32Z,1,09:47,10:13,Hit,n/a,-73.0,19.0,Andrej Sekera,Hitter,Dallas Stars,Andrew Shaw,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:22:57Z,1,10:12,09:48,Hit,n/a,-75.0,-38.0,Jamie Oleksiak,Hitter,Dallas Stars,Ryan Carpenter,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:23:28Z,1,10:42,09:18,Hit,n/a,71.0,3.0,Connor Murphy,Hitter,Chicago Blackhawks,Mattias Janmark,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:23:55Z,1,11:10,08:50,Shot,Slap Shot,-44.0,-5.0,Jonathan Toews,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:25:48Z,1,11:10,08:50,Faceoff,n/a,-69.0,22.0,Jonathan Toews,Winner,Chicago Blackhawks,Jamie Benn,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:26:21Z,1,11:13,08:47,Shot,Slap Shot,-38.0,2.0,Alex Nylander,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:26:31Z,1,11:14,08:46,Faceoff,n/a,-69.0,22.0,Brandon Saad,Winner,Chicago Blackhawks,Jamie Benn,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:26:58Z,1,11:20,08:40,Goal,Wrist Shot,-71.0,-2.0,Brandon Saad,Scorer,Chicago Blackhawks,Erik Gustafsson,Assist,Chicago Blackhawks,Alex Nylander,Assist,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars
2019-11-27T01:27:41Z,1,11:20,08:40,Faceoff,n/a,0.0,0.0,Kirby Dach,Winner,Chicago Blackhawks,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:28:06Z,1,11:37,08:23,Faceoff,n/a,-69.0,22.0,Jason Dickinson,Winner,Dallas Stars,Alex DeBrincat,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:28:45Z,1,11:47,08:13,Takeaway,n/a,63.0,-37.0,Corey Perry,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:28:48Z,1,11:50,08:10,Missed Shot,n/a,86.0,-12.0,Corey Perry,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:29:01Z,1,12:03,07:57,Blocked Shot,n/a,51.0,14.0,Kirby Dach,Blocker,Chicago Blackhawks,Jason Dickinson,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:29:12Z,1,12:14,07:46,Hit,n/a,-99.0,4.0,Jamie Oleksiak,Hitter,Dallas Stars,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:29:46Z,1,12:48,07:12,Hit,n/a,-18.0,37.0,Blake Comeau,Hitter,Dallas Stars,Brandon Saad,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:31:48Z,1,12:54,07:06,Faceoff,n/a,69.0,22.0,Jonathan Toews,Winner,Chicago Blackhawks,Mattias Janmark,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:32:42Z,1,13:24,06:36,Giveaway,n/a,79.0,39.0,Connor Murphy,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:33:12Z,1,13:35,06:25,Takeaway,n/a,43.0,-3.0,Olli Maatta,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:33:03Z,1,13:43,06:17,Shot,Wrist Shot,-59.0,-16.0,Andrew Shaw,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:33:21Z,1,13:43,06:17,Faceoff,n/a,-69.0,-22.0,Tyler Seguin,Winner,Dallas Stars,Andrew Shaw,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:33:59Z,1,13:56,06:04,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Andrew Shaw,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:34:37Z,1,14:19,05:41,Hit,n/a,14.0,33.0,Jamie Benn,Hitter,Dallas Stars,David Kampf,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:34:42Z,1,14:25,05:35,Hit,n/a,9.0,40.0,Erik Gustafsson,Hitter,Chicago Blackhawks,Roope Hintz,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:35:25Z,1,15:08,04:52,Hit,n/a,94.0,-21.0,Calvin de Haan,Hitter,Chicago Blackhawks,Jason Dickinson,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:35:49Z,1,15:19,04:41,Faceoff,n/a,69.0,-22.0,Joe Pavelski,Winner,Dallas Stars,Kirby Dach,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:36:14Z,1,15:29,04:31,Missed Shot,n/a,82.0,-2.0,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:36:23Z,1,15:38,04:22,Shot,Wrist Shot,-59.0,11.0,Alex DeBrincat,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:36:26Z,1,15:41,04:19,Shot,Wrist Shot,-75.0,4.0,Alex DeBrincat,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:36:44Z,1,15:59,04:01,Hit,n/a,97.0,-4.0,Olli Maatta,Hitter,Chicago Blackhawks,Mattias Janmark,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:36:52Z,1,16:07,03:53,Shot,Slap Shot,-39.0,-7.0,Olli Maatta,Shooter,Chicago Blackhawks,Anton Khudobin,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:37:01Z,1,16:14,03:46,Shot,Snap Shot,73.0,4.0,Esa Lindell,Shooter,Dallas Stars,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-27T01:37:10Z,1,16:15,03:45,Penalty,Slashing,72.0,2.0,Ryan Carpenter,PenaltyOn,Chicago Blackhawks,Esa Lindell,DrewBy,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
