Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-28T00:10:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Couturier,Winner,Philadelphia Flyers,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:02Z,1,00:09,19:51,Hit,n/a,53.0,-40.0,Josh Anderson,Hitter,Columbus Blue Jackets,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:17Z,1,00:21,19:39,Giveaway,n/a,-97.0,18.0,Seth Jones,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:16Z,1,00:23,19:37,Shot,Wrist Shot,-69.0,15.0,Jakub Voracek,Shooter,Philadelphia Flyers,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:36Z,1,00:23,19:37,Faceoff,n/a,-69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:58Z,1,00:45,19:15,Hit,n/a,48.0,-18.0,Matt Niskanen,Hitter,Philadelphia Flyers,Boone Jenner,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:34Z,1,01:18,18:42,Giveaway,n/a,-60.0,-35.0,Dean Kukan,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:49Z,1,01:36,18:24,Hit,n/a,-87.0,16.0,David Savard,Hitter,Columbus Blue Jackets,Scott Laughton,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:53Z,1,01:39,18:21,Missed Shot,n/a,-38.0,29.0,Robert Hagg,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:13:30Z,1,01:39,18:21,Faceoff,n/a,-69.0,22.0,Michael Raffl,Winner,Philadelphia Flyers,Emil Bemstrom,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
