Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-28T01:07:46Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:09:07Z,1,00:21,19:39,Missed Shot,n/a,-50.0,-28.0,Brayden McNabb,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:09:19Z,1,00:32,19:28,Blocked Shot,n/a,63.0,-3.0,Mark Stone,Blocker,Vegas Golden Knights,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:09:24Z,1,00:38,19:22,Shot,Wrist Shot,-79.0,-16.0,Mark Stone,Shooter,Vegas Golden Knights,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:09:25Z,1,00:39,19:21,Hit,n/a,-83.0,-35.0,Filip Forsberg,Hitter,Nashville Predators,Max Pacioretty,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:09:40Z,1,00:53,19:07,Takeaway,n/a,-15.0,38.0,Daniel Carr,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:10:02Z,1,01:02,18:58,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:10:25Z,1,01:09,18:51,Shot,Snap Shot,76.0,25.0,Dante Fabbro,Shooter,Nashville Predators,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:10:34Z,1,01:18,18:42,Shot,Tip-In,-78.0,2.0,William Karlsson,Shooter,Vegas Golden Knights,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:10:35Z,1,01:20,18:40,Hit,n/a,-44.0,-39.0,Mikael Granlund,Hitter,Nashville Predators,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:10:54Z,1,01:38,18:22,Missed Shot,n/a,-83.0,-15.0,Cody Glass,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:11:07Z,1,01:52,18:08,Takeaway,n/a,-94.0,-25.0,Cody Eakin,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T01:11:52Z,1,02:36,17:24,Hit,n/a,34.0,-39.0,Alex Tuch,Hitter,Vegas Golden Knights,Roman Josi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
