Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-28T00:07:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Filip Chytil,Winner,New York Rangers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:08:44Z,1,00:21,19:39,Hit,n/a,22.0,-40.0,Warren Foegele,Hitter,Carolina Hurricanes,Ryan Lindgren,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:09:13Z,1,00:33,19:27,Faceoff,n/a,-20.0,22.0,Teuvo Teravainen,Winner,Carolina Hurricanes,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:09:38Z,1,00:48,19:12,Penalty,Holding,-68.0,37.0,Joel Edmundson,PenaltyOn,Carolina Hurricanes,Pavel Buchnevich,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:10:08Z,1,00:48,19:12,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:10:21Z,1,00:53,19:07,Blocked Shot,n/a,-63.0,5.0,Jordan Staal,Blocker,Carolina Hurricanes,Adam Fox,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:10:31Z,1,00:53,19:07,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:10:56Z,1,01:08,18:52,Blocked Shot,n/a,-79.0,6.0,Jaccob Slavin,Blocker,Carolina Hurricanes,Adam Fox,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:10:57Z,1,01:09,18:51,Takeaway,n/a,-50.0,39.0,Mika Zibanejad,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:06Z,1,01:17,18:43,Shot,Wrist Shot,-65.0,-18.0,Artemi Panarin,Shooter,New York Rangers,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:17Z,1,01:29,18:31,Giveaway,n/a,-30.0,-37.0,Adam Fox,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:11:25Z,1,01:36,18:24,Blocked Shot,n/a,67.0,9.0,Ryan Strome,Blocker,New York Rangers,Dougie Hamilton,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
