Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-28T00:12:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Teddy Blueger,Winner,Pittsburgh Penguins,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:23Z,1,00:15,19:45,Blocked Shot,n/a,71.0,13.0,Troy Stecher,Blocker,Vancouver Canucks,Zach Aston-Reese,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:40Z,1,00:21,19:39,Takeaway,n/a,37.0,-8.0,Dominik Simon,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:12:47Z,1,00:29,19:31,Hit,n/a,-7.0,-42.0,Teddy Blueger,Hitter,Pittsburgh Penguins,Tanner Pearson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:13:28Z,1,00:51,19:09,Faceoff,n/a,-69.0,-22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Tanner Pearson,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:13:49Z,1,01:10,18:50,Shot,Wrist Shot,79.0,-15.0,Evgeni Malkin,Shooter,Pittsburgh Penguins,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:14:02Z,1,01:23,18:37,Hit,n/a,-10.0,-41.0,Bryan Rust,Hitter,Pittsburgh Penguins,Tanner Pearson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:14:38Z,1,01:59,18:01,Hit,n/a,-99.0,15.0,J.T. Miller,Hitter,Vancouver Canucks,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:15:20Z,1,02:27,17:33,Faceoff,n/a,69.0,22.0,Evgeni Malkin,Winner,Pittsburgh Penguins,Adam Gaudette,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-28T00:15:34Z,1,02:29,17:31,Goal,Snap Shot,54.0,16.0,Jake Guentzel,Scorer,Pittsburgh Penguins,Evgeni Malkin,Assist,Pittsburgh Penguins,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a
