Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-29T21:07:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Derek Grant,Winner,Anaheim Ducks,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:08:18Z,1,00:07,19:53,Faceoff,n/a,-69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:09:18Z,1,00:47,19:13,Shot,Snap Shot,-77.0,28.0,Jack Roslovic,Shooter,Winnipeg Jets,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:09:31Z,1,01:00,19:00,Hit,n/a,-71.0,-39.0,Blake Wheeler,Hitter,Winnipeg Jets,Hampus Lindholm,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:10:00Z,1,01:21,18:39,Hit,n/a,34.0,-37.0,Dmitry Kulikov,Hitter,Winnipeg Jets,Jakob Silfverberg,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:10:20Z,1,01:49,18:11,Blocked Shot,n/a,85.0,-10.0,Josh Morrissey,Blocker,Winnipeg Jets,Ryan Getzlaf,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:10:59Z,1,02:29,17:31,Giveaway,n/a,43.0,-25.0,Ondrej Kase,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:11:05Z,1,02:34,17:26,Missed Shot,n/a,-45.0,-20.0,Kyle Connor,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:11:08Z,1,02:37,17:23,Hit,n/a,-59.0,38.0,Nick Ritchie,Hitter,Anaheim Ducks,Luca Sbisa,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:11:28Z,1,02:43,17:17,Penalty,Fighting,78.0,-6.0,Anthony Bitetto,PenaltyOn,Winnipeg Jets,Erik Gudbranson,DrewBy,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:12:26Z,1,02:43,17:17,Penalty,Fighting,72.0,12.0,Erik Gudbranson,PenaltyOn,Anaheim Ducks,Anthony Bitetto,DrewBy,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:12:26Z,1,02:43,17:17,Penalty,Interference,-16.0,4.0,Anthony Bitetto,PenaltyOn,Winnipeg Jets,Ondrej Kase,DrewBy,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:14:04Z,1,02:43,17:17,Penalty,Instigator,68.0,-12.0,Erik Gudbranson,PenaltyOn,Anaheim Ducks,Anthony Bitetto,DrewBy,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:14:04Z,1,02:43,17:17,Penalty,Misconduct,69.0,-18.0,Erik Gudbranson,PenaltyOn,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:14:06Z,1,02:43,17:17,Faceoff,n/a,69.0,-22.0,Adam Lowry,Winner,Winnipeg Jets,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:13:49Z,1,02:53,17:07,Hit,n/a,78.0,-39.0,Ryan Getzlaf,Hitter,Anaheim Ducks,Dmitry Kulikov,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:13:51Z,1,03:04,16:56,Shot,Tip-In,-76.0,2.0,Adam Lowry,Shooter,Winnipeg Jets,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:13:56Z,1,03:10,16:50,Blocked Shot,n/a,-77.0,-1.0,Brendan Guhle,Blocker,Anaheim Ducks,Mathieu Perreault,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:14:22Z,1,03:33,16:27,Hit,n/a,54.0,-41.0,Carter Rowney,Hitter,Anaheim Ducks,Dmitry Kulikov,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:23:06Z,1,03:37,16:23,Faceoff,n/a,-69.0,-22.0,Derek Grant,Winner,Anaheim Ducks,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:15:28Z,1,04:11,15:49,Takeaway,n/a,38.0,-37.0,Josh Morrissey,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:15:52Z,1,04:35,15:25,Hit,n/a,-12.0,-38.0,David Gustafsson,Hitter,Winnipeg Jets,Jacob Larsson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T21:16:03Z,1,04:45,15:15,Giveaway,n/a,-80.0,-27.0,Jacob Larsson,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
