Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-29T18:22:08Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:23:04Z,1,00:14,19:46,Shot,Wrist Shot,-48.0,-22.0,Chris Kreider,Shooter,New York Rangers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:23:10Z,1,00:14,19:46,Faceoff,n/a,-69.0,-22.0,David Krejci,Winner,Boston Bruins,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:23:43Z,1,00:30,19:30,Shot,Wrist Shot,42.0,-21.0,Charlie McAvoy,Shooter,Boston Bruins,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:24:12Z,1,00:31,19:29,Faceoff,n/a,69.0,22.0,Sean Kuraly,Winner,Boston Bruins,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:24:52Z,1,01:07,18:53,Takeaway,n/a,-35.0,-15.0,Sean Kuraly,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:25:10Z,1,01:22,18:38,Hit,n/a,36.0,-38.0,Ryan Lindgren,Hitter,New York Rangers,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:25:36Z,1,01:51,18:09,Shot,Wrist Shot,-42.0,-20.0,Libor Hajek,Shooter,New York Rangers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:25:58Z,1,02:13,17:47,Shot,Wrist Shot,41.0,-25.0,Torey Krug,Shooter,Boston Bruins,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:26:04Z,1,02:19,17:41,Shot,Wrist Shot,80.0,-6.0,Jake DeBrusk,Shooter,Boston Bruins,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:26:10Z,1,02:26,17:34,Shot,Wrist Shot,53.0,-17.0,Jack Studnicka,Shooter,Boston Bruins,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:26:25Z,1,02:40,17:20,Missed Shot,n/a,33.0,-25.0,Brandon Carlo,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:27:13Z,1,02:56,17:04,Faceoff,n/a,69.0,-22.0,David Krejci,Winner,Boston Bruins,Brett Howden,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:27:40Z,1,03:19,16:41,Blocked Shot,n/a,78.0,8.0,Libor Hajek,Blocker,New York Rangers,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:27:36Z,1,03:26,16:34,Shot,Snap Shot,54.0,-25.0,Brandon Carlo,Shooter,Boston Bruins,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:27:54Z,1,03:26,16:34,Faceoff,n/a,69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:28:19Z,1,03:46,16:14,Takeaway,n/a,12.0,17.0,Chris Kreider,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:28:36Z,1,04:03,15:57,Shot,Wrist Shot,-34.0,19.0,Mika Zibanejad,Shooter,New York Rangers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:29:57Z,1,05:25,14:35,Shot,Wrist Shot,-62.0,-8.0,Filip Chytil,Shooter,New York Rangers,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T18:30:14Z,1,05:41,14:19,Missed Shot,n/a,74.0,3.0,Jake DeBrusk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
