Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-29T23:07:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Paul Stastny,Winner,Vegas Golden Knights,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:09:14Z,1,00:29,19:31,Faceoff,n/a,69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:10:00Z,1,01:06,18:54,Shot,Wrist Shot,40.0,3.0,Barrett Hayton,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:10:17Z,1,01:06,18:54,Faceoff,n/a,69.0,22.0,William Karlsson,Winner,Vegas Golden Knights,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:10:38Z,1,01:23,18:37,Hit,n/a,-97.0,8.0,Ilya Lyubushkin,Hitter,Arizona Coyotes,Reilly Smith,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:10:51Z,1,01:36,18:24,Blocked Shot,n/a,-70.0,10.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Deryk Engelland,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:10:53Z,1,01:38,18:22,Hit,n/a,-92.0,31.0,Reilly Smith,Hitter,Vegas Golden Knights,Barrett Hayton,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:11:27Z,1,02:12,17:48,Hit,n/a,-94.0,28.0,Alex Tuch,Hitter,Vegas Golden Knights,Jakob Chychrun,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:11:56Z,1,02:41,17:19,Shot,Slap Shot,37.0,-18.0,Ilya Lyubushkin,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T23:12:11Z,1,02:56,17:04,Hit,n/a,-90.0,31.0,Tomas Nosek,Hitter,Vegas Golden Knights,Christian Dvorak,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
