Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-29T22:08:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brayden Point,Winner,Tampa Bay Lightning,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:08:48Z,1,00:06,19:54,Shot,Wrist Shot,-7.0,40.0,Ryan McDonagh,Shooter,Tampa Bay Lightning,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:09:01Z,1,00:07,19:53,Faceoff,n/a,69.0,-22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:09:26Z,1,00:15,19:45,Blocked Shot,n/a,-65.0,-17.0,Ryan McDonagh,Blocker,Tampa Bay Lightning,Alex Ovechkin,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:09:38Z,1,00:17,19:43,Faceoff,n/a,-69.0,-22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:09:52Z,1,00:21,19:39,Blocked Shot,n/a,-43.0,-37.0,Nikita Kucherov,Blocker,Tampa Bay Lightning,Michal Kempny,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:10:02Z,1,00:23,19:37,Blocked Shot,n/a,-61.0,30.0,Ondrej Palat,Blocker,Tampa Bay Lightning,John Carlson,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:10:31Z,1,00:24,19:36,Faceoff,n/a,-69.0,22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:10:40Z,1,00:30,19:30,Shot,Wrist Shot,63.0,13.0,Alex Killorn,Shooter,Tampa Bay Lightning,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-29T22:10:47Z,1,00:38,19:22,Takeaway,n/a,31.0,40.0,Evgeny Kuznetsov,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
