Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-30T18:08:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:08:51Z,1,00:19,19:41,Blocked Shot,n/a,64.0,-2.0,Ryan Lindgren,Blocker,New York Rangers,Taylor Hall,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:09:26Z,1,00:25,19:35,Faceoff,n/a,-69.0,-22.0,Nico Hischier,Winner,New Jersey Devils,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:10:23Z,1,01:10,18:50,Shot,Snap Shot,-3.0,39.0,Chris Kreider,Shooter,New York Rangers,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:10:41Z,1,01:13,18:47,Faceoff,n/a,-69.0,22.0,Travis Zajac,Winner,New Jersey Devils,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:10:56Z,1,01:23,18:37,Hit,n/a,-95.0,13.0,Andy Greene,Hitter,New Jersey Devils,Kaapo Kakko,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:09Z,1,01:37,18:23,Hit,n/a,-94.0,-9.0,Travis Zajac,Hitter,New Jersey Devils,Kaapo Kakko,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:17Z,1,01:41,18:19,Hit,n/a,-97.0,10.0,Andy Greene,Hitter,New Jersey Devils,Ryan Strome,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:28Z,1,01:46,18:14,Hit,n/a,94.0,21.0,Blake Coleman,Hitter,New Jersey Devils,Libor Hajek,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:24Z,1,01:52,18:08,Missed Shot,n/a,63.0,-5.0,Travis Zajac,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:38Z,1,02:05,17:55,Hit,n/a,79.0,-36.0,Artemi Panarin,Hitter,New York Rangers,Matt Tennyson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:11:49Z,1,02:07,17:53,Hit,n/a,-64.0,42.0,Artemi Panarin,Hitter,New York Rangers,Matt Tennyson,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:12:22Z,1,02:26,17:34,Hit,n/a,-11.0,35.0,Sami Vatanen,Hitter,New Jersey Devils,Micheal Haley,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:12:32Z,1,02:39,17:21,Faceoff,n/a,-69.0,22.0,Kevin Rooney,Winner,New Jersey Devils,Brendan Lemieux,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:13:12Z,1,03:10,16:50,Shot,Snap Shot,-82.0,27.0,Jacob Trouba,Shooter,New York Rangers,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-30T18:13:16Z,1,03:11,16:49,Missed Shot,n/a,-79.0,-1.0,Brendan Lemieux,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
