Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-01T20:08:27Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikko Koivu,Winner,Minnesota Wild,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:08:54Z,1,00:19,19:41,Blocked Shot,n/a,-71.0,-18.0,Jason Dickinson,Blocker,Dallas Stars,Mikko Koivu,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:09:08Z,1,00:33,19:27,Shot,Backhand,85.0,10.0,Corey Perry,Shooter,Dallas Stars,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:09:37Z,1,01:02,18:58,Hit,n/a,-88.0,-23.0,Jamie Benn,Hitter,Dallas Stars,Jordan Greenway,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:10:16Z,1,01:23,18:37,Faceoff,n/a,-69.0,-22.0,Eric Staal,Winner,Minnesota Wild,Joe Pavelski,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:10:40Z,1,01:41,18:19,Shot,Snap Shot,46.0,29.0,Denis Gurianov,Shooter,Dallas Stars,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:10:48Z,1,01:47,18:13,Missed Shot,n/a,46.0,-13.0,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:11:09Z,1,01:48,18:12,Faceoff,n/a,69.0,-22.0,Radek Faksa,Winner,Dallas Stars,Ryan Hartman,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:11:49Z,1,02:11,17:49,Hit,n/a,-54.0,41.0,Marcus Foligno,Hitter,Minnesota Wild,Andrew Cogliano,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:12:30Z,1,02:52,17:08,Missed Shot,n/a,32.0,39.0,Jamie Oleksiak,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:13:20Z,1,03:45,16:15,Missed Shot,n/a,30.0,-39.0,Tyler Seguin,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:13:51Z,1,04:15,15:45,Missed Shot,n/a,71.0,-24.0,Denis Gurianov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:14:25Z,1,04:49,15:11,Blocked Shot,n/a,-48.0,-16.0,Roman Polak,Blocker,Dallas Stars,Eric Staal,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T20:14:44Z,1,05:08,14:52,Shot,Wrist Shot,-85.0,5.0,Mats Zuccarello,Shooter,Minnesota Wild,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
