Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-01T00:17:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:18:55Z,1,00:36,19:24,Missed Shot,n/a,-37.0,35.0,Cody Ceci,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:04Z,1,00:45,19:15,Hit,n/a,40.0,-39.0,Ilya Mikheyev,Hitter,Toronto Maple Leafs,Jack Eichel,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:15Z,1,00:56,19:04,Takeaway,n/a,68.0,37.0,Jimmy Vesey,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:16Z,1,00:57,19:03,Missed Shot,n/a,82.0,21.0,Casey Mittelstadt,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:32Z,1,01:13,18:47,Blocked Shot,n/a,75.0,-16.0,Ilya Mikheyev,Blocker,Toronto Maple Leafs,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:32Z,1,01:13,18:47,Hit,n/a,97.0,-15.0,Cody Ceci,Hitter,Toronto Maple Leafs,Marcus Johansson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:48Z,1,01:29,18:31,Missed Shot,n/a,46.0,-34.0,Marco Scandella,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:19:54Z,1,01:35,18:25,Hit,n/a,31.0,41.0,Marco Scandella,Hitter,Buffalo Sabres,Zach Hyman,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-01T00:20:14Z,1,01:55,18:05,Giveaway,n/a,-7.0,-19.0,Colin Miller,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
