Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-04T00:08:26Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jordan Staal,Winner,Carolina Hurricanes,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:05Z,1,00:20,19:40,Missed Shot,n/a,-81.0,-26.0,Andrei Svechnikov,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:12Z,1,00:27,19:33,Missed Shot,n/a,-37.0,36.0,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:19Z,1,00:35,19:25,Shot,Wrist Shot,52.0,15.0,Sean Kuraly,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:24Z,1,00:36,19:24,Hit,n/a,8.0,38.0,Chris Wagner,Hitter,Boston Bruins,Warren Foegele,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:51Z,1,00:46,19:14,Faceoff,n/a,-20.0,-22.0,David Krejci,Winner,Boston Bruins,Sebastian Aho,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:36Z,1,01:26,18:34,Blocked Shot,n/a,-71.0,-10.0,Torey Krug,Blocker,Boston Bruins,Jaccob Slavin,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:59Z,1,01:49,18:11,Blocked Shot,n/a,70.0,-14.0,Jake Gardiner,Blocker,Carolina Hurricanes,Jake DeBrusk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:08Z,1,01:58,18:02,Shot,Backhand,84.0,10.0,Charlie Coyle,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:22Z,1,02:02,17:58,Shot,Wrist Shot,80.0,0.0,Charlie Coyle,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:37Z,1,02:21,17:39,Shot,Slap Shot,80.0,-29.0,Connor Clifton,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:43Z,1,02:25,17:35,Penalty,Tripping,80.0,-6.0,Jake Gardiner,PenaltyOn,Carolina Hurricanes,Jake DeBrusk,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:08Z,1,02:25,17:35,Faceoff,n/a,69.0,-22.0,Charlie Coyle,Winner,Boston Bruins,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:33Z,1,02:40,17:20,Shot,Slap Shot,65.0,21.0,David Pastrnak,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:40Z,1,02:47,17:13,Missed Shot,n/a,72.0,17.0,David Pastrnak,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:46Z,1,02:51,17:09,Shot,Wrist Shot,60.0,-12.0,Charlie Coyle,Shooter,Boston Bruins,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
