Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-04T00:21:58Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Max Domi,Winner,Montréal Canadiens,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:22:09Z,1,00:08,19:52,Hit,n/a,94.0,-30.0,Brett Kulak,Hitter,Montréal Canadiens,Casey Cizikas,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:23:14Z,1,01:15,18:45,Shot,Wrist Shot,-75.0,8.0,Brendan Gallagher,Shooter,Montréal Canadiens,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:23:32Z,1,01:16,18:44,Missed Shot,n/a,-77.0,15.0,Phillip Danault,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:23:23Z,1,01:23,18:37,Blocked Shot,n/a,-76.0,5.0,Ryan Pulock,Blocker,New York Islanders,Brendan Gallagher,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:24:03Z,1,02:04,17:56,Giveaway,n/a,31.0,40.0,Ben Chiarot,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:24:07Z,1,02:08,17:52,Blocked Shot,n/a,77.0,2.0,Brett Kulak,Blocker,Montréal Canadiens,Nick Leddy,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:24:20Z,1,02:19,17:41,Shot,Wrist Shot,-55.0,3.0,Joel Armia,Shooter,Montréal Canadiens,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:25:01Z,1,02:19,17:41,Blocked Shot,n/a,-79.0,1.0,Anthony Beauvillier,Blocker,New York Islanders,Artturi Lehkonen,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:24:20Z,1,02:22,17:38,Giveaway,n/a,-33.0,-38.0,Johnny Boychuk,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:25:23Z,1,03:23,16:37,Shot,Wrist Shot,70.0,-11.0,Cal Clutterbuck,Shooter,New York Islanders,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
