Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-04T00:08:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Travis Zajac,Winner,New Jersey Devils,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:11Z,1,00:21,19:39,Shot,Snap Shot,83.0,23.0,Blake Coleman,Shooter,New Jersey Devils,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:34Z,1,00:25,19:35,Faceoff,n/a,69.0,22.0,Paul Stastny,Winner,Vegas Golden Knights,Pavel Zacha,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:09:41Z,1,00:35,19:25,Hit,n/a,43.0,-39.0,Jesper Bratt,Hitter,New Jersey Devils,Max Pacioretty,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:05Z,1,00:52,19:08,Blocked Shot,n/a,41.0,-16.0,Paul Stastny,Blocker,Vegas Golden Knights,Sami Vatanen,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:14Z,1,00:58,19:02,Shot,Snap Shot,56.0,0.0,Jesper Bratt,Shooter,New Jersey Devils,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:10Z,1,01:04,18:56,Takeaway,n/a,96.0,12.0,Pavel Zacha,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:19Z,1,01:13,18:47,Giveaway,n/a,29.0,35.0,Damon Severson,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:10:45Z,1,01:39,18:21,Giveaway,n/a,73.0,-27.0,Reilly Smith,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:03Z,1,01:50,18:10,Missed Shot,n/a,45.0,30.0,Jesper Boqvist,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:13Z,1,02:00,18:00,Missed Shot,n/a,-41.0,31.0,Deryk Engelland,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:22Z,1,02:16,17:44,Giveaway,n/a,97.0,2.0,Malcolm Subban,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:42Z,1,02:30,17:30,Missed Shot,n/a,40.0,4.0,Kevin Rooney,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:39Z,1,02:33,17:27,Hit,n/a,98.0,7.0,Miles Wood,Hitter,New Jersey Devils,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:11:51Z,1,02:35,17:25,Shot,Tip-In,86.0,-5.0,Miles Wood,Shooter,New Jersey Devils,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-04T00:12:11Z,1,02:35,17:25,Faceoff,n/a,69.0,-22.0,Pavel Zacha,Winner,New Jersey Devils,Cody Glass,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
