Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-05T00:11:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nazem Kadri,Winner,Colorado Avalanche,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:12:16Z,1,00:10,19:50,Shot,Snap Shot,13.0,-33.0,Cale Makar,Shooter,Colorado Avalanche,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:12:33Z,1,00:27,19:33,Giveaway,n/a,22.0,30.0,Ryan Graves,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:12:36Z,1,00:30,19:30,Shot,Wrist Shot,-61.0,-32.0,John Tavares,Shooter,Toronto Maple Leafs,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:12:59Z,1,00:31,19:29,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:13:09Z,1,00:35,19:25,Shot,Wrist Shot,-34.0,-27.0,Morgan Rielly,Shooter,Toronto Maple Leafs,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:13:14Z,1,00:35,19:25,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:13:36Z,1,00:46,19:14,Blocked Shot,n/a,-74.0,17.0,Samuel Girard,Blocker,Colorado Avalanche,Auston Matthews,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:13:50Z,1,00:53,19:07,Faceoff,n/a,-20.0,22.0,William Nylander,Winner,Toronto Maple Leafs,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:14:59Z,1,01:48,18:12,Missed Shot,n/a,-80.0,-2.0,Zach Hyman,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:15:13Z,1,02:02,17:58,Shot,Wrist Shot,50.0,-11.0,Pierre-Edouard Bellemare,Shooter,Colorado Avalanche,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:15:25Z,1,02:12,17:48,Hit,n/a,42.0,-39.0,Matt Calvert,Hitter,Colorado Avalanche,Zach Hyman,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:15:34Z,1,02:23,17:37,Shot,Wrist Shot,75.0,1.0,Pierre-Edouard Bellemare,Shooter,Colorado Avalanche,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:02Z,1,02:23,17:37,Faceoff,n/a,69.0,22.0,Jason Spezza,Winner,Toronto Maple Leafs,Tyson Jost,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:18Z,1,02:38,17:22,Hit,n/a,-13.0,-41.0,T.J. Tynan,Hitter,Colorado Avalanche,Morgan Rielly,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:26Z,1,02:43,17:17,Hit,n/a,-96.0,-21.0,Dmytro Timashov,Hitter,Toronto Maple Leafs,Nikita Zadorov,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:42Z,1,03:02,16:58,Takeaway,n/a,10.0,33.0,Joonas Donskoi,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:45Z,1,03:05,16:55,Blocked Shot,n/a,80.0,-19.0,Tyson Barrie,Blocker,Toronto Maple Leafs,Joonas Donskoi,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:16:48Z,1,03:08,16:52,Takeaway,n/a,96.0,2.0,Tyson Barrie,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:17:12Z,1,03:32,16:28,Takeaway,n/a,-19.0,32.0,Cale Makar,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-05T00:17:24Z,1,03:44,16:16,Giveaway,n/a,52.0,40.0,Justin Holl,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
