Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T00:08:37Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Dylan Strome,Winner,Chicago Blackhawks,Charlie Coyle,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:03Z,1,00:32,19:28,Shot,Wrist Shot,69.0,23.0,Torey Krug,Shooter,Boston Bruins,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:13Z,1,00:33,19:27,Penalty,Hooking,73.0,2.0,Patrick Kane,PenaltyOn,Chicago Blackhawks,Brad Marchand,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:44Z,1,00:33,19:27,Faceoff,n/a,69.0,-22.0,Charlie Coyle,Winner,Boston Bruins,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:59Z,1,00:58,19:02,Shot,Snap Shot,59.0,6.0,Danton Heinen,Shooter,Boston Bruins,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:13Z,1,01:12,18:48,Hit,n/a,45.0,-36.0,Ryan Carpenter,Hitter,Chicago Blackhawks,David Pastrnak,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:53Z,1,01:45,18:15,Faceoff,n/a,20.0,-22.0,Jonathan Toews,Winner,Chicago Blackhawks,David Krejci,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:12:33Z,1,02:04,17:56,Missed Shot,n/a,63.0,5.0,Jake DeBrusk,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:12:56Z,1,02:17,17:43,Shot,Snap Shot,71.0,13.0,Matt Grzelcyk,Shooter,Boston Bruins,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:13:18Z,1,02:46,17:14,Takeaway,n/a,53.0,19.0,David Kampf,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:13:29Z,1,02:52,17:08,Hit,n/a,-36.0,38.0,David Kampf,Hitter,Chicago Blackhawks,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:13:50Z,1,02:53,17:07,Faceoff,n/a,-69.0,22.0,Dylan Strome,Winner,Chicago Blackhawks,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:14:50Z,1,03:31,16:29,Faceoff,n/a,-69.0,22.0,Sean Kuraly,Winner,Boston Bruins,Ryan Carpenter,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:12Z,1,03:51,16:09,Hit,n/a,-89.0,-26.0,John Moore,Hitter,Boston Bruins,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:25Z,1,04:04,15:56,Hit,n/a,-42.0,38.0,Joakim Nordstrom,Hitter,Boston Bruins,Connor Murphy,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:42Z,1,04:21,15:39,Shot,Wrist Shot,62.0,-36.0,David Backes,Shooter,Boston Bruins,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:46Z,1,04:24,15:36,Blocked Shot,n/a,70.0,5.0,Ryan Carpenter,Blocker,Chicago Blackhawks,Torey Krug,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:10Z,1,04:24,15:36,Faceoff,n/a,69.0,22.0,David Krejci,Winner,Boston Bruins,David Kampf,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:38Z,1,04:49,15:11,Hit,n/a,-75.0,31.0,Anton Wedin,Hitter,Chicago Blackhawks,Torey Krug,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:50Z,1,04:57,15:03,Takeaway,n/a,-45.0,5.0,Jake DeBrusk,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:17:05Z,1,05:15,14:45,Blocked Shot,n/a,82.0,-18.0,Dennis Gilbert,Blocker,Chicago Blackhawks,Charlie Coyle,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:17:28Z,1,05:28,14:32,Faceoff,n/a,69.0,-22.0,Charlie Coyle,Winner,Boston Bruins,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:17:52Z,1,05:35,14:25,Blocked Shot,n/a,44.0,-27.0,Alex Nylander,Blocker,Chicago Blackhawks,Charlie McAvoy,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:18:07Z,1,05:49,14:11,Missed Shot,n/a,-59.0,4.0,Brandon Saad,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:18:57Z,1,06:40,13:20,Missed Shot,n/a,40.0,4.0,Brandon Carlo,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:18:58Z,1,06:41,13:19,Hit,n/a,74.0,-34.0,Alex DeBrincat,Hitter,Chicago Blackhawks,Anders Bjork,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:19:22Z,1,07:05,12:55,Hit,n/a,87.0,-33.0,Slater Koekkoek,Hitter,Chicago Blackhawks,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
