Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T02:11:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Elias Lindholm,Winner,Calgary Flames,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:12:19Z,1,00:11,19:49,Hit,n/a,-99.0,13.0,Matthew Tkachuk,Hitter,Calgary Flames,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:12:31Z,1,00:23,19:37,Giveaway,n/a,98.0,1.0,David Rittich,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:12:45Z,1,00:35,19:25,Shot,Wrist Shot,-33.0,15.0,Travis Hamonic,Shooter,Calgary Flames,Linus Ullmark,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:13:05Z,1,00:35,19:25,Faceoff,n/a,-69.0,22.0,Sean Monahan,Winner,Calgary Flames,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:13:23Z,1,00:42,19:18,Missed Shot,n/a,-34.0,-27.0,Noah Hanifin,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:13:32Z,1,00:50,19:10,Giveaway,n/a,-56.0,-25.0,Jimmy Vesey,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:13:57Z,1,01:17,18:43,Blocked Shot,n/a,60.0,5.0,Travis Hamonic,Blocker,Calgary Flames,Casey Mittelstadt,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:14:33Z,1,01:52,18:08,Blocked Shot,n/a,-71.0,6.0,Johan Larsson,Blocker,Buffalo Sabres,Milan Lucic,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T02:14:48Z,1,02:03,17:57,Missed Shot,n/a,-34.0,-29.0,Oliver Kylington,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
