Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T01:39:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Radek Faksa,Winner,Dallas Stars,Adam Lowry,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:40:14Z,1,00:09,19:51,Hit,n/a,18.0,-40.0,Mathieu Perreault,Hitter,Winnipeg Jets,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:40:50Z,1,00:40,19:20,Blocked Shot,n/a,64.0,-13.0,Jamie Benn,Blocker,Dallas Stars,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:41:11Z,1,01:06,18:54,Giveaway,n/a,35.0,39.0,Kyle Connor,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:41:16Z,1,01:12,18:48,Shot,Backhand,-78.0,18.0,Miro Heiskanen,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:41:45Z,1,01:13,18:47,Faceoff,n/a,-69.0,22.0,Blake Wheeler,Winner,Winnipeg Jets,Joe Pavelski,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:42:16Z,1,01:45,18:15,Shot,Wrist Shot,70.0,-24.0,Jack Roslovic,Shooter,Winnipeg Jets,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:42:30Z,1,01:58,18:02,Shot,Snap Shot,-72.0,3.0,Corey Perry,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:42:51Z,1,01:59,18:01,Faceoff,n/a,-69.0,22.0,Corey Perry,Winner,Dallas Stars,David Gustafsson,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:43:23Z,1,02:05,17:55,Hit,n/a,-87.0,36.0,Anthony Bitetto,Hitter,Winnipeg Jets,Jason Dickinson,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:43:25Z,1,02:07,17:53,Shot,Snap Shot,-84.0,-9.0,Corey Perry,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:44:25Z,1,02:08,17:52,Faceoff,n/a,-20.0,-22.0,Adam Lowry,Winner,Winnipeg Jets,Radek Faksa,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:44:56Z,1,02:37,17:23,Hit,n/a,-79.0,39.0,Blake Comeau,Hitter,Dallas Stars,Anthony Bitetto,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:45:19Z,1,02:59,17:01,Giveaway,n/a,44.0,40.0,Jamie Benn,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:45:25Z,1,03:06,16:54,Hit,n/a,73.0,12.0,Jamie Benn,Hitter,Dallas Stars,Patrik Laine,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:45:38Z,1,03:20,16:40,Hit,n/a,94.0,-16.0,Patrik Laine,Hitter,Winnipeg Jets,Jamie Benn,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:45:55Z,1,03:36,16:24,Shot,Wrist Shot,62.0,-25.0,Mark Scheifele,Shooter,Winnipeg Jets,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:00Z,1,03:42,16:18,Shot,Slap Shot,-21.0,-2.0,Tyler Seguin,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:23Z,1,03:49,16:11,Blocked Shot,n/a,-75.0,0.0,Luca Sbisa,Blocker,Winnipeg Jets,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:10Z,1,03:52,16:08,Shot,Wrist Shot,-73.0,10.0,Roope Hintz,Shooter,Dallas Stars,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:15Z,1,03:57,16:03,Missed Shot,n/a,-79.0,-19.0,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:27Z,1,04:08,15:52,Missed Shot,n/a,69.0,22.0,Jack Roslovic,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:36Z,1,04:17,15:43,Missed Shot,n/a,74.0,-22.0,Nathan Beaulieu,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:46:44Z,1,04:24,15:36,Hit,n/a,25.0,32.0,Roope Hintz,Hitter,Dallas Stars,Anthony Bitetto,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:47:11Z,1,04:52,15:08,Blocked Shot,n/a,-79.0,2.0,Nathan Beaulieu,Blocker,Winnipeg Jets,Miro Heiskanen,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:48:18Z,1,05:21,14:39,Faceoff,n/a,69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Jason Dickinson,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T01:48:09Z,1,05:24,14:36,Blocked Shot,n/a,74.0,-1.0,Jason Dickinson,Blocker,Dallas Stars,Josh Morrissey,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
