Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T00:09:28Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nathan MacKinnon,Winner,Colorado Avalanche,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:09Z,1,00:41,19:19,Shot,Wrist Shot,-82.0,1.0,Brendan Gallagher,Shooter,Montréal Canadiens,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:10Z,1,00:42,19:18,Giveaway,n/a,-46.0,-40.0,Mikko Rantanen,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:12Z,1,00:43,19:17,Hit,n/a,-62.0,-41.0,Brendan Gallagher,Hitter,Montréal Canadiens,Mikko Rantanen,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:58Z,1,01:09,18:51,Faceoff,n/a,20.0,-22.0,Jesperi Kotkaniemi,Winner,Montréal Canadiens,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:10Z,1,01:17,18:43,Hit,n/a,-44.0,39.0,Nikita Zadorov,Hitter,Colorado Avalanche,Joel Armia,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:11:26Z,1,01:32,18:28,Hit,n/a,-82.0,36.0,Nikita Zadorov,Hitter,Colorado Avalanche,Jesperi Kotkaniemi,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:14:10Z,1,01:34,18:26,Faceoff,n/a,0.0,0.0,J.T. Compher,Winner,Colorado Avalanche,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:14:22Z,1,01:57,18:03,Blocked Shot,n/a,-74.0,-14.0,J.T. Compher,Blocker,Colorado Avalanche,Brett Kulak,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:14:46Z,1,01:57,18:03,Faceoff,n/a,-69.0,-22.0,Nate Thompson,Winner,Montréal Canadiens,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:04Z,1,02:04,17:56,Takeaway,n/a,-95.0,-24.0,Ian Cole,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:12Z,1,02:14,17:46,Missed Shot,n/a,42.0,-24.0,Valeri Nichushkin,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:15Z,1,02:17,17:43,Hit,n/a,80.0,37.0,Otto Leskinen,Hitter,Montréal Canadiens,Pierre-Edouard Bellemare,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:20Z,1,02:20,17:40,Hit,n/a,97.0,11.0,Pierre-Edouard Bellemare,Hitter,Colorado Avalanche,Otto Leskinen,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:30Z,1,02:23,17:37,Giveaway,n/a,61.0,40.0,Otto Leskinen,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:00Z,1,02:34,17:26,Giveaway,n/a,74.0,39.0,Otto Leskinen,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:35Z,1,02:37,17:23,Blocked Shot,n/a,68.0,12.0,Otto Leskinen,Blocker,Montréal Canadiens,Matt Calvert,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:38Z,1,02:38,17:22,Giveaway,n/a,84.0,37.0,Otto Leskinen,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:45Z,1,02:47,17:13,Hit,n/a,95.0,-22.0,Otto Leskinen,Hitter,Montréal Canadiens,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:15:50Z,1,02:53,17:07,Shot,Wrist Shot,34.0,-27.0,Ian Cole,Shooter,Colorado Avalanche,Cayden Primeau,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:04Z,1,03:06,16:54,Shot,Wrist Shot,69.0,7.0,Valeri Nichushkin,Shooter,Colorado Avalanche,Cayden Primeau,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:16:23Z,1,03:26,16:34,Takeaway,n/a,4.0,-41.0,Artturi Lehkonen,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:17:34Z,1,04:36,15:24,Shot,Tip-In,6.0,-5.0,T.J. Tynan,Shooter,Colorado Avalanche,Cayden Primeau,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:17:59Z,1,05:00,15:00,Shot,Wrist Shot,71.0,16.0,Andre Burakovsky,Shooter,Colorado Avalanche,Cayden Primeau,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:18:48Z,1,05:01,14:59,Faceoff,n/a,69.0,22.0,Gabriel Landeskog,Winner,Colorado Avalanche,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
