Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-06T00:06:32Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Paul Stastny,Winner,Vegas Golden Knights,Casey Cizikas,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:07:25Z,1,00:08,19:52,Hit,n/a,-13.0,40.0,Matt Martin,Hitter,New York Islanders,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:07:33Z,1,00:16,19:44,Hit,n/a,-12.0,39.0,Deryk Engelland,Hitter,Vegas Golden Knights,Matt Martin,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:08:54Z,1,00:18,19:42,Faceoff,n/a,20.0,22.0,Brock Nelson,Winner,New York Islanders,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:09Z,1,00:28,19:32,Hit,n/a,95.0,-9.0,Brayden McNabb,Hitter,Vegas Golden Knights,Anthony Beauvillier,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:28Z,1,00:34,19:26,Faceoff,n/a,69.0,22.0,Brock Nelson,Winner,New York Islanders,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:49Z,1,00:41,19:19,Blocked Shot,n/a,65.0,-8.0,Brayden McNabb,Blocker,Vegas Golden Knights,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:09:51Z,1,00:43,19:17,Hit,n/a,95.0,-27.0,Brock Nelson,Hitter,New York Islanders,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:05Z,1,00:57,19:03,Blocked Shot,n/a,77.0,9.0,Shea Theodore,Blocker,Vegas Golden Knights,Anthony Beauvillier,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-06T00:10:18Z,1,01:10,18:50,Shot,Wrist Shot,70.0,-37.0,Leo Komarov,Shooter,New York Islanders,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
