Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-07T03:07:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Adam Henrique,Winner,Anaheim Ducks,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:09:14Z,1,00:24,19:36,Faceoff,n/a,20.0,-22.0,Lars Eller,Winner,Washington Capitals,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:10:08Z,1,01:16,18:44,Shot,Wrist Shot,-71.0,11.0,Brendan Leipsic,Shooter,Washington Capitals,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:10:38Z,1,01:17,18:43,Faceoff,n/a,-20.0,22.0,Carter Rowney,Winner,Anaheim Ducks,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:10:55Z,1,01:28,18:32,Giveaway,n/a,80.0,8.0,Braden Holtby,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:11:10Z,1,01:42,18:18,Hit,n/a,54.0,38.0,Garnet Hathaway,Hitter,Washington Capitals,Nicolas Deslauriers,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:11:20Z,1,01:51,18:09,Shot,Wrist Shot,-55.0,28.0,John Carlson,Shooter,Washington Capitals,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:11:45Z,1,01:52,18:08,Faceoff,n/a,-69.0,22.0,Sam Steel,Winner,Anaheim Ducks,Travis Boyd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:13:01Z,1,03:02,16:58,Giveaway,n/a,95.0,22.0,Evgeny Kuznetsov,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:13:36Z,1,03:06,16:54,Faceoff,n/a,69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:13:36Z,1,03:10,16:50,Shot,Wrist Shot,38.0,-25.0,Hampus Lindholm,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:04Z,1,03:15,16:45,Faceoff,n/a,-20.0,22.0,Lars Eller,Winner,Washington Capitals,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:29Z,1,03:37,16:23,Takeaway,n/a,-94.0,16.0,Cam Fowler,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:33Z,1,03:40,16:20,Takeaway,n/a,-79.0,24.0,Lars Eller,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:39Z,1,03:47,16:13,Shot,Wrist Shot,-40.0,4.0,Nick Jensen,Shooter,Washington Capitals,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:46Z,1,03:50,16:10,Hit,n/a,-65.0,40.0,Ryan Getzlaf,Hitter,Anaheim Ducks,T.J. Oshie,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:14:51Z,1,03:58,16:02,Shot,Snap Shot,-55.0,-26.0,Dmitry Orlov,Shooter,Washington Capitals,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:15:13Z,1,04:21,15:39,Hit,n/a,-39.0,-40.0,Nicolas Deslauriers,Hitter,Anaheim Ducks,Radko Gudas,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:15:35Z,1,04:28,15:32,Hit,n/a,96.0,0.0,Derek Grant,Hitter,Anaheim Ducks,Jonas Siegenthaler,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:15:43Z,1,04:30,15:30,Faceoff,n/a,69.0,22.0,Sam Steel,Winner,Anaheim Ducks,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:15:51Z,1,04:34,15:26,Shot,Wrist Shot,42.0,31.0,Michael Del Zotto,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:15:58Z,1,04:42,15:18,Blocked Shot,n/a,69.0,8.0,Evgeny Kuznetsov,Blocker,Washington Capitals,Sam Steel,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:16:09Z,1,04:52,15:08,Shot,Wrist Shot,55.0,12.0,Sam Steel,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:16:14Z,1,04:54,15:06,Shot,Wrist Shot,78.0,7.0,Rickard Rakell,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:16:33Z,1,04:55,15:05,Faceoff,n/a,69.0,22.0,Nic Dowd,Winner,Washington Capitals,Ondrej Kase,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:17:05Z,1,05:07,14:53,Blocked Shot,n/a,73.0,-3.0,Nic Dowd,Blocker,Washington Capitals,Korbinian Holzer,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:17:11Z,1,05:13,14:47,Missed Shot,n/a,-55.0,2.0,John Carlson,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:17:18Z,1,05:20,14:40,Blocked Shot,n/a,-78.0,2.0,Korbinian Holzer,Blocker,Anaheim Ducks,Brendan Leipsic,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:17:37Z,1,05:33,14:27,Giveaway,n/a,74.0,27.0,John Carlson,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:17:43Z,1,05:35,14:25,Shot,Backhand,68.0,4.0,Adam Henrique,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:18:03Z,1,05:36,14:24,Faceoff,n/a,69.0,22.0,Devin Shore,Winner,Anaheim Ducks,Travis Boyd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:18:24Z,1,05:40,14:20,Missed Shot,n/a,47.0,9.0,Ryan Getzlaf,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:18:29Z,1,05:45,14:15,Hit,n/a,98.0,-8.0,Devin Shore,Hitter,Anaheim Ducks,Carl Hagelin,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:18:40Z,1,05:56,14:04,Shot,Wrist Shot,-79.0,-1.0,Carl Hagelin,Shooter,Washington Capitals,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:19:02Z,1,06:16,13:44,Shot,Wrist Shot,59.0,23.0,Devin Shore,Shooter,Anaheim Ducks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:20:53Z,1,06:17,13:43,Faceoff,n/a,69.0,22.0,Sam Steel,Winner,Anaheim Ducks,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:21:27Z,1,06:29,13:31,Hit,n/a,64.0,-37.0,John Carlson,Hitter,Washington Capitals,Sam Steel,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:21:45Z,1,06:47,13:13,Giveaway,n/a,56.0,-1.0,Sam Steel,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:22:04Z,1,07:06,12:54,Blocked Shot,n/a,-63.0,7.0,Rickard Rakell,Blocker,Anaheim Ducks,John Carlson,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:22:30Z,1,07:16,12:44,Hit,n/a,-85.0,-37.0,Jakub Vrana,Hitter,Washington Capitals,Jakob Silfverberg,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:22:31Z,1,07:18,12:42,Faceoff,n/a,-69.0,-22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:23:08Z,1,07:38,12:22,Hit,n/a,-76.0,-39.0,Alex Ovechkin,Hitter,Washington Capitals,Erik Gudbranson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:23:19Z,1,07:49,12:11,Blocked Shot,n/a,65.0,-13.0,Jonas Siegenthaler,Blocker,Washington Capitals,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:23:26Z,1,07:56,12:04,Missed Shot,n/a,50.0,28.0,Ondrej Kase,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:23:42Z,1,08:12,11:48,Hit,n/a,95.0,-26.0,Adam Henrique,Hitter,Anaheim Ducks,Radko Gudas,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:24:03Z,1,08:33,11:27,Missed Shot,n/a,-41.0,-17.0,Dmitry Orlov,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T03:24:05Z,1,08:35,11:25,Hit,n/a,-79.0,38.0,Erik Gudbranson,Hitter,Anaheim Ducks,Travis Boyd,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
