Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-07T18:08:35Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:09:29Z,1,00:06,19:54,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:09:54Z,1,00:10,19:50,Faceoff,n/a,0.0,0.0,Chris Tierney,Winner,Ottawa Senators,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:10:12Z,1,00:21,19:39,Shot,Backhand,9.0,-31.0,Scott Laughton,Shooter,Philadelphia Flyers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:10:17Z,1,00:26,19:34,Hit,n/a,95.0,20.0,Tyler Ennis,Hitter,Ottawa Senators,Travis Sanheim,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:10:24Z,1,00:33,19:27,Blocked Shot,n/a,64.0,1.0,Justin Braun,Blocker,Philadelphia Flyers,Vladislav Namestnikov,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:10:47Z,1,00:44,19:16,Missed Shot,n/a,-82.0,-33.0,Kevin Hayes,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:10:51Z,1,00:58,19:02,Shot,Wrist Shot,-85.0,31.0,Kevin Hayes,Shooter,Philadelphia Flyers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:11:05Z,1,01:14,18:46,Shot,Slap Shot,-38.0,9.0,Matt Niskanen,Shooter,Philadelphia Flyers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:11:15Z,1,01:23,18:37,Hit,n/a,85.0,35.0,Brady Tkachuk,Hitter,Ottawa Senators,Ivan Provorov,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:11:27Z,1,01:36,18:24,Blocked Shot,n/a,-61.0,-20.0,Thomas Chabot,Blocker,Ottawa Senators,Morgan Frost,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:11:40Z,1,01:45,18:15,Goal,Wrist Shot,-85.0,-10.0,Travis Konecny,Scorer,Philadelphia Flyers,Morgan Frost,Assist,Philadelphia Flyers,Claude Giroux,Assist,Philadelphia Flyers,Craig Anderson,Goalie,Ottawa Senators
2019-12-07T18:12:24Z,1,01:45,18:15,Faceoff,n/a,0.0,0.0,Tyler Pitlick,Winner,Philadelphia Flyers,Artem Anisimov,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:13:39Z,1,02:49,17:11,Faceoff,n/a,-69.0,-22.0,Sean Couturier,Winner,Philadelphia Flyers,Logan Brown,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:13:53Z,1,02:56,17:04,Blocked Shot,n/a,-44.0,4.0,Mark Borowiecki,Blocker,Ottawa Senators,Jakub Voracek,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-07T18:14:31Z,1,03:34,16:26,Shot,Slap Shot,-32.0,21.0,Justin Braun,Shooter,Philadelphia Flyers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
