Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-08T00:08:28Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Kuraly,Winner,Boston Bruins,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:09:04Z,1,00:13,19:47,Shot,Wrist Shot,-47.0,4.0,Gabriel Landeskog,Shooter,Colorado Avalanche,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:09:17Z,1,00:13,19:47,Faceoff,n/a,-69.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:09:41Z,1,00:29,19:31,Hit,n/a,-78.0,36.0,Sean Kuraly,Hitter,Boston Bruins,Gabriel Landeskog,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:09:58Z,1,00:46,19:14,Hit,n/a,-33.0,-40.0,Charlie McAvoy,Hitter,Boston Bruins,Mikko Rantanen,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:01Z,1,00:49,19:11,Shot,Wrist Shot,-45.0,-8.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:12Z,1,01:00,19:00,Shot,Snap Shot,-33.0,-19.0,Nikita Zadorov,Shooter,Colorado Avalanche,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:16Z,1,01:04,18:56,Shot,Snap Shot,-46.0,11.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:25Z,1,01:12,18:48,Missed Shot,n/a,-70.0,1.0,Mikko Rantanen,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:10Z,1,01:55,18:05,Hit,n/a,69.0,-36.0,Nikita Zadorov,Hitter,Colorado Avalanche,Charlie Coyle,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
