Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-08T01:02:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Vincent Trocheck,Winner,Florida Panthers,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:32Z,1,00:09,19:51,Faceoff,n/a,-20.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Cam Atkinson,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:46Z,1,00:17,19:43,Giveaway,n/a,-92.0,-25.0,Seth Jones,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:53Z,1,00:18,19:42,Goal,Tip-In,-78.0,-10.0,Evgenii Dadonov,Scorer,Florida Panthers,Aleksander Barkov,Assist,Florida Panthers,Keith Yandle,Assist,Florida Panthers,Elvis Merzlikins,Goalie,Columbus Blue Jackets
2019-12-08T00:11:21Z,1,00:18,19:42,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:45Z,1,00:41,19:19,Shot,Snap Shot,67.0,7.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:28Z,1,01:16,18:44,Giveaway,n/a,71.0,20.0,MacKenzie Weegar,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:35Z,1,01:25,18:35,Giveaway,n/a,41.0,-31.0,Oliver Bjorkstrand,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:41Z,1,01:36,18:24,Blocked Shot,n/a,-51.0,22.0,Boone Jenner,Blocker,Columbus Blue Jackets,Mike Hoffman,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:42Z,1,01:37,18:23,Giveaway,n/a,-73.0,16.0,Vladislav Gavrikov,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:52Z,1,01:48,18:12,Hit,n/a,98.0,-14.0,MacKenzie Weegar,Hitter,Florida Panthers,Josh Anderson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:13:18Z,1,02:14,17:46,Hit,n/a,55.0,40.0,Riley Nash,Hitter,Columbus Blue Jackets,Josh Brown,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:14:04Z,1,03:00,17:00,Shot,Snap Shot,37.0,-25.0,Seth Jones,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:14:13Z,1,03:09,16:51,Takeaway,n/a,64.0,9.0,Dominic Toninato,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:14:26Z,1,03:17,16:43,Hit,n/a,13.0,-37.0,Brian Boyle,Hitter,Florida Panthers,Gustav Nyquist,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:14:28Z,1,03:23,16:37,Blocked Shot,n/a,-64.0,-22.0,David Savard,Blocker,Columbus Blue Jackets,Colton Sceviour,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:14:37Z,1,03:33,16:27,Blocked Shot,n/a,-75.0,10.0,David Savard,Blocker,Columbus Blue Jackets,Brian Boyle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:30Z,1,04:26,15:34,Takeaway,n/a,-96.0,11.0,Jonathan Huberdeau,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:49Z,1,04:42,15:18,Shot,Snap Shot,57.0,-24.0,Josh Anderson,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:16:23Z,1,04:42,15:18,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Nick Foligno,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:17:05Z,1,05:17,14:43,Hit,n/a,-2.0,-38.0,Nick Foligno,Hitter,Columbus Blue Jackets,Vincent Trocheck,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:17:08Z,1,05:21,14:39,Missed Shot,n/a,-46.0,-9.0,Keith Yandle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:17:18Z,1,05:31,14:29,Shot,Snap Shot,-54.0,3.0,Brett Connolly,Shooter,Florida Panthers,Elvis Merzlikins,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:17:28Z,1,05:41,14:19,Blocked Shot,n/a,-68.0,-9.0,Riley Nash,Blocker,Columbus Blue Jackets,Keith Yandle,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:49Z,1,05:55,14:05,Shot,Tip-In,79.0,-5.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:18:04Z,1,06:06,13:54,Hit,n/a,48.0,38.0,Frank Vatrano,Hitter,Florida Panthers,Andrew Peeke,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:18:14Z,1,06:27,13:33,Shot,Backhand,68.0,0.0,Pierre-Luc Dubois,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:18:23Z,1,06:36,13:24,Blocked Shot,n/a,57.0,13.0,Noel Acciari,Blocker,Florida Panthers,Andrew Peeke,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:18:24Z,1,06:37,13:23,Takeaway,n/a,87.0,15.0,Aleksi Saarela,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:18:55Z,1,07:08,12:52,Hit,n/a,57.0,-38.0,Brian Boyle,Hitter,Florida Panthers,David Savard,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:19:34Z,1,07:47,12:13,Hit,n/a,-96.0,10.0,Boone Jenner,Hitter,Columbus Blue Jackets,Evgenii Dadonov,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:20:13Z,1,08:26,11:34,Hit,n/a,98.0,-2.0,Josh Anderson,Hitter,Columbus Blue Jackets,MacKenzie Weegar,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:20:21Z,1,08:34,11:26,Giveaway,n/a,7.0,7.0,Vincent Trocheck,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:20:24Z,1,08:37,11:23,Shot,Snap Shot,52.0,19.0,Oliver Bjorkstrand,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:20:48Z,1,08:52,11:08,Penalty,Holding,-19.0,30.0,Eric Robinson,PenaltyOn,Columbus Blue Jackets,Brett Connolly,DrewBy,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:23:21Z,1,08:52,11:08,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Nick Foligno,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:24:05Z,1,09:16,10:44,Faceoff,n/a,0.0,0.0,Riley Nash,Winner,Columbus Blue Jackets,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:24:07Z,1,09:39,10:21,Giveaway,n/a,-9.0,-14.0,Evgenii Dadonov,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:24:35Z,1,10:07,09:53,Giveaway,n/a,-68.0,-38.0,Aleksander Barkov,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:24:39Z,1,10:11,09:49,Takeaway,n/a,71.0,-4.0,Mike Hoffman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:25:21Z,1,10:49,09:11,Penalty,Holding,-90.0,-29.0,Brian Boyle,PenaltyOn,Florida Panthers,Ryan Murray,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:26:07Z,1,10:49,09:11,Faceoff,n/a,69.0,22.0,Noel Acciari,Winner,Florida Panthers,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:26:43Z,1,11:30,08:30,Missed Shot,n/a,44.0,-22.0,Boone Jenner,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:27:04Z,1,11:51,08:09,Missed Shot,n/a,47.0,-19.0,Dean Kukan,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:27:14Z,1,11:59,08:01,Blocked Shot,n/a,75.0,2.0,Anton Stralman,Blocker,Florida Panthers,Sonny Milano,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:27:53Z,1,11:59,08:01,Faceoff,n/a,69.0,22.0,Noel Acciari,Winner,Florida Panthers,Nick Foligno,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:28:14Z,1,12:32,07:28,Shot,Wrist Shot,64.0,-17.0,Dean Kukan,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:28:37Z,1,12:32,07:28,Faceoff,n/a,69.0,-22.0,Noel Acciari,Winner,Florida Panthers,Josh Anderson,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:29:04Z,1,12:51,07:09,Shot,Snap Shot,76.0,40.0,Dean Kukan,Shooter,Columbus Blue Jackets,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
