Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-08T00:14:18Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,John Tavares,Winner,Toronto Maple Leafs,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:24Z,1,00:20,19:40,Blocked Shot,n/a,65.0,-8.0,Jake Muzzin,Blocker,Toronto Maple Leafs,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:41Z,1,00:21,19:39,Faceoff,n/a,69.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:54Z,1,00:32,19:28,Hit,n/a,82.0,38.0,Zach Sanford,Hitter,St. Louis Blues,Justin Holl,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:15:57Z,1,00:33,19:27,Shot,Wrist Shot,-48.0,-20.0,John Tavares,Shooter,Toronto Maple Leafs,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:16:25Z,1,00:34,19:26,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:16:28Z,1,00:38,19:22,Blocked Shot,n/a,-48.0,-14.0,Nathan Walker,Blocker,St. Louis Blues,Morgan Rielly,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:16:42Z,1,00:39,19:21,Faceoff,n/a,-69.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:16:57Z,1,00:50,19:10,Hit,n/a,72.0,41.0,Nathan Walker,Hitter,St. Louis Blues,Tyson Barrie,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:17:17Z,1,01:06,18:54,Missed Shot,n/a,43.0,-12.0,Justin Faulk,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
