Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-08T00:08:57Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Barclay Goodrow,Winner,San Jose Sharks,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:09:53Z,1,00:13,19:47,Hit,n/a,-83.0,-25.0,Barclay Goodrow,Hitter,San Jose Sharks,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:10Z,1,00:15,19:45,Penalty,Tripping,-73.0,-1.0,Ondrej Palat,PenaltyOn,Tampa Bay Lightning,Logan Couture,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:35Z,1,00:15,19:45,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:10:51Z,1,00:30,19:30,Faceoff,n/a,-20.0,-22.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:11Z,1,00:40,19:20,Shot,Snap Shot,69.0,12.0,Alex Killorn,Shooter,Tampa Bay Lightning,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:38Z,1,00:40,19:20,Faceoff,n/a,69.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Joe Thornton,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:40Z,1,00:47,19:13,Shot,Wrist Shot,31.0,28.0,Ryan McDonagh,Shooter,Tampa Bay Lightning,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:11:53Z,1,00:58,19:02,Giveaway,n/a,55.0,-22.0,Brent Burns,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-08T00:12:23Z,1,01:01,18:59,Faceoff,n/a,-20.0,22.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
