Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-10T00:09:07Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:33Z,1,00:20,19:40,Hit,n/a,-5.0,35.0,Alex Killorn,Hitter,Tampa Bay Lightning,Michael Dal Colle,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:06Z,1,00:25,19:35,Hit,n/a,-84.0,-28.0,Anthony Cirelli,Hitter,Tampa Bay Lightning,Adam Pelech,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:12Z,1,00:39,19:21,Missed Shot,n/a,-71.0,10.0,Anthony Beauvillier,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:47Z,1,00:49,19:11,Hit,n/a,-56.0,36.0,Casey Cizikas,Hitter,New York Islanders,Victor Hedman,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:56Z,1,00:53,19:07,Hit,n/a,2.0,38.0,Cal Clutterbuck,Hitter,New York Islanders,Mitchell Stephens,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:44Z,1,01:00,19:00,Takeaway,n/a,6.0,36.0,Cedric Paquette,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:56Z,1,01:03,18:57,Hit,n/a,92.0,12.0,Cedric Paquette,Hitter,Tampa Bay Lightning,Scott Mayfield,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:10:56Z,1,01:06,18:54,Hit,n/a,83.0,-23.0,Mitchell Stephens,Hitter,Tampa Bay Lightning,Devon Toews,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:11Z,1,01:08,18:52,Hit,n/a,94.0,14.0,Pat Maroon,Hitter,Tampa Bay Lightning,Casey Cizikas,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:11Z,1,01:38,18:22,Shot,Wrist Shot,-53.0,17.0,Ryan Pulock,Shooter,New York Islanders,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:28Z,1,01:55,18:05,Shot,Wrist Shot,59.0,2.0,Nikita Kucherov,Shooter,Tampa Bay Lightning,Semyon Varlamov,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:44Z,1,02:10,17:50,Hit,n/a,91.0,-17.0,Ondrej Palat,Hitter,Tampa Bay Lightning,Adam Pelech,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:53Z,1,02:20,17:40,Hit,n/a,-94.0,24.0,Luke Schenn,Hitter,Tampa Bay Lightning,Ross Johnston,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:11:59Z,1,02:25,17:35,Blocked Shot,n/a,-45.0,-15.0,Ondrej Palat,Blocker,Tampa Bay Lightning,Devon Toews,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:12:34Z,1,03:01,16:59,Hit,n/a,89.0,-20.0,Casey Cizikas,Hitter,New York Islanders,Carter Verhaeghe,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-10T00:13:08Z,1,03:35,16:25,Hit,n/a,-77.0,-31.0,Matt Martin,Hitter,New York Islanders,Erik Cernak,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
