Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-11T03:40:41Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:41:43Z,1,00:11,19:49,Shot,Slap Shot,-53.0,-29.0,Alex Iafallo,Shooter,Los Angeles Kings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:41:51Z,1,00:11,19:49,Faceoff,n/a,-69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,Alex Iafallo,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:42:33Z,1,00:39,19:21,Shot,Wrist Shot,6.0,-29.0,Kaapo Kakko,Shooter,New York Rangers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:42:57Z,1,01:02,18:58,Shot,Wrist Shot,-35.0,-29.0,Ben Hutton,Shooter,Los Angeles Kings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:43:23Z,1,01:03,18:57,Faceoff,n/a,-69.0,-22.0,Brett Howden,Winner,New York Rangers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:43:49Z,1,01:22,18:38,Faceoff,n/a,69.0,22.0,Brett Howden,Winner,New York Rangers,Jeff Carter,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:44:36Z,1,01:42,18:18,Hit,n/a,97.0,-26.0,Brendan Lemieux,Hitter,New York Rangers,Kyle Clifford,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:45:05Z,1,02:15,17:45,Giveaway,n/a,-81.0,39.0,Brendan Smith,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:45:08Z,1,02:18,17:42,Missed Shot,n/a,-74.0,-17.0,Tyler Toffoli,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
