Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-11T01:18:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sam Carrick,Winner,Anaheim Ducks,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:19:17Z,1,00:25,19:35,Faceoff,n/a,69.0,22.0,Luke Kunin,Winner,Minnesota Wild,Max Comtois,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:19:49Z,1,00:30,19:30,Hit,n/a,19.0,40.0,Max Comtois,Hitter,Anaheim Ducks,Luke Kunin,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:19:59Z,1,00:47,19:13,Shot,Wrist Shot,55.0,-24.0,Ondrej Kase,Shooter,Anaheim Ducks,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:20:20Z,1,01:08,18:52,Blocked Shot,n/a,-48.0,6.0,Adam Henrique,Blocker,Anaheim Ducks,Matt Dumba,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:21:03Z,1,01:32,18:28,Faceoff,n/a,-69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:22:06Z,1,02:16,17:44,Faceoff,n/a,20.0,22.0,Victor Rask,Winner,Minnesota Wild,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:22:38Z,1,02:26,17:34,Faceoff,n/a,-69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Ryan Hartman,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:22:58Z,1,02:35,17:25,Hit,n/a,-98.0,-9.0,Marcus Foligno,Hitter,Minnesota Wild,Josh Manson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:23:04Z,1,02:42,17:18,Giveaway,n/a,11.0,38.0,Hampus Lindholm,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:23:14Z,1,02:49,17:11,Missed Shot,n/a,-35.0,-27.0,Jonas Brodin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:23:35Z,1,02:50,17:10,Faceoff,n/a,-69.0,-22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Sam Carrick,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:23:57Z,1,02:59,17:01,Shot,Wrist Shot,56.0,-30.0,Sam Carrick,Shooter,Anaheim Ducks,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
