Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-11T03:08:13Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Dylan Strome,Winner,Chicago Blackhawks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:08:42Z,1,00:09,19:51,Faceoff,n/a,20.0,22.0,Dylan Strome,Winner,Chicago Blackhawks,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:09:09Z,1,00:22,19:38,Giveaway,n/a,-37.0,-24.0,Connor Murphy,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:09:27Z,1,00:41,19:19,Hit,n/a,-50.0,36.0,Jonathan Marchessault,Hitter,Vegas Golden Knights,Alex DeBrincat,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:10:04Z,1,01:17,18:43,Blocked Shot,n/a,73.0,4.0,Shea Theodore,Blocker,Vegas Golden Knights,Calvin de Haan,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:10:08Z,1,01:21,18:39,Takeaway,n/a,42.0,38.0,Mark Stone,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:10:15Z,1,01:26,18:34,Missed Shot,n/a,-61.0,24.0,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:10:24Z,1,01:33,18:27,Missed Shot,n/a,55.0,19.0,Dominik Kubalik,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:10:34Z,1,01:48,18:12,Hit,n/a,-89.0,35.0,Max Pacioretty,Hitter,Vegas Golden Knights,Dennis Gilbert,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:11:15Z,1,02:28,17:32,Shot,Wrist Shot,-49.0,-33.0,Deryk Engelland,Shooter,Vegas Golden Knights,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:11:31Z,1,02:43,17:17,Shot,Wrist Shot,-2.0,-26.0,Connor Murphy,Shooter,Chicago Blackhawks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:12:05Z,1,03:15,16:45,Shot,Snap Shot,48.0,35.0,Alex Nylander,Shooter,Chicago Blackhawks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:12:11Z,1,03:24,16:36,Hit,n/a,0.0,0.0,Ryan Reaves,Hitter,Vegas Golden Knights,Erik Gustafsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:12:20Z,1,03:31,16:29,Shot,Snap Shot,-62.0,-16.0,Reilly Smith,Shooter,Vegas Golden Knights,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:12:36Z,1,03:33,16:27,Faceoff,n/a,-69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:13:48Z,1,04:19,15:41,Blocked Shot,n/a,75.0,4.0,William Karlsson,Blocker,Vegas Golden Knights,Erik Gustafsson,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:14:27Z,1,05:02,14:58,Hit,n/a,-96.0,-26.0,Max Pacioretty,Hitter,Vegas Golden Knights,Jonathan Toews,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:14:36Z,1,05:11,14:49,Takeaway,n/a,-82.0,39.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:14:36Z,1,05:12,14:48,Giveaway,n/a,-95.0,27.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:15:03Z,1,05:36,14:24,Hit,n/a,-90.0,-31.0,Chandler Stephenson,Hitter,Vegas Golden Knights,Adam Boqvist,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:15:14Z,1,05:45,14:15,Missed Shot,n/a,89.0,9.0,Zack Smith,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:15:31Z,1,05:48,14:12,Shot,Wrist Shot,83.0,1.0,David Kampf,Shooter,Chicago Blackhawks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:15:39Z,1,05:49,14:11,Faceoff,n/a,69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Zack Smith,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:16:23Z,1,06:20,13:40,Shot,Wrap-around,-89.0,6.0,Alex Tuch,Shooter,Vegas Golden Knights,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:16:23Z,1,06:21,13:39,Shot,Wrist Shot,-81.0,1.0,Paul Stastny,Shooter,Vegas Golden Knights,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:16:30Z,1,06:21,13:39,Hit,n/a,-78.0,-1.0,Zack Smith,Hitter,Chicago Blackhawks,Paul Stastny,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:16:23Z,1,06:24,13:36,Hit,n/a,-98.0,-17.0,Alex Tuch,Hitter,Vegas Golden Knights,Brent Seabrook,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:17:01Z,1,06:54,13:06,Hit,n/a,61.0,-41.0,Nicolas Hague,Hitter,Vegas Golden Knights,Ryan Carpenter,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:16:55Z,1,06:56,13:04,Hit,n/a,58.0,41.0,Deryk Engelland,Hitter,Vegas Golden Knights,Alex Nylander,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:17:02Z,1,07:02,12:58,Shot,Wrist Shot,47.0,-25.0,Ryan Carpenter,Shooter,Chicago Blackhawks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:18:41Z,1,07:03,12:57,Faceoff,n/a,69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Alex DeBrincat,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T03:19:43Z,1,07:19,12:41,Shot,Wrist Shot,37.0,11.0,Connor Murphy,Shooter,Chicago Blackhawks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
