Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-11T02:06:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Frans Nielsen,Winner,Detroit Red Wings,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:08:43Z,1,00:13,19:47,Faceoff,n/a,69.0,-22.0,Andrew Copp,Winner,Winnipeg Jets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:09:24Z,1,00:38,19:22,Missed Shot,n/a,-44.0,9.0,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:09:32Z,1,00:46,19:14,Missed Shot,n/a,-60.0,5.0,Mathieu Perreault,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:09:47Z,1,01:01,18:59,Shot,Wrist Shot,72.0,-2.0,Patrik Nemeth,Shooter,Detroit Red Wings,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:09:49Z,1,01:03,18:57,Giveaway,n/a,35.0,-35.0,Josh Morrissey,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:10:06Z,1,01:08,18:52,Blocked Shot,n/a,84.0,8.0,Josh Morrissey,Blocker,Winnipeg Jets,Filip Zadina,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:10:06Z,1,01:15,18:45,Shot,Slap Shot,42.0,-15.0,Mike Green,Shooter,Detroit Red Wings,Laurent Brossoit,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:10:06Z,1,01:16,18:44,Blocked Shot,n/a,83.0,-4.0,Anthony Bitetto,Blocker,Winnipeg Jets,Valtteri Filppula,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-11T01:10:33Z,1,01:19,18:41,Faceoff,n/a,69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
