Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T00:40:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Andrew Copp,Winner,Winnipeg Jets,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:41:09Z,1,00:19,19:41,Giveaway,n/a,-40.0,-22.0,Valtteri Filppula,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:41:13Z,1,00:20,19:40,Shot,Backhand,-74.0,-10.0,Filip Zadina,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:41:27Z,1,00:33,19:27,Hit,n/a,-8.0,40.0,Mike Green,Hitter,Detroit Red Wings,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:41:57Z,1,01:07,18:53,Hit,n/a,67.0,-38.0,Luke Glendening,Hitter,Detroit Red Wings,Kyle Connor,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:42:01Z,1,01:10,18:50,Blocked Shot,n/a,68.0,-15.0,Patrik Nemeth,Blocker,Detroit Red Wings,Kyle Connor,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:42:10Z,1,01:19,18:41,Hit,n/a,17.0,-37.0,Adam Erne,Hitter,Detroit Red Wings,Tucker Poolman,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:42:23Z,1,01:32,18:28,Hit,n/a,41.0,40.0,Mathieu Perreault,Hitter,Winnipeg Jets,Filip Hronek,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:42:54Z,1,02:03,17:57,Takeaway,n/a,16.0,-37.0,Patrik Nemeth,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:50:46Z,1,02:08,17:52,Blocked Shot,n/a,-77.0,1.0,Nathan Beaulieu,Blocker,Winnipeg Jets,Tyler Bertuzzi,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:43:00Z,1,02:09,17:51,Missed Shot,n/a,-60.0,-26.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:43:28Z,1,02:13,17:47,Faceoff,n/a,-69.0,22.0,Andrew Copp,Winner,Winnipeg Jets,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:43:46Z,1,02:22,17:38,Shot,Wrist Shot,58.0,23.0,Andrew Copp,Shooter,Winnipeg Jets,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:43:46Z,1,02:24,17:36,Hit,n/a,94.0,23.0,Alex Biega,Hitter,Detroit Red Wings,Andrew Copp,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:44:37Z,1,03:13,16:47,Shot,Wrist Shot,-50.0,-1.0,Filip Zadina,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:44:41Z,1,03:19,16:41,Takeaway,n/a,-96.0,-7.0,Darren Helm,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:45:08Z,1,03:19,16:41,Faceoff,n/a,-69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:45:26Z,1,03:34,16:26,Shot,Wrist Shot,-36.0,-26.0,Trevor Daley,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:45:49Z,1,03:53,16:07,Missed Shot,n/a,-33.0,-32.0,Frans Nielsen,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:46:10Z,1,03:54,16:06,Faceoff,n/a,-69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:46:31Z,1,04:04,15:56,Hit,n/a,-93.0,23.0,Tucker Poolman,Hitter,Winnipeg Jets,Robby Fabbri,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:46:40Z,1,04:13,15:47,Giveaway,n/a,-45.0,-36.0,Mike Green,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:47:16Z,1,04:46,15:14,Shot,Slap Shot,-34.0,-6.0,Jonathan Ericsson,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:47:42Z,1,04:48,15:12,Faceoff,n/a,-69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:49:08Z,1,06:00,14:00,Giveaway,n/a,-96.0,-18.0,Connor Hellebuyck,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:49:29Z,1,06:18,13:42,Blocked Shot,n/a,-56.0,6.0,Gabriel Bourque,Blocker,Winnipeg Jets,Alex Biega,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:49:52Z,1,06:42,13:18,Blocked Shot,n/a,56.0,0.0,Alex Biega,Blocker,Detroit Red Wings,Nicholas Shore,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:52:00Z,1,06:44,13:16,Faceoff,n/a,69.0,-22.0,Blake Wheeler,Winner,Winnipeg Jets,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:52:39Z,1,07:05,12:55,Shot,Wrist Shot,-82.0,4.0,Robby Fabbri,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:53:06Z,1,07:07,12:53,Faceoff,n/a,-69.0,22.0,Andrew Copp,Winner,Winnipeg Jets,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:53:21Z,1,07:18,12:42,Shot,Wrist Shot,-40.0,-33.0,Patrik Nemeth,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:53:25Z,1,07:22,12:38,Hit,n/a,-72.0,-38.0,Anthony Bitetto,Hitter,Winnipeg Jets,Valtteri Filppula,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:00:27Z,1,07:45,12:15,Giveaway,n/a,7.0,37.0,Nathan Beaulieu,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:54:32Z,1,07:49,12:11,Goal,Wrist Shot,-80.0,5.0,Darren Helm,Scorer,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:54:35Z,1,07:49,12:11,Faceoff,n/a,0.0,0.0,Mark Scheifele,Winner,Winnipeg Jets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:58:33Z,1,07:57,12:03,Faceoff,n/a,-69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Luke Glendening,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:56:04Z,1,08:34,11:26,Faceoff,n/a,69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:56:32Z,1,08:53,11:07,Shot,Wrist Shot,-68.0,-21.0,Tyler Bertuzzi,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:56:31Z,1,08:54,11:06,Hit,n/a,-55.0,-38.0,Blake Wheeler,Hitter,Winnipeg Jets,Dylan Larkin,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:56:47Z,1,09:08,10:52,Missed Shot,n/a,-63.0,-15.0,Robby Fabbri,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:57:21Z,1,09:41,10:19,Shot,Wrist Shot,-53.0,-25.0,Dylan Larkin,Shooter,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T00:57:41Z,1,09:42,10:18,Faceoff,n/a,-69.0,-22.0,Nicholas Shore,Winner,Winnipeg Jets,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:00:21Z,1,10:05,09:55,Faceoff,n/a,20.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Christoffer Ehn,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:01:09Z,1,10:41,09:19,Takeaway,n/a,68.0,-35.0,Neal Pionk,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:01:38Z,1,10:43,09:17,Faceoff,n/a,-20.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:01:58Z,1,11:05,08:55,Hit,n/a,-72.0,39.0,Patrik Laine,Hitter,Winnipeg Jets,Adam Erne,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:02:39Z,1,11:42,08:18,Shot,Tip-In,78.0,-2.0,Kyle Connor,Shooter,Winnipeg Jets,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:03:05Z,1,11:45,08:15,Faceoff,n/a,69.0,-22.0,Dylan Larkin,Winner,Detroit Red Wings,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:03:24Z,1,11:57,08:03,Hit,n/a,-66.0,39.0,Luca Sbisa,Hitter,Winnipeg Jets,Robby Fabbri,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:03:39Z,1,12:12,07:48,Giveaway,n/a,36.0,-1.0,Robby Fabbri,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:03:45Z,1,12:16,07:44,Shot,Wrist Shot,65.0,-9.0,Nikolaj Ehlers,Shooter,Winnipeg Jets,Jonathan Bernier,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:04:02Z,1,12:31,07:29,Penalty,Slashing,-71.0,-37.0,Blake Wheeler,PenaltyOn,Winnipeg Jets,Dylan Larkin,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:04:38Z,1,12:31,07:29,Faceoff,n/a,-69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:05:21Z,1,13:14,06:46,Giveaway,n/a,-54.0,40.0,Frans Nielsen,PlayerID,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:05:56Z,1,13:47,06:13,Goal,Deflected,-89.0,7.0,Robby Fabbri,Scorer,Detroit Red Wings,Filip Zadina,Assist,Detroit Red Wings,Filip Hronek,Assist,Detroit Red Wings,Connor Hellebuyck,Goalie,Winnipeg Jets
2019-12-13T01:06:41Z,1,13:47,06:13,Faceoff,n/a,0.0,0.0,Luke Glendening,Winner,Detroit Red Wings,Blake Wheeler,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
