Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-12-13T01:08:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Donato,Winner,Minnesota Wild,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:08:48Z,1,00:34,19:26,Missed Shot,n/a,68.0,-36.0,James Neal,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:08:50Z,1,00:34,19:26,Giveaway,n/a,77.0,37.0,Brad Hunt,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:09:37Z,1,01:23,18:37,Blocked Shot,n/a,-78.0,-8.0,Ethan Bear,Blocker,Edmonton Oilers,Carson Soucy,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:09:41Z,1,01:25,18:35,Blocked Shot,n/a,77.0,-13.0,Jonas Brodin,Blocker,Minnesota Wild,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:09:56Z,1,01:27,18:33,Faceoff,n/a,69.0,-22.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:11Z,1,01:34,18:26,Shot,Wrist Shot,31.0,-22.0,Caleb Jones,Shooter,Edmonton Oilers,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:10:41Z,1,02:04,17:56,Hit,n/a,-33.0,34.0,Ryan Nugent-Hopkins,Hitter,Edmonton Oilers,Matt Dumba,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:11Z,1,02:31,17:29,Takeaway,n/a,33.0,21.0,Oscar Klefbom,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:10Z,1,02:33,17:27,Blocked Shot,n/a,62.0,0.0,Jason Zucker,Blocker,Minnesota Wild,Oscar Klefbom,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:18Z,1,02:41,17:19,Blocked Shot,n/a,53.0,17.0,Eric Staal,Blocker,Minnesota Wild,Oscar Klefbom,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:45Z,1,03:08,16:52,Hit,n/a,97.0,22.0,Jujhar Khaira,Hitter,Edmonton Oilers,Brennan Menell,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:11:53Z,1,03:12,16:48,Shot,Wrist Shot,66.0,-14.0,Sam Gagner,Shooter,Edmonton Oilers,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:12:14Z,1,03:13,16:47,Faceoff,n/a,69.0,-22.0,Ryan Donato,Winner,Minnesota Wild,Sam Gagner,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:12:39Z,1,03:30,16:30,Shot,Snap Shot,-51.0,-17.0,Ryan Donato,Shooter,Minnesota Wild,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:12:53Z,1,03:44,16:16,Missed Shot,n/a,-67.0,2.0,Zach Parise,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:13:05Z,1,03:56,16:04,Missed Shot,n/a,-54.0,-25.0,Kevin Fiala,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:13:18Z,1,04:03,15:57,Shot,Wrist Shot,65.0,8.0,Darnell Nurse,Shooter,Edmonton Oilers,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:13:27Z,1,04:04,15:56,Faceoff,n/a,69.0,22.0,Connor McDavid,Winner,Edmonton Oilers,Luke Kunin,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:14:26Z,1,04:47,15:13,Blocked Shot,n/a,-81.0,7.0,Ethan Bear,Blocker,Edmonton Oilers,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-12-13T01:14:32Z,1,04:53,15:07,Shot,Deflected,74.0,-2.0,Zack Kassian,Shooter,Edmonton Oilers,Kaapo Kahkonen,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
